path,edge connectivity,k,max multirute flow,iterations
R-MAT.64.512.51.gexf,14,63,1382.142857142857,2
R-MAT.64.512.51.gexf,15,63,1376.0,2
R-MAT.64.512.51.gexf,16,63,1370.625,3
R-MAT.64.512.51.gexf,17,63,1347.230769230769,6
R-MAT.64.512.51.gexf,18,63,1319.769230769231,7
R-MAT.64.512.51.gexf,19,63,1290.0,8
R-MAT.64.512.51.gexf,20,63,1264.2,7
R-MAT.64.512.51.gexf,21,63,1241.625,7
R-MAT.64.512.51.gexf,22,63,1221.705882352941,8
R-MAT.64.512.51.gexf,23,63,1204.0,8
R-MAT.64.512.51.gexf,24,63,1182.3529411764703,10
R-MAT.64.512.51.gexf,25,63,1160.8235294117646,10
R-MAT.64.512.51.gexf,26,63,1138.4999999999998,11
R-MAT.64.512.51.gexf,27,63,1118.4444444444443,11
R-MAT.64.512.51.gexf,28,63,1097.166666666666,12
R-MAT.64.512.51.gexf,29,63,1075.263157894737,12
R-MAT.64.512.51.gexf,30,63,1052.176470588236,15
R-MAT.64.512.51.gexf,31,63,1025.7777777777776,15
R-MAT.64.512.51.gexf,32,63,1001.0000000000005,16
R-MAT.64.512.51.gexf,33,63,972.0000000000001,18
R-MAT.64.512.51.gexf,34,63,944.9999999999999,19
R-MAT.64.512.51.gexf,35,63,918.0,19
R-MAT.64.512.51.gexf,36,63,893.8421052631576,20
R-MAT.64.512.51.gexf,37,63,871.9999999999995,21
R-MAT.64.512.51.gexf,38,63,850.1999999999994,21
R-MAT.64.512.51.gexf,39,63,830.4761904761899,21
R-MAT.64.512.51.gexf,40,63,811.7999999999993,22
R-MAT.64.512.51.gexf,41,63,791.0000000000002,25
R-MAT.64.512.51.gexf,42,63,767.2105263157898,25
R-MAT.64.512.51.gexf,43,63,745.4117647058828,29
R-MAT.64.512.51.gexf,44,63,720.0,28
R-MAT.64.512.51.gexf,45,63,686.9333333333327,32
R-MAT.64.512.51.gexf,46,63,657.9999999999997,32
R-MAT.64.512.51.gexf,47,63,632.470588235294,33
R-MAT.64.512.51.gexf,48,63,606.3749999999999,34
R-MAT.64.512.51.gexf,49,63,579.9999999999995,36
R-MAT.64.512.51.gexf,50,63,552.4999999999991,40
R-MAT.64.512.51.gexf,51,63,519.9999999999981,42
R-MAT.64.512.51.gexf,52,63,476.99999999999756,46
R-MAT.64.512.51.gexf,53,63,441.818181818182,44
R-MAT.64.512.51.gexf,54,63,403.33333333333246,47
R-MAT.64.512.51.gexf,55,63,363.9999999999975,50
R-MAT.64.512.51.gexf,56,63,325.7142857142859,51
R-MAT.64.512.51.gexf,57,63,289.9999999999987,51
R-MAT.64.512.51.gexf,58,63,245.833333333331,54
R-MAT.64.512.51.gexf,59,63,194.99999999999827,57
R-MAT.64.512.51.gexf,60,63,142.33333333332953,59
R-MAT.64.512.51.gexf,61,63,93.0,61
R-MAT.64.512.51.gexf,62,63,62.99999999999767,61
R-MAT.128.4.51.gexf,1,11,14.0,1
R-MAT.128.4.51.gexf,2,11,14.0,1
R-MAT.128.4.51.gexf,3,11,14.0,1
R-MAT.128.4.51.gexf,4,11,13.75,2
R-MAT.128.4.51.gexf,5,11,13.2,3
R-MAT.128.4.51.gexf,6,11,12.600000000000001,3
R-MAT.128.4.51.gexf,7,11,12.0,4
R-MAT.128.4.51.gexf,8,11,11.571428571428573,3
R-MAT.128.4.51.gexf,9,11,11.25,3
R-MAT.128.4.51.gexf,10,11,11.0,3
