path,k,max multirute flow,iterations
R-MAT.100.5.31.gexf,2,16.0,1
R-MAT.100.5.31.gexf,3,16.0,1
R-MAT.100.5.31.gexf,5,16.0,1
R-MAT.100.5.31.gexf,10,12.57142857142857,6
R-MAT.100.5.31.gexf,50,F,F
R-MAT.100.10.31.gexf,2,39.0,1
R-MAT.100.10.31.gexf,3,39.0,1
R-MAT.100.10.31.gexf,5,39.0,1
R-MAT.100.10.31.gexf,10,34.375,4
R-MAT.100.10.31.gexf,50,F,F
R-MAT.100.25.31.gexf,2,117.0,1
R-MAT.100.25.31.gexf,3,117.0,1
R-MAT.100.25.31.gexf,5,117.0,1
R-MAT.100.25.31.gexf,10,113.3,3
R-MAT.100.25.31.gexf,50,F,F
R-MAT.500.5.31.gexf,2,45.0,1
R-MAT.500.5.31.gexf,3,45.0,1
R-MAT.500.5.31.gexf,5,45.0,1
R-MAT.500.5.31.gexf,10,44.0,2
R-MAT.500.5.31.gexf,50,F,F
R-MAT.500.10.31.gexf,2,107.0,1
R-MAT.500.10.31.gexf,3,107.0,1
R-MAT.500.10.31.gexf,5,107.0,1
R-MAT.500.10.31.gexf,10,107.0,1
R-MAT.500.10.31.gexf,50,71.09090909090907,20
R-MAT.500.25.31.gexf,2,237.0,1
R-MAT.500.25.31.gexf,3,237.0,1
R-MAT.500.25.31.gexf,5,237.0,1
R-MAT.500.25.31.gexf,10,237.0,1
R-MAT.500.25.31.gexf,50,198.06976744186045,10
R-MAT.50.5.32.gexf,2,7.5,2
R-MAT.50.5.32.gexf,3,6.666666666666667,2
R-MAT.50.5.32.gexf,5,6.0,2
R-MAT.50.5.32.gexf,10,F,F
R-MAT.50.5.32.gexf,50,F,F
R-MAT.50.10.32.gexf,2,29.0,1
R-MAT.50.10.32.gexf,3,29.0,1
R-MAT.50.10.32.gexf,5,29.0,1
R-MAT.50.10.32.gexf,10,26.125,4
R-MAT.50.10.32.gexf,50,F,F
R-MAT.50.25.32.gexf,2,68.0,1
R-MAT.50.25.32.gexf,3,68.0,1
R-MAT.50.25.32.gexf,5,68.0,1
R-MAT.50.25.32.gexf,10,62.333333333333336,3
R-MAT.50.25.32.gexf,50,F,F
R-MAT.100.5.32.gexf,2,22.0,1
R-MAT.100.5.32.gexf,3,22.0,1
R-MAT.100.5.32.gexf,5,22.0,1
R-MAT.100.5.32.gexf,10,22.0,1
R-MAT.100.5.32.gexf,50,F,F
R-MAT.100.10.32.gexf,2,36.0,1
R-MAT.100.10.32.gexf,3,36.0,1
R-MAT.100.10.32.gexf,5,36.0,1
R-MAT.100.10.32.gexf,10,36.0,1
R-MAT.100.10.32.gexf,50,F,F
R-MAT.100.25.32.gexf,2,83.0,1
R-MAT.100.25.32.gexf,3,83.0,1
R-MAT.100.25.32.gexf,5,83.0,1
R-MAT.100.25.32.gexf,10,78.22222222222223,3
R-MAT.100.25.32.gexf,50,F,F
R-MAT.500.5.32.gexf,2,48.0,1
R-MAT.500.5.32.gexf,3,48.0,1
R-MAT.500.5.32.gexf,5,48.0,1
R-MAT.500.5.32.gexf,10,44.0,2
R-MAT.500.5.32.gexf,50,F,F
R-MAT.500.10.32.gexf,2,119.0,1
R-MAT.500.10.32.gexf,3,119.0,1
R-MAT.500.10.32.gexf,5,119.0,1
R-MAT.500.10.32.gexf,10,117.33333333333334,3
R-MAT.500.10.32.gexf,50,71.71875,21
R-MAT.500.25.32.gexf,2,252.0,1
R-MAT.500.25.32.gexf,3,252.0,1
R-MAT.500.25.32.gexf,5,252.0,1
R-MAT.500.25.32.gexf,10,252.0,1
R-MAT.500.25.32.gexf,50,189.97499999999997,12
R-MAT.50.5.33.gexf,2,13.5,2
R-MAT.50.5.33.gexf,3,12.0,2
R-MAT.50.5.33.gexf,5,10.8,2
R-MAT.50.5.33.gexf,10,F,F
R-MAT.50.5.33.gexf,50,F,F
R-MAT.50.10.33.gexf,2,24.0,1
R-MAT.50.10.33.gexf,3,24.0,1
R-MAT.50.10.33.gexf,5,22.8,2
R-MAT.50.10.33.gexf,10,16.5,7
R-MAT.50.10.33.gexf,50,F,F
R-MAT.50.25.33.gexf,2,81.0,1
R-MAT.50.25.33.gexf,3,81.0,1
R-MAT.50.25.33.gexf,5,81.0,1
R-MAT.50.25.33.gexf,10,68.75,4
R-MAT.50.25.33.gexf,50,F,F
R-MAT.100.5.33.gexf,2,20.0,1
R-MAT.100.5.33.gexf,3,20.0,1
R-MAT.100.5.33.gexf,5,20.0,1
R-MAT.100.5.33.gexf,10,16.5,5
R-MAT.100.5.33.gexf,50,F,F
R-MAT.100.10.33.gexf,2,40.0,1
R-MAT.100.10.33.gexf,3,40.0,1
R-MAT.100.10.33.gexf,5,40.0,1
R-MAT.100.10.33.gexf,10,39.6,3
R-MAT.100.10.33.gexf,50,F,F
R-MAT.100.25.33.gexf,2,98.0,1
R-MAT.100.25.33.gexf,3,98.0,1
R-MAT.100.25.33.gexf,5,98.0,1
R-MAT.100.25.33.gexf,10,94.6,2
R-MAT.100.25.33.gexf,50,F,F
R-MAT.500.5.33.gexf,2,64.0,1
R-MAT.500.5.33.gexf,3,64.0,1
R-MAT.500.5.33.gexf,5,64.0,1
R-MAT.500.5.33.gexf,10,62.7,2
R-MAT.500.5.33.gexf,50,F,F
R-MAT.500.10.33.gexf,2,121.0,1
R-MAT.500.10.33.gexf,3,121.0,1
R-MAT.500.10.33.gexf,5,121.0,1
R-MAT.500.10.33.gexf,10,119.77777777777777,4
R-MAT.500.10.33.gexf,50,83.90322580645162,22
R-MAT.500.25.33.gexf,2,278.0,1
R-MAT.500.25.33.gexf,3,278.0,1
R-MAT.500.25.33.gexf,5,278.0,1
R-MAT.500.25.33.gexf,10,278.0,1
R-MAT.500.25.33.gexf,50,239.21428571428572,10
R-MAT.50.5.34.gexf,2,14.0,1
R-MAT.50.5.34.gexf,3,13.333333333333334,2
R-MAT.50.5.34.gexf,5,12.0,2
R-MAT.50.5.34.gexf,10,F,F
R-MAT.50.5.34.gexf,50,F,F
R-MAT.50.10.34.gexf,2,23.0,1
R-MAT.50.10.34.gexf,3,22.666666666666668,2
R-MAT.50.10.34.gexf,5,20.4,3
R-MAT.50.10.34.gexf,10,15.714285714285712,5
R-MAT.50.10.34.gexf,50,F,F
R-MAT.50.25.34.gexf,2,59.0,1
R-MAT.50.25.34.gexf,3,59.0,1
R-MAT.50.25.34.gexf,5,59.0,1
R-MAT.50.25.34.gexf,10,51.85714285714286,5
R-MAT.50.25.34.gexf,50,F,F
R-MAT.100.5.34.gexf,2,17.0,1
R-MAT.100.5.34.gexf,3,17.0,1
R-MAT.100.5.34.gexf,5,16.8,2
R-MAT.100.5.34.gexf,10,12.57142857142857,6
R-MAT.100.5.34.gexf,50,F,F
R-MAT.100.10.34.gexf,2,58.0,1
R-MAT.100.10.34.gexf,3,58.0,1
R-MAT.100.10.34.gexf,5,58.0,1
R-MAT.100.10.34.gexf,10,58.0,1
R-MAT.100.10.34.gexf,50,F,F
R-MAT.100.25.34.gexf,2,98.0,1
R-MAT.100.25.34.gexf,3,98.0,1
R-MAT.100.25.34.gexf,5,98.0,1
R-MAT.100.25.34.gexf,10,95.33333333333331,4
R-MAT.100.25.34.gexf,50,F,F
R-MAT.500.5.34.gexf,2,52.0,1
R-MAT.500.5.34.gexf,3,52.0,1
R-MAT.500.5.34.gexf,5,52.0,1
R-MAT.500.5.34.gexf,10,48.4,3
R-MAT.500.5.34.gexf,50,F,F
R-MAT.500.10.34.gexf,2,99.0,1
R-MAT.500.10.34.gexf,3,99.0,1
R-MAT.500.10.34.gexf,5,99.0,1
R-MAT.500.10.34.gexf,10,95.7,2
R-MAT.500.10.34.gexf,50,73.95000000000002,12
R-MAT.500.25.34.gexf,2,277.0,1
R-MAT.500.25.34.gexf,3,277.0,1
R-MAT.500.25.34.gexf,5,277.0,1
R-MAT.500.25.34.gexf,10,273.9,2
R-MAT.500.25.34.gexf,50,222.97674418604652,9
R-MAT.50.5.35.gexf,2,12.0,1
R-MAT.50.5.35.gexf,3,12.0,1
R-MAT.50.5.35.gexf,5,10.8,2
R-MAT.50.5.35.gexf,10,F,F
R-MAT.50.5.35.gexf,50,F,F
R-MAT.50.10.35.gexf,2,23.0,1
R-MAT.50.10.35.gexf,3,23.0,1
R-MAT.50.10.35.gexf,5,22.8,2
R-MAT.50.10.35.gexf,10,16.5,8
R-MAT.50.10.35.gexf,50,F,F
R-MAT.50.25.35.gexf,2,75.0,1
R-MAT.50.25.35.gexf,3,75.0,1
R-MAT.50.25.35.gexf,5,75.0,1
R-MAT.50.25.35.gexf,10,68.44444444444444,3
R-MAT.50.25.35.gexf,50,F,F
R-MAT.100.5.35.gexf,2,24.0,1
R-MAT.100.5.35.gexf,3,24.0,1
