construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	max.c	ex	k.4
1779	cut	cap	first	Complete.1000.20.28.gexf	1000	999000	10	4	[999, 999, 999, 999]	9969	9779	9779	inf	1	0	0	0	0	[9969, 9779]	Complete	1000	20	28	gexf
1780	cut	cap	first	Complete.1000.20.28.gexf	1000	999000	50	5	[999, 999, 999, 999]	9969	9019	9019	inf	1	0	0	0	0	[9969, 9019]	Complete	1000	20	28	gexf
1781	cut	cap	first	Complete.1000.1.29.gexf	1000	999000	2	1	[999, 999, 999, 999]	499.340370513141	497.342298293222	497.3422982932218	inf	1	0	0	0	0	[499.34037051314107, 497.3422982932218]	Complete	1000	1	29	gexf
1782	cut	cap	first	Complete.1000.1.29.gexf	1000	999000	3	2	[999, 999, 999, 999]	499.340370513141	496.346460261403	496.3464602614029	inf	1	0	0	0	0	[499.34037051314107, 496.3464602614029]	Complete	1000	1	29	gexf
1783	cut	cap	first	Complete.1000.1.29.gexf	1000	999000	5	3	[999, 999, 999, 999]	499.340370513141	494.355145527439	494.3551455274391	inf	1	0	0	0	0	[499.34037051314107, 494.3551455274391]	Complete	1000	1	29	gexf
1784	cut	cap	first	Complete.1000.1.29.gexf	1000	999000	10	4	[999, 999, 999, 999]	499.340370513141	489.387155098188	489.38715509818786	inf	1	0	0	0	0	[499.34037051314107, 489.38715509818786]	Complete	1000	1	29	gexf
1785	cut	cap	first	Complete.1000.1.29.gexf	1000	999000	50	5	[999, 999, 999, 999]	499.340370513141	450.594562770439	450.5945627704392	inf	1	0	0	0	0	[499.34037051314107, 450.5945627704392]	Complete	1000	1	29	gexf
1786	cut	cap	first	Complete.1000.20.29.gexf	1000	999000	2	1	[999, 999, 999, 999]	9915	9877	9877	inf	1	0	0	0	0	[9915, 9877]	Complete	1000	20	29	gexf
1787	cut	cap	first	Complete.1000.20.29.gexf	1000	999000	3	2	[999, 999, 999, 999]	9915	9858	9858	inf	1	0	0	0	0	[9915, 9858]	Complete	1000	20	29	gexf
1788	cut	cap	first	Complete.1000.20.29.gexf	1000	999000	5	3	[999, 999, 999, 999]	9915	9820	9820	inf	1	0	0	0	0	[9915, 9820]	Complete	1000	20	29	gexf
1789	cut	cap	first	Complete.1000.20.29.gexf	1000	999000	10	4	[999, 999, 999, 999]	9915	9725	9725	inf	1	0	0	0	0	[9915, 9725]	Complete	1000	20	29	gexf
1790	cut	cap	first	Complete.1000.20.29.gexf	1000	999000	50	5	[999, 999, 999, 999]	9915	8975	8975	inf	1	0	0	0	0	[9915, 8975]	Complete	1000	20	29	gexf
1791	cut	cap	first	Complete.1000.1.30.gexf	1000	999000	2	1	[999, 999, 999, 999]	494.007008664617	492.010010452168	492.01001045216753	inf	1	0	0	0	0	[494.00700866461733, 492.01001045216753]	Complete	1000	1	30	gexf
1792	cut	cap	first	Complete.1000.1.30.gexf	1000	999000	3	2	[999, 999, 999, 999]	494.007008664617	491.012459101788	491.0124591017877	inf	1	0	0	0	0	[494.00700866461733, 491.0124591017877]	Complete	1000	1	30	gexf
1793	cut	cap	first	Complete.1000.1.30.gexf	1000	999000	5	3	[999, 999, 999, 999]	494.007008664617	489.017983269408	489.017983269408	inf	1	0	0	0	0	[494.00700866461733, 489.017983269408]	Complete	1000	1	30	gexf
1794	cut	cap	first	Complete.1000.1.30.gexf	1000	999000	10	4	[999, 999, 999, 999]	494.007008664617	484.052544291329	484.05254429132873	inf	1	0	0	0	0	[494.00700866461733, 484.05254429132873]	Complete	1000	1	30	gexf
1795	cut	cap	first	Complete.1000.1.30.gexf	1000	999000	50	5	[999, 999, 999, 999]	494.007008664617	445.578105689716	445.5781056897161	inf	1	0	0	0	0	[494.00700866461733, 445.5781056897161]	Complete	1000	1	30	gexf
1796	cut	cap	first	Complete.1000.20.30.gexf	1000	999000	2	1	[999, 999, 999, 999]	9876	9838	9838	inf	1	0	0	0	0	[9876, 9838]	Complete	1000	20	30	gexf
1797	cut	cap	first	Complete.1000.20.30.gexf	1000	999000	3	2	[999, 999, 999, 999]	9876	9819	9819	inf	1	0	0	0	0	[9876, 9819]	Complete	1000	20	30	gexf
1798	cut	cap	first	Complete.1000.20.30.gexf	1000	999000	5	3	[999, 999, 999, 999]	9876	9781	9781	inf	1	0	0	0	0	[9876, 9781]	Complete	1000	20	30	gexf
1799	cut	cap	first	Complete.1000.20.30.gexf	1000	999000	10	4	[999, 999, 999, 999]	9876	9686	9686	inf	1	0	0	0	0	[9876, 9686]	Complete	1000	20	30	gexf
1800	cut	cap	first	Complete.1000.20.30.gexf	1000	999000	50	5	[999, 999, 999, 999]	9876	8926	8926	inf	1	0	0	0	0	[9876, 8926]	Complete	1000	20	30	gexf
1801	cut	cap	first	Complete.1000.1.31.gexf	1000	999000	2	1	[999, 999, 999, 999]	501.090584273171	499.091261242208	499.0912612422082	inf	1	0	0	0	0	[501.09058427317126, 499.0912612422082]	Complete	1000	1	31	gexf
1802	cut	cap	first	Complete.1000.1.31.gexf	1000	999000	3	2	[999, 999, 999, 999]	501.090584273171	498.092657100687	498.09265710068746	inf	1	0	0	0	0	[501.09058427317126, 498.09265710068746]	Complete	1000	1	31	gexf
1803	cut	cap	first	Complete.1000.1.31.gexf	1000	999000	5	3	[999, 999, 999, 999]	501.090584273171	496.098657243903	496.09865724390346	inf	1	0	0	0	0	[501.09058427317126, 496.09865724390346]	Complete	1000	1	31	gexf
1804	cut	cap	first	Complete.1000.1.31.gexf	1000	999000	10	4	[999, 999, 999, 999]	501.090584273171	491.134858115617	491.1348581156175	inf	1	0	0	0	0	[501.09058427317126, 491.1348581156175]	Complete	1000	1	31	gexf
1805	cut	cap	first	Complete.1000.1.31.gexf	1000	999000	50	5	[999, 999, 999, 999]	501.090584273171	452.393617593371	452.3936175933709	inf	1	0	0	0	0	[501.09058427317126, 452.3936175933709]	Complete	1000	1	31	gexf
1806	cut	cap	first	Complete.1000.20.31.gexf	1000	999000	2	1	[999, 999, 999, 999]	10024	9986	9986	inf	1	0	0	0	0	[10024, 9986]	Complete	1000	20	31	gexf
1807	cut	cap	first	Complete.1000.20.31.gexf	1000	999000	3	2	[999, 999, 999, 999]	10024	9967	9967	inf	1	0	0	0	0	[10024, 9967]	Complete	1000	20	31	gexf
1808	cut	cap	first	Complete.1000.20.31.gexf	1000	999000	5	3	[999, 999, 999, 999]	10024	9929	9929	inf	1	0	0	0	0	[10024, 9929]	Complete	1000	20	31	gexf
1809	cut	cap	first	Complete.1000.20.31.gexf	1000	999000	10	4	[999, 999, 999, 999]	10024	9834	9834	inf	1	0	0	0	0	[10024, 9834]	Complete	1000	20	31	gexf
1810	cut	cap	first	Complete.1000.20.31.gexf	1000	999000	50	5	[999, 999, 999, 999]	10024	9074	9074	inf	1	0	0	0	0	[10024, 9074]	Complete	1000	20	31	gexf
1811	cut	cap	first	Complete.1000.1.32.gexf	1000	999000	2	1	[999, 999, 999, 999]	481.892195018813	479.895960732133	479.8959607321334	inf	1	0	0	0	0	[481.8921950188132, 479.8959607321334]	Complete	1000	1	32	gexf
1812	cut	cap	first	Complete.1000.1.32.gexf	1000	999000	3	2	[999, 999, 999, 999]	481.892195018813	478.898198184521	478.89819818452054	inf	1	0	0	0	0	[481.8921950188132, 478.89819818452054]	Complete	1000	1	32	gexf
1813	cut	cap	first	Complete.1000.1.32.gexf	1000	999000	5	3	[999, 999, 999, 999]	481.892195018813	476.90851981647	476.9085198164696	inf	1	0	0	0	0	[481.8921950188132, 476.9085198164696]	Complete	1000	1	32	gexf
1814	cut	cap	first	Complete.1000.1.32.gexf	1000	999000	10	4	[999, 999, 999, 999]	481.892195018813	471.961219056809	471.961219056809	inf	1	0	0	0	0	[481.8921950188132, 471.961219056809]	Complete	1000	1	32	gexf
1815	cut	cap	first	Complete.1000.1.32.gexf	1000	999000	50	5	[999, 999, 999, 999]	481.892195018813	433.312498608541	433.31249860854086	inf	1	0	0	0	0	[481.8921950188132, 433.31249860854086]	Complete	1000	1	32	gexf
1816	cut	cap	first	Complete.1000.20.32.gexf	1000	999000	2	1	[999, 999, 999, 999]	9773	9735	9735	inf	1	0	0	0	0	[9773, 9735]	Complete	1000	20	32	gexf
1817	cut	cap	first	Complete.1000.20.32.gexf	1000	999000	3	2	[999, 999, 999, 999]	9773	9716	9716	inf	1	0	0	0	0	[9773, 9716]	Complete	1000	20	32	gexf
1818	cut	cap	first	Complete.1000.20.32.gexf	1000	999000	5	3	[999, 999, 999, 999]	9773	9678	9678	inf	1	0	0	0	0	[9773, 9678]	Complete	1000	20	32	gexf
1819	cut	cap	first	Complete.1000.20.32.gexf	1000	999000	10	4	[999, 999, 999, 999]	9773	9583	9583	inf	1	0	0	0	0	[9773, 9583]	Complete	1000	20	32	gexf
1820	cut	cap	first	Complete.1000.20.32.gexf	1000	999000	50	5	[999, 999, 999, 999]	9773	8823	8823	inf	1	0	0	0	0	[9773, 8823]	Complete	1000	20	32	gexf
1821	cut	cap	first	Complete.1000.1.33.gexf	1000	999000	2	1	[999, 999, 999, 999]	482.891422115657	480.895672753558	480.8956727535576	inf	1	0	0	0	0	[482.89142211565695, 480.8956727535576]	Complete	1000	1	33	gexf
1822	cut	cap	first	Complete.1000.1.33.gexf	1000	999000	3	2	[999, 999, 999, 999]	482.891422115657	479.898796613857	479.8987966138572	inf	1	0	0	0	0	[482.89142211565695, 479.8987966138572]	Complete	1000	1	33	gexf
1823	cut	cap	first	Complete.1000.1.33.gexf	1000	999000	5	3	[999, 999, 999, 999]	482.891422115657	477.910160006395	477.91016000639496	inf	1	0	0	0	0	[482.89142211565695, 477.91016000639496]	Complete	1000	1	33	gexf
1824	cut	cap	first	Complete.1000.1.33.gexf	1000	999000	10	4	[999, 999, 999, 999]	482.891422115657	472.962788725981	472.9627887259813	inf	1	0	0	0	0	[482.89142211565695, 472.9627887259813]	Complete	1000	1	33	gexf
1825	cut	cap	first	Complete.1000.1.33.gexf	1000	999000	50	5	[999, 999, 999, 999]	482.891422115657	434.280545130651	434.2805451306508	inf	1	0	0	0	0	[482.89142211565695, 434.2805451306508]	Complete	1000	1	33	gexf
1826	cut	cap	first	Complete.1000.20.33.gexf	1000	999000	2	1	[999, 999, 999, 999]	9902	9864	9864	inf	1	0	0	0	0	[9902, 9864]	Complete	1000	20	33	gexf
1827	cut	cap	first	Complete.1000.20.33.gexf	1000	999000	3	2	[999, 999, 999, 999]	9902	9845	9845	inf	1	0	0	0	0	[9902, 9845]	Complete	1000	20	33	gexf
1828	cut	cap	first	Complete.1000.20.33.gexf	1000	999000	5	3	[999, 999, 999, 999]	9902	9807	9807	inf	1	0	0	0	0	[9902, 9807]	Complete	1000	20	33	gexf
1829	cut	cap	first	Complete.1000.20.33.gexf	1000	999000	10	4	[999, 999, 999, 999]	9902	9712	9712	inf	1	0	0	0	0	[9902, 9712]	Complete	1000	20	33	gexf
1830	cut	cap	first	Complete.1000.20.33.gexf	1000	999000	50	5	[999, 999, 999, 999]	9902	8952	8952	inf	1	0	0	0	0	[9902, 8952]	Complete	1000	20	33	gexf
1831	cut	cap	first	Complete.1000.1.34.gexf	1000	999000	2	1	[999, 999, 999, 999]	488.30138114393	486.302315618297	486.3023156182968	inf	1	0	0	0	0	[488.30138114392986, 486.3023156182968]	Complete	1000	1	34	gexf
1832	cut	cap	first	Complete.1000.1.34.gexf	1000	999000	3	2	[999, 999, 999, 999]	488.30138114393	485.303587868364	485.303587868364	inf	1	0	0	0	0	[488.30138114392986, 485.303587868364]	Complete	1000	1	34	gexf
1833	cut	cap	first	Complete.1000.1.34.gexf	1000	999000	5	3	[999, 999, 999, 999]	488.30138114393	483.307271730141	483.3072717301413	inf	1	0	0	0	0	[488.30138114392986, 483.3072717301413]	Complete	1000	1	34	gexf
1834	cut	cap	first	Complete.1000.1.34.gexf	1000	999000	10	4	[999, 999, 999, 999]	488.30138114393	478.33532726644	478.33532726643983	inf	1	0	0	0	0	[488.30138114392986, 478.33532726643983]	Complete	1000	1	34	gexf
1835	cut	cap	first	Complete.1000.1.34.gexf	1000	999000	50	5	[999, 999, 999, 999]	488.30138114393	439.617709963968	439.6177099639681	inf	1	0	0	0	0	[488.30138114392986, 439.6177099639681]	Complete	1000	1	34	gexf
1836	cut	cap	first	Complete.1000.20.34.gexf	1000	999000	2	1	[999, 999, 999, 999]	9614	9576	9576	inf	1	0	0	0	0	[9614, 9576]	Complete	1000	20	34	gexf
1837	cut	cap	first	Complete.1000.20.34.gexf	1000	999000	3	2	[999, 999, 999, 999]	9614	9557	9557	inf	1	0	0	0	0	[9614, 9557]	Complete	1000	20	34	gexf
1838	cut	cap	first	Complete.1000.20.34.gexf	1000	999000	5	3	[999, 999, 999, 999]	9614	9519	9519	inf	1	0	0	0	0	[9614, 9519]	Complete	1000	20	34	gexf
1839	cut	cap	first	Complete.1000.20.34.gexf	1000	999000	10	4	[999, 999, 999, 999]	9614	9424	9424	inf	1	0	0	0	0	[9614, 9424]	Complete	1000	20	34	gexf
1840	cut	cap	first	Complete.1000.20.34.gexf	1000	999000	50	5	[999, 999, 999, 999]	9614	8666	8666	inf	1	0	0	0	0	[9614, 8666]	Complete	1000	20	34	gexf
1841	cut	cap	first	Complete.1000.1.35.gexf	1000	999000	2	1	[999, 999, 999, 999]	506.491979767512	504.494050841985	504.4940508419845	inf	1	0	0	0	0	[506.4919797675118, 504.4940508419845]	Complete	1000	1	35	gexf
1842	cut	cap	first	Complete.1000.1.35.gexf	1000	999000	3	2	[999, 999, 999, 999]	506.491979767512	503.495825766194	503.4958257661936	inf	1	0	0	0	0	[506.4919797675118, 503.4958257661936]	Complete	1000	1	35	gexf
1843	cut	cap	first	Complete.1000.1.35.gexf	1000	999000	5	3	[999, 999, 999, 999]	506.491979767512	501.501096739578	501.5010967395777	inf	1	0	0	0	0	[506.4919797675118, 501.5010967395777]	Complete	1000	1	35	gexf
1844	cut	cap	first	Complete.1000.1.35.gexf	1000	999000	10	4	[999, 999, 999, 999]	506.491979767512	496.530109654667	496.5301096546669	inf	1	0	0	0	0	[506.4919797675118, 496.5301096546669]	Complete	1000	1	35	gexf
1845	cut	cap	first	Complete.1000.1.35.gexf	1000	999000	50	5	[999, 999, 999, 999]	506.491979767512	457.468065287167	457.46806528716735	inf	1	0	0	0	0	[506.4919797675118, 457.46806528716735]	Complete	1000	1	35	gexf
1846	cut	cap	first	Complete.1000.20.35.gexf	1000	999000	2	1	[999, 999, 999, 999]	9974	9936	9936	inf	1	0	0	0	0	[9974, 9936]	Complete	1000	20	35	gexf
1847	cut	cap	first	Complete.1000.20.35.gexf	1000	999000	3	2	[999, 999, 999, 999]	9974	9917	9917	inf	1	0	0	0	0	[9974, 9917]	Complete	1000	20	35	gexf
1848	cut	cap	first	Complete.1000.20.35.gexf	1000	999000	5	3	[999, 999, 999, 999]	9974	9879	9879	inf	1	0	0	0	0	[9974, 9879]	Complete	1000	20	35	gexf
1849	cut	cap	first	Complete.1000.20.35.gexf	1000	999000	10	4	[999, 999, 999, 999]	9974	9784	9784	inf	1	0	0	0	0	[9974, 9784]	Complete	1000	20	35	gexf
1850	cut	cap	first	Complete.1000.20.35.gexf	1000	999000	50	5	[999, 999, 999, 999]	9974	9026	9026	inf	1	0	0	0	0	[9974, 9026]	Complete	1000	20	35	gexf
1851	cut	cap	first	Complete.1000.1.36.gexf	1000	999000	2	1	[999, 999, 999, 999]	501.004419379749	499.010572838851	499.0105728388508	inf	1	0	0	0	0	[501.00441937974875, 499.0105728388508]	Complete	1000	1	36	gexf
1852	cut	cap	first	Complete.1000.1.36.gexf	1000	999000	3	2	[999, 999, 999, 999]	501.004419379749	498.015124326958	498.0151243269576	inf	1	0	0	0	0	[501.00441937974875, 498.0151243269576]	Complete	1000	1	36	gexf
1853	cut	cap	first	Complete.1000.1.36.gexf	1000	999000	5	3	[999, 999, 999, 999]	501.004419379749	496.024957513385	496.02495751338506	inf	1	0	0	0	0	[501.00441937974875, 496.02495751338506]	Complete	1000	1	36	gexf
1854	cut	cap	first	Complete.1000.1.36.gexf	1000	999000	10	4	[999, 999, 999, 999]	501.004419379749	491.062041726702	491.0620417267021	inf	1	0	0	0	0	[501.00441937974875, 491.0620417267021]	Complete	1000	1	36	gexf
1855	cut	cap	first	Complete.1000.1.36.gexf	1000	999000	50	5	[999, 999, 999, 999]	501.004419379749	452.122581927219	452.1225819272193	inf	1	0	0	0	0	[501.00441937974875, 452.1225819272193]	Complete	1000	1	36	gexf
1856	cut	cap	first	Complete.1000.20.36.gexf	1000	999000	2	1	[999, 999, 999, 999]	9733	9695	9695	inf	1	0	0	0	0	[9733, 9695]	Complete	1000	20	36	gexf
1857	cut	cap	first	Complete.1000.20.36.gexf	1000	999000	3	2	[999, 999, 999, 999]	9733	9676	9676	inf	1	0	0	0	0	[9733, 9676]	Complete	1000	20	36	gexf
1858	cut	cap	first	Complete.1000.20.36.gexf	1000	999000	5	3	[999, 999, 999, 999]	9733	9638	9638	inf	1	0	0	0	0	[9733, 9638]	Complete	1000	20	36	gexf
1859	cut	cap	first	Complete.1000.20.36.gexf	1000	999000	10	4	[999, 999, 999, 999]	9733	9543	9543	inf	1	0	0	0	0	[9733, 9543]	Complete	1000	20	36	gexf
1860	cut	cap	first	Complete.1000.20.36.gexf	1000	999000	50	5	[999, 999, 999, 999]	9733	8789	8789	inf	1	0	0	0	0	[9733, 8789]	Complete	1000	20	36	gexf
1861	cut	cap	first	Complete.1000.1.37.gexf	1000	999000	2	1	[999, 999, 999, 999]	494.923316036326	492.925161984763	492.92516198476284	inf	1	0	0	0	0	[494.923316036326, 492.92516198476284]	Complete	1000	1	37	gexf
1862	cut	cap	first	Complete.1000.1.37.gexf	1000	999000	3	2	[999, 999, 999, 999]	494.923316036326	491.92634166074	491.9263416607401	inf	1	0	0	0	0	[494.923316036326, 491.9263416607401]	Complete	1000	1	37	gexf
1863	cut	cap	first	Complete.1000.1.37.gexf	1000	999000	5	3	[999, 999, 999, 999]	494.923316036326	489.930860390143	489.93086039014344	inf	1	0	0	0	0	[494.923316036326, 489.93086039014344]	Complete	1000	1	37	gexf
1864	cut	cap	first	Complete.1000.1.37.gexf	1000	999000	10	4	[999, 999, 999, 999]	494.923316036326	484.967726997735	484.96772699773464	inf	1	0	0	0	0	[494.923316036326, 484.96772699773464]	Complete	1000	1	37	gexf
1865	cut	cap	first	Complete.1000.1.37.gexf	1000	999000	50	5	[999, 999, 999, 999]	494.923316036326	446.168257754956	446.16825775495647	inf	1	0	0	0	0	[494.923316036326, 446.16825775495647]	Complete	1000	1	37	gexf
1866	cut	cap	first	Complete.1000.20.37.gexf	1000	999000	2	1	[999, 999, 999, 999]	9861	9823	9823	inf	1	0	0	0	0	[9861, 9823]	Complete	1000	20	37	gexf
1867	cut	cap	first	Complete.1000.20.37.gexf	1000	999000	3	2	[999, 999, 999, 999]	9861	9804	9804	inf	1	0	0	0	0	[9861, 9804]	Complete	1000	20	37	gexf
1868	cut	cap	first	Complete.1000.20.37.gexf	1000	999000	5	3	[999, 999, 999, 999]	9861	9766	9766	inf	1	0	0	0	0	[9861, 9766]	Complete	1000	20	37	gexf
1869	cut	cap	first	Complete.1000.20.37.gexf	1000	999000	10	4	[999, 999, 999, 999]	9861	9671	9671	inf	1	0	0	0	0	[9861, 9671]	Complete	1000	20	37	gexf
1870	cut	cap	first	Complete.1000.20.37.gexf	1000	999000	50	5	[999, 999, 999, 999]	9861	8915	8915	inf	1	0	0	0	0	[9861, 8915]	Complete	1000	20	37	gexf
1871	cut	cap	first	Complete.1000.1.38.gexf	1000	999000	2	1	[999, 999, 999, 999]	500.784603256487	498.787419172685	498.78741917268525	inf	1	0	0	0	0	[500.784603256487, 498.78741917268525]	Complete	1000	1	38	gexf
1872	cut	cap	first	Complete.1000.1.38.gexf	1000	999000	3	2	[999, 999, 999, 999]	500.784603256487	497.789449278228	497.7894492782282	inf	1	0	0	0	0	[500.784603256487, 497.7894492782282]	Complete	1000	1	38	gexf
1873	cut	cap	first	Complete.1000.1.38.gexf	1000	999000	5	3	[999, 999, 999, 999]	500.784603256487	495.795463193564	495.79546319356393	inf	1	0	0	0	0	[500.784603256487, 495.79546319356393]	Complete	1000	1	38	gexf
1874	cut	cap	first	Complete.1000.1.38.gexf	1000	999000	10	4	[999, 999, 999, 999]	500.784603256487	490.819911152516	490.819911152516	inf	1	0	0	0	0	[500.784603256487, 490.819911152516]	Complete	1000	1	38	gexf
1875	cut	cap	first	Complete.1000.1.38.gexf	1000	999000	50	5	[999, 999, 999, 999]	500.784603256487	451.870582829469	451.87058282946936	inf	1	0	0	0	0	[500.784603256487, 451.87058282946936]	Complete	1000	1	38	gexf
1876	cut	cap	first	Complete.1000.20.38.gexf	1000	999000	2	1	[999, 999, 999, 999]	9689	9651	9651	inf	1	0	0	0	0	[9689, 9651]	Complete	1000	20	38	gexf
1877	cut	cap	first	Complete.1000.20.38.gexf	1000	999000	3	2	[999, 999, 999, 999]	9689	9632	9632	inf	1	0	0	0	0	[9689, 9632]	Complete	1000	20	38	gexf
1878	cut	cap	first	Complete.1000.20.38.gexf	1000	999000	5	3	[999, 999, 999, 999]	9689	9594	9594	inf	1	0	0	0	0	[9689, 9594]	Complete	1000	20	38	gexf
1879	cut	cap	first	Complete.1000.20.38.gexf	1000	999000	10	4	[999, 999, 999, 999]	9689	9499	9499	inf	1	0	0	0	0	[9689, 9499]	Complete	1000	20	38	gexf
1880	cut	cap	first	Complete.1000.20.38.gexf	1000	999000	50	5	[999, 999, 999, 999]	9689	8739	8739	inf	1	0	0	0	0	[9689, 8739]	Complete	1000	20	38	gexf
1881	cut	cap	first	Complete.1000.1.39.gexf	1000	999000	2	1	[999, 999, 999, 999]	493.520041014611	491.523810403876	491.52381040387644	inf	1	0	0	0	0	[493.52004101461137, 491.52381040387644]	Complete	1000	1	39	gexf
1882	cut	cap	first	Complete.1000.1.39.gexf	1000	999000	3	2	[999, 999, 999, 999]	493.520041014611	490.52770901552	490.5277090155195	inf	1	0	0	0	0	[493.52004101461137, 490.5277090155195]	Complete	1000	1	39	gexf
1883	cut	cap	first	Complete.1000.1.39.gexf	1000	999000	5	3	[999, 999, 999, 999]	493.520041014611	488.538220142374	488.53822014237414	inf	1	0	0	0	0	[493.52004101461137, 488.53822014237414]	Complete	1000	1	39	gexf
1884	cut	cap	first	Complete.1000.1.39.gexf	1000	999000	10	4	[999, 999, 999, 999]	493.520041014611	483.578355094997	483.57835509499705	inf	1	0	0	0	0	[493.52004101461137, 483.57835509499705]	Complete	1000	1	39	gexf
1885	cut	cap	first	Complete.1000.1.39.gexf	1000	999000	50	5	[999, 999, 999, 999]	493.520041014611	444.889314475304	444.88931447530365	inf	1	0	0	0	0	[493.52004101461137, 444.88931447530365]	Complete	1000	1	39	gexf
1886	cut	cap	first	Complete.1000.20.39.gexf	1000	999000	2	1	[999, 999, 999, 999]	9811	9773	9773	inf	1	0	0	0	0	[9811, 9773]	Complete	1000	20	39	gexf
1887	cut	cap	first	Complete.1000.20.39.gexf	1000	999000	3	2	[999, 999, 999, 999]	9811	9754	9754	inf	1	0	0	0	0	[9811, 9754]	Complete	1000	20	39	gexf
1888	cut	cap	first	Complete.1000.20.39.gexf	1000	999000	5	3	[999, 999, 999, 999]	9811	9716	9716	inf	1	0	0	0	0	[9811, 9716]	Complete	1000	20	39	gexf
1889	cut	cap	first	Complete.1000.20.39.gexf	1000	999000	10	4	[999, 999, 999, 999]	9811	9621	9621	inf	1	0	0	0	0	[9811, 9621]	Complete	1000	20	39	gexf
1890	cut	cap	first	Complete.1000.20.39.gexf	1000	999000	50	5	[999, 999, 999, 999]	9811	8869	8869	inf	1	0	0	0	0	[9811, 8869]	Complete	1000	20	39	gexf
1891	cut	cap	first	Complete.1000.1.40.gexf	1000	999000	2	1	[999, 999, 999, 999]	500.08048802746	498.081700008551	498.0817000085512	inf	1	0	0	0	0	[500.08048802746015, 498.0817000085512]	Complete	1000	1	40	gexf
1892	cut	cap	first	Complete.1000.1.40.gexf	1000	999000	3	2	[999, 999, 999, 999]	500.08048802746	497.082953575357	497.0829535753574	inf	1	0	0	0	0	[500.08048802746015, 497.0829535753574]	Complete	1000	1	40	gexf
1893	cut	cap	first	Complete.1000.1.40.gexf	1000	999000	5	3	[999, 999, 999, 999]	500.08048802746	495.088794333573	495.0887943335727	inf	1	0	0	0	0	[500.08048802746015, 495.0887943335727]	Complete	1000	1	40	gexf
1894	cut	cap	first	Complete.1000.1.40.gexf	1000	999000	10	4	[999, 999, 999, 999]	500.08048802746	490.124357273868	490.1243572738676	inf	1	0	0	0	0	[500.08048802746015, 490.1243572738676]	Complete	1000	1	40	gexf
1895	cut	cap	first	Complete.1000.1.40.gexf	1000	999000	50	5	[999, 999, 999, 999]	500.08048802746	451.191762282288	451.19176228228844	inf	1	0	0	0	0	[500.08048802746015, 451.19176228228844]	Complete	1000	1	40	gexf
1896	cut	cap	first	Complete.1000.20.40.gexf	1000	999000	2	1	[999, 999, 999, 999]	10107	10069	10069	inf	1	0	0	0	0	[10107, 10069]	Complete	1000	20	40	gexf
1897	cut	cap	first	Complete.1000.20.40.gexf	1000	999000	3	2	[999, 999, 999, 999]	10107	10050	10050	inf	1	0	0	0	0	[10107, 10050]	Complete	1000	20	40	gexf
1898	cut	cap	first	Complete.1000.20.40.gexf	1000	999000	5	3	[999, 999, 999, 999]	10107	10012	10012	inf	1	0	0	0	0	[10107, 10012]	Complete	1000	20	40	gexf
1899	cut	cap	first	Complete.1000.20.40.gexf	1000	999000	10	4	[999, 999, 999, 999]	10107	9917	9917	inf	1	0	0	0	0	[10107, 9917]	Complete	1000	20	40	gexf
1900	cut	cap	first	Complete.1000.20.40.gexf	1000	999000	50	5	[999, 999, 999, 999]	10107	9157	9157	inf	1	0	0	0	0	[10107, 9157]	Complete	1000	20	40	gexf
1901	cut	cap	first	Complete.1000.1.41.gexf	1000	999000	2	1	[999, 999, 999, 999]	503.172304578928	501.173103252391	501.1731032523913	inf	1	0	0	0	0	[503.1723045789279, 501.1731032523913]	Complete	1000	1	41	gexf
1902	cut	cap	first	Complete.1000.1.41.gexf	1000	999000	3	2	[999, 999, 999, 999]	503.172304578928	500.174179915282	500.1741799152824	inf	1	0	0	0	0	[503.1723045789279, 500.1741799152824]	Complete	1000	1	41	gexf
1903	cut	cap	first	Complete.1000.1.41.gexf	1000	999000	5	3	[999, 999, 999, 999]	503.172304578928	498.178372449789	498.1783724497887	inf	1	0	0	0	0	[503.1723045789279, 498.1783724497887]	Complete	1000	1	41	gexf
1904	cut	cap	first	Complete.1000.1.41.gexf	1000	999000	10	4	[999, 999, 999, 999]	503.172304578928	493.200915580451	493.20091558045084	inf	1	0	0	0	0	[503.1723045789279, 493.20091558045084]	Complete	1000	1	41	gexf
1905	cut	cap	first	Complete.1000.1.41.gexf	1000	999000	50	5	[999, 999, 999, 999]	503.172304578928	454.19507255895	454.1950725589503	inf	1	0	0	0	0	[503.1723045789279, 454.1950725589503]	Complete	1000	1	41	gexf
1906	cut	cap	first	Complete.1000.20.41.gexf	1000	999000	2	1	[999, 999, 999, 999]	10023	9985	9985	inf	1	0	0	0	0	[10023, 9985]	Complete	1000	20	41	gexf
1907	cut	cap	first	Complete.1000.20.41.gexf	1000	999000	3	2	[999, 999, 999, 999]	10023	9966	9966	inf	1	0	0	0	0	[10023, 9966]	Complete	1000	20	41	gexf
1908	cut	cap	first	Complete.1000.20.41.gexf	1000	999000	5	3	[999, 999, 999, 999]	10023	9928	9928	inf	1	0	0	0	0	[10023, 9928]	Complete	1000	20	41	gexf
