path	k	max.multirute.flow	iterations	k.0	n	neighbour	p	ex	k.5
5969	Small.500.24.5.50.gexf	10	24	1	Small	500	24	5	50	gexf
5971	Small.1000.6.2.50.gexf	2	6	1	Small	1000	6	2	50	gexf
5972	Small.1000.6.2.50.gexf	3	6	1	Small	1000	6	2	50	gexf
5973	Small.1000.6.2.50.gexf	5	6	1	Small	1000	6	2	50	gexf
5976	Small.1000.6.5.50.gexf	2	6	1	Small	1000	6	5	50	gexf
5977	Small.1000.6.5.50.gexf	3	6	1	Small	1000	6	5	50	gexf
5978	Small.1000.6.5.50.gexf	5	6	1	Small	1000	6	5	50	gexf
5981	Small.1000.10.2.50.gexf	2	8	1	Small	1000	10	2	50	gexf
5982	Small.1000.10.2.50.gexf	3	8	1	Small	1000	10	2	50	gexf
5983	Small.1000.10.2.50.gexf	5	8	1	Small	1000	10	2	50	gexf
5986	Small.1000.10.5.50.gexf	2	9	1	Small	1000	10	5	50	gexf
5987	Small.1000.10.5.50.gexf	3	9	1	Small	1000	10	5	50	gexf
5988	Small.1000.10.5.50.gexf	5	9	1	Small	1000	10	5	50	gexf
5991	Small.1000.24.2.50.gexf	2	26	1	Small	1000	24	2	50	gexf
5992	Small.1000.24.2.50.gexf	3	26	1	Small	1000	24	2	50	gexf
5993	Small.1000.24.2.50.gexf	5	26	1	Small	1000	24	2	50	gexf
5994	Small.1000.24.2.50.gexf	10	26	1	Small	1000	24	2	50	gexf
5996	Small.1000.24.5.50.gexf	2	22	1	Small	1000	24	5	50	gexf
5997	Small.1000.24.5.50.gexf	3	22	1	Small	1000	24	5	50	gexf
5998	Small.1000.24.5.50.gexf	5	22	1	Small	1000	24	5	50	gexf
5999	Small.1000.24.5.50.gexf	10	22	1	Small	1000	24	5	50	gexf
6001	Small.50.6.2.51.gexf	2	5	1	Small	50	6	2	51	gexf
6002	Small.50.6.2.51.gexf	3	5	1	Small	50	6	2	51	gexf
6006	Small.50.6.5.51.gexf	2	6	1	Small	50	6	5	51	gexf
6007	Small.50.6.5.51.gexf	3	6	1	Small	50	6	5	51	gexf
6008	Small.50.6.5.51.gexf	5	6	1	Small	50	6	5	51	gexf
6011	Small.50.10.2.51.gexf	2	10	1	Small	50	10	2	51	gexf
6012	Small.50.10.2.51.gexf	3	10	1	Small	50	10	2	51	gexf
6013	Small.50.10.2.51.gexf	5	10	1	Small	50	10	2	51	gexf
6016	Small.50.10.5.51.gexf	2	9	1	Small	50	10	5	51	gexf
6017	Small.50.10.5.51.gexf	3	9	1	Small	50	10	5	51	gexf
6018	Small.50.10.5.51.gexf	5	9	1	Small	50	10	5	51	gexf
6021	Small.50.24.2.51.gexf	2	23	1	Small	50	24	2	51	gexf
6022	Small.50.24.2.51.gexf	3	23	1	Small	50	24	2	51	gexf
6023	Small.50.24.2.51.gexf	5	23	1	Small	50	24	2	51	gexf
6024	Small.50.24.2.51.gexf	10	23	1	Small	50	24	2	51	gexf
6026	Small.50.24.5.51.gexf	2	23	1	Small	50	24	5	51	gexf
6027	Small.50.24.5.51.gexf	3	23	1	Small	50	24	5	51	gexf
6028	Small.50.24.5.51.gexf	5	23	1	Small	50	24	5	51	gexf
6029	Small.50.24.5.51.gexf	10	23	1	Small	50	24	5	51	gexf
6031	Small.100.6.2.51.gexf	2	5	1	Small	100	6	2	51	gexf
6032	Small.100.6.2.51.gexf	3	5	1	Small	100	6	2	51	gexf
6036	Small.100.6.5.51.gexf	2	5	1	Small	100	6	5	51	gexf
6037	Small.100.6.5.51.gexf	3	5	1	Small	100	6	5	51	gexf
6041	Small.100.10.2.51.gexf	2	10	1	Small	100	10	2	51	gexf
6042	Small.100.10.2.51.gexf	3	10	1	Small	100	10	2	51	gexf
6043	Small.100.10.2.51.gexf	5	10	1	Small	100	10	2	51	gexf
6046	Small.100.10.5.51.gexf	2	8	1	Small	100	10	5	51	gexf
6047	Small.100.10.5.51.gexf	3	8	1	Small	100	10	5	51	gexf
6048	Small.100.10.5.51.gexf	5	8	1	Small	100	10	5	51	gexf
6051	Small.100.24.2.51.gexf	2	23	1	Small	100	24	2	51	gexf
6052	Small.100.24.2.51.gexf	3	23	1	Small	100	24	2	51	gexf
6053	Small.100.24.2.51.gexf	5	23	1	Small	100	24	2	51	gexf
6054	Small.100.24.2.51.gexf	10	23	1	Small	100	24	2	51	gexf
6056	Small.100.24.5.51.gexf	2	22	1	Small	100	24	5	51	gexf
6057	Small.100.24.5.51.gexf	3	22	1	Small	100	24	5	51	gexf
6058	Small.100.24.5.51.gexf	5	22	1	Small	100	24	5	51	gexf
6059	Small.100.24.5.51.gexf	10	22	1	Small	100	24	5	51	gexf
6061	Small.500.6.2.51.gexf	2	5	1	Small	500	6	2	51	gexf
6062	Small.500.6.2.51.gexf	3	5	1	Small	500	6	2	51	gexf
6066	Small.500.6.5.51.gexf	2	5	1	Small	500	6	5	51	gexf
6067	Small.500.6.5.51.gexf	3	5	1	Small	500	6	5	51	gexf
6071	Small.500.10.2.51.gexf	2	8	1	Small	500	10	2	51	gexf
6072	Small.500.10.2.51.gexf	3	8	1	Small	500	10	2	51	gexf
6073	Small.500.10.2.51.gexf	5	8	1	Small	500	10	2	51	gexf
6076	Small.500.10.5.51.gexf	2	10	1	Small	500	10	5	51	gexf
6077	Small.500.10.5.51.gexf	3	10	1	Small	500	10	5	51	gexf
6078	Small.500.10.5.51.gexf	5	10	1	Small	500	10	5	51	gexf
6081	Small.500.24.2.51.gexf	2	24	1	Small	500	24	2	51	gexf
6082	Small.500.24.2.51.gexf	3	24	1	Small	500	24	2	51	gexf
6083	Small.500.24.2.51.gexf	5	24	1	Small	500	24	2	51	gexf
6084	Small.500.24.2.51.gexf	10	24	1	Small	500	24	2	51	gexf
6086	Small.500.24.5.51.gexf	2	20	1	Small	500	24	5	51	gexf
6087	Small.500.24.5.51.gexf	3	20	1	Small	500	24	5	51	gexf
6088	Small.500.24.5.51.gexf	5	20	1	Small	500	24	5	51	gexf
6089	Small.500.24.5.51.gexf	10	20	1	Small	500	24	5	51	gexf
6091	Small.1000.6.2.51.gexf	2	6	1	Small	1000	6	2	51	gexf
6092	Small.1000.6.2.51.gexf	3	6	1	Small	1000	6	2	51	gexf
6093	Small.1000.6.2.51.gexf	5	6	1	Small	1000	6	2	51	gexf
6096	Small.1000.6.5.51.gexf	2	7	1	Small	1000	6	5	51	gexf
6097	Small.1000.6.5.51.gexf	3	7	1	Small	1000	6	5	51	gexf
6098	Small.1000.6.5.51.gexf	5	7	1	Small	1000	6	5	51	gexf
6101	Small.1000.10.2.51.gexf	2	8	1	Small	1000	10	2	51	gexf
6102	Small.1000.10.2.51.gexf	3	8	1	Small	1000	10	2	51	gexf
6103	Small.1000.10.2.51.gexf	5	8	1	Small	1000	10	2	51	gexf
6106	Small.1000.10.5.51.gexf	2	9	1	Small	1000	10	5	51	gexf
6107	Small.1000.10.5.51.gexf	3	9	1	Small	1000	10	5	51	gexf
6108	Small.1000.10.5.51.gexf	5	9	1	Small	1000	10	5	51	gexf
6111	Small.1000.24.2.51.gexf	2	23	1	Small	1000	24	2	51	gexf
6112	Small.1000.24.2.51.gexf	3	23	1	Small	1000	24	2	51	gexf
6113	Small.1000.24.2.51.gexf	5	23	1	Small	1000	24	2	51	gexf
6114	Small.1000.24.2.51.gexf	10	23	1	Small	1000	24	2	51	gexf
6116	Small.1000.24.5.51.gexf	2	21	1	Small	1000	24	5	51	gexf
6117	Small.1000.24.5.51.gexf	3	21	1	Small	1000	24	5	51	gexf
6118	Small.1000.24.5.51.gexf	5	21	1	Small	1000	24	5	51	gexf
6119	Small.1000.24.5.51.gexf	10	21	1	Small	1000	24	5	51	gexf
6121	Small.50.6.2.52.gexf	2	5	1	Small	50	6	2	52	gexf
6122	Small.50.6.2.52.gexf	3	5	1	Small	50	6	2	52	gexf
6126	Small.50.6.5.52.gexf	2	5	1	Small	50	6	5	52	gexf
6127	Small.50.6.5.52.gexf	3	5	1	Small	50	6	5	52	gexf
6131	Small.50.10.2.52.gexf	2	11	1	Small	50	10	2	52	gexf
6132	Small.50.10.2.52.gexf	3	11	1	Small	50	10	2	52	gexf
6133	Small.50.10.2.52.gexf	5	11	1	Small	50	10	2	52	gexf
6134	Small.50.10.2.52.gexf	10	11	1	Small	50	10	2	52	gexf
6136	Small.50.10.5.52.gexf	2	9	1	Small	50	10	5	52	gexf
6137	Small.50.10.5.52.gexf	3	9	1	Small	50	10	5	52	gexf
6138	Small.50.10.5.52.gexf	5	9	1	Small	50	10	5	52	gexf
6141	Small.50.24.2.52.gexf	2	22	1	Small	50	24	2	52	gexf
6142	Small.50.24.2.52.gexf	3	22	1	Small	50	24	2	52	gexf
6143	Small.50.24.2.52.gexf	5	22	1	Small	50	24	2	52	gexf
6144	Small.50.24.2.52.gexf	10	22	1	Small	50	24	2	52	gexf
6146	Small.50.24.5.52.gexf	2	26	1	Small	50	24	5	52	gexf
6147	Small.50.24.5.52.gexf	3	26	1	Small	50	24	5	52	gexf
6148	Small.50.24.5.52.gexf	5	26	1	Small	50	24	5	52	gexf
6149	Small.50.24.5.52.gexf	10	26	1	Small	50	24	5	52	gexf
6151	Small.100.6.2.52.gexf	2	6	1	Small	100	6	2	52	gexf
6152	Small.100.6.2.52.gexf	3	6	1	Small	100	6	2	52	gexf
6153	Small.100.6.2.52.gexf	5	6	1	Small	100	6	2	52	gexf
6156	Small.100.6.5.52.gexf	2	4	1	Small	100	6	5	52	gexf
6157	Small.100.6.5.52.gexf	3	4	1	Small	100	6	5	52	gexf
6161	Small.100.10.2.52.gexf	2	9	1	Small	100	10	2	52	gexf
6162	Small.100.10.2.52.gexf	3	9	1	Small	100	10	2	52	gexf
6163	Small.100.10.2.52.gexf	5	9	1	Small	100	10	2	52	gexf
6166	Small.100.10.5.52.gexf	2	8	1	Small	100	10	5	52	gexf
6167	Small.100.10.5.52.gexf	3	8	1	Small	100	10	5	52	gexf
6168	Small.100.10.5.52.gexf	5	8	1	Small	100	10	5	52	gexf
6171	Small.100.24.2.52.gexf	2	22	1	Small	100	24	2	52	gexf
6172	Small.100.24.2.52.gexf	3	22	1	Small	100	24	2	52	gexf
6173	Small.100.24.2.52.gexf	5	22	1	Small	100	24	2	52	gexf
6174	Small.100.24.2.52.gexf	10	22	1	Small	100	24	2	52	gexf
6176	Small.100.24.5.52.gexf	2	23	1	Small	100	24	5	52	gexf
6177	Small.100.24.5.52.gexf	3	23	1	Small	100	24	5	52	gexf
6178	Small.100.24.5.52.gexf	5	23	1	Small	100	24	5	52	gexf
6179	Small.100.24.5.52.gexf	10	23	1	Small	100	24	5	52	gexf
6181	Small.500.6.2.52.gexf	2	7	1	Small	500	6	2	52	gexf
6182	Small.500.6.2.52.gexf	3	7	1	Small	500	6	2	52	gexf
6183	Small.500.6.2.52.gexf	5	7	1	Small	500	6	2	52	gexf
6186	Small.500.6.5.52.gexf	2	5	1	Small	500	6	5	52	gexf
6187	Small.500.6.5.52.gexf	3	5	1	Small	500	6	5	52	gexf
6191	Small.500.10.2.52.gexf	2	10	1	Small	500	10	2	52	gexf
6192	Small.500.10.2.52.gexf	3	10	1	Small	500	10	2	52	gexf
6193	Small.500.10.2.52.gexf	5	10	1	Small	500	10	2	52	gexf
6196	Small.500.10.5.52.gexf	2	9	1	Small	500	10	5	52	gexf
6197	Small.500.10.5.52.gexf	3	9	1	Small	500	10	5	52	gexf
6198	Small.500.10.5.52.gexf	5	9	1	Small	500	10	5	52	gexf
6201	Small.500.24.2.52.gexf	2	24	1	Small	500	24	2	52	gexf
6202	Small.500.24.2.52.gexf	3	24	1	Small	500	24	2	52	gexf
6203	Small.500.24.2.52.gexf	5	24	1	Small	500	24	2	52	gexf
6204	Small.500.24.2.52.gexf	10	24	1	Small	500	24	2	52	gexf
6206	Small.500.24.5.52.gexf	2	26	1	Small	500	24	5	52	gexf
6207	Small.500.24.5.52.gexf	3	26	1	Small	500	24	5	52	gexf
6208	Small.500.24.5.52.gexf	5	26	1	Small	500	24	5	52	gexf
6209	Small.500.24.5.52.gexf	10	26	1	Small	500	24	5	52	gexf
6211	Small.1000.6.2.52.gexf	2	5	1	Small	1000	6	2	52	gexf
6212	Small.1000.6.2.52.gexf	3	5	1	Small	1000	6	2	52	gexf
6216	Small.1000.6.5.52.gexf	2	5	1	Small	1000	6	5	52	gexf
6217	Small.1000.6.5.52.gexf	3	5	1	Small	1000	6	5	52	gexf
6221	Small.1000.10.2.52.gexf	2	11	1	Small	1000	10	2	52	gexf
6222	Small.1000.10.2.52.gexf	3	11	1	Small	1000	10	2	52	gexf
6223	Small.1000.10.2.52.gexf	5	11	1	Small	1000	10	2	52	gexf
6224	Small.1000.10.2.52.gexf	10	11	1	Small	1000	10	2	52	gexf
6226	Small.1000.10.5.52.gexf	2	7	1	Small	1000	10	5	52	gexf
6227	Small.1000.10.5.52.gexf	3	7	1	Small	1000	10	5	52	gexf
6228	Small.1000.10.5.52.gexf	5	7	1	Small	1000	10	5	52	gexf
6231	Small.1000.24.2.52.gexf	2	21	1	Small	1000	24	2	52	gexf
6232	Small.1000.24.2.52.gexf	3	21	1	Small	1000	24	2	52	gexf
6233	Small.1000.24.2.52.gexf	5	21	1	Small	1000	24	2	52	gexf
6234	Small.1000.24.2.52.gexf	10	21	1	Small	1000	24	2	52	gexf
6236	Small.1000.24.5.52.gexf	2	22	1	Small	1000	24	5	52	gexf
6237	Small.1000.24.5.52.gexf	3	22	1	Small	1000	24	5	52	gexf
6238	Small.1000.24.5.52.gexf	5	22	1	Small	1000	24	5	52	gexf
6239	Small.1000.24.5.52.gexf	10	22	1	Small	1000	24	5	52	gexf
6241	Small.50.6.2.53.gexf	2	6	1	Small	50	6	2	53	gexf
6242	Small.50.6.2.53.gexf	3	6	1	Small	50	6	2	53	gexf
6243	Small.50.6.2.53.gexf	5	6	1	Small	50	6	2	53	gexf
6246	Small.50.6.5.53.gexf	2	5	1	Small	50	6	5	53	gexf
6247	Small.50.6.5.53.gexf	3	5	1	Small	50	6	5	53	gexf
6251	Small.50.10.2.53.gexf	2	7	1	Small	50	10	2	53	gexf
6252	Small.50.10.2.53.gexf	3	7	1	Small	50	10	2	53	gexf
6253	Small.50.10.2.53.gexf	5	7	1	Small	50	10	2	53	gexf
6256	Small.50.10.5.53.gexf	2	8	1	Small	50	10	5	53	gexf
6257	Small.50.10.5.53.gexf	3	8	1	Small	50	10	5	53	gexf
6258	Small.50.10.5.53.gexf	5	8	1	Small	50	10	5	53	gexf
6261	Small.50.24.2.53.gexf	2	22	1	Small	50	24	2	53	gexf
6262	Small.50.24.2.53.gexf	3	22	1	Small	50	24	2	53	gexf
6263	Small.50.24.2.53.gexf	5	22	1	Small	50	24	2	53	gexf
6264	Small.50.24.2.53.gexf	10	22	1	Small	50	24	2	53	gexf
6266	Small.50.24.5.53.gexf	2	22	1	Small	50	24	5	53	gexf
6267	Small.50.24.5.53.gexf	3	22	1	Small	50	24	5	53	gexf
6268	Small.50.24.5.53.gexf	5	22	1	Small	50	24	5	53	gexf
6269	Small.50.24.5.53.gexf	10	22	1	Small	50	24	5	53	gexf
6271	Small.100.6.2.53.gexf	2	5	1	Small	100	6	2	53	gexf
6272	Small.100.6.2.53.gexf	3	5	1	Small	100	6	2	53	gexf
6276	Small.100.6.5.53.gexf	2	5	1	Small	100	6	5	53	gexf
6277	Small.100.6.5.53.gexf	3	5	1	Small	100	6	5	53	gexf
6281	Small.100.10.2.53.gexf	2	10	1	Small	100	10	2	53	gexf
6282	Small.100.10.2.53.gexf	3	10	1	Small	100	10	2	53	gexf
6283	Small.100.10.2.53.gexf	5	10	1	Small	100	10	2	53	gexf
6286	Small.100.10.5.53.gexf	2	9	1	Small	100	10	5	53	gexf
6287	Small.100.10.5.53.gexf	3	9	1	Small	100	10	5	53	gexf
6288	Small.100.10.5.53.gexf	5	9	1	Small	100	10	5	53	gexf
6291	Small.100.24.2.53.gexf	2	23	1	Small	100	24	2	53	gexf
6292	Small.100.24.2.53.gexf	3	23	1	Small	100	24	2	53	gexf
6293	Small.100.24.2.53.gexf	5	23	1	Small	100	24	2	53	gexf
6294	Small.100.24.2.53.gexf	10	23	1	Small	100	24	2	53	gexf
6296	Small.100.24.5.53.gexf	2	22	1	Small	100	24	5	53	gexf
6297	Small.100.24.5.53.gexf	3	22	1	Small	100	24	5	53	gexf
6298	Small.100.24.5.53.gexf	5	22	1	Small	100	24	5	53	gexf
6299	Small.100.24.5.53.gexf	10	22	1	Small	100	24	5	53	gexf
6301	Small.500.6.2.53.gexf	2	5	1	Small	500	6	2	53	gexf
6302	Small.500.6.2.53.gexf	3	5	1	Small	500	6	2	53	gexf
6306	Small.500.6.5.53.gexf	2	6	1	Small	500	6	5	53	gexf
6307	Small.500.6.5.53.gexf	3	6	1	Small	500	6	5	53	gexf
6308	Small.500.6.5.53.gexf	5	6	1	Small	500	6	5	53	gexf
6311	Small.500.10.2.53.gexf	2	10	1	Small	500	10	2	53	gexf
6312	Small.500.10.2.53.gexf	3	10	1	Small	500	10	2	53	gexf
6313	Small.500.10.2.53.gexf	5	10	1	Small	500	10	2	53	gexf
6316	Small.500.10.5.53.gexf	2	9	1	Small	500	10	5	53	gexf
6317	Small.500.10.5.53.gexf	3	9	1	Small	500	10	5	53	gexf
6318	Small.500.10.5.53.gexf	5	9	1	Small	500	10	5	53	gexf
6321	Small.500.24.2.53.gexf	2	24	1	Small	500	24	2	53	gexf
6322	Small.500.24.2.53.gexf	3	24	1	Small	500	24	2	53	gexf
6323	Small.500.24.2.53.gexf	5	24	1	Small	500	24	2	53	gexf
6324	Small.500.24.2.53.gexf	10	24	1	Small	500	24	2	53	gexf
6326	Small.500.24.5.53.gexf	2	23	1	Small	500	24	5	53	gexf
6327	Small.500.24.5.53.gexf	3	23	1	Small	500	24	5	53	gexf
6328	Small.500.24.5.53.gexf	5	23	1	Small	500	24	5	53	gexf
6329	Small.500.24.5.53.gexf	10	23	1	Small	500	24	5	53	gexf
6331	Small.1000.6.2.53.gexf	2	5	1	Small	1000	6	2	53	gexf
6332	Small.1000.6.2.53.gexf	3	5	1	Small	1000	6	2	53	gexf
6336	Small.1000.6.5.53.gexf	2	7	1	Small	1000	6	5	53	gexf
6337	Small.1000.6.5.53.gexf	3	7	1	Small	1000	6	5	53	gexf
6338	Small.1000.6.5.53.gexf	5	7	1	Small	1000	6	5	53	gexf
6341	Small.1000.10.2.53.gexf	2	9	1	Small	1000	10	2	53	gexf
6342	Small.1000.10.2.53.gexf	3	9	1	Small	1000	10	2	53	gexf
6343	Small.1000.10.2.53.gexf	5	9	1	Small	1000	10	2	53	gexf
6346	Small.1000.10.5.53.gexf	2	9	1	Small	1000	10	5	53	gexf
6347	Small.1000.10.5.53.gexf	3	9	1	Small	1000	10	5	53	gexf
6348	Small.1000.10.5.53.gexf	5	9	1	Small	1000	10	5	53	gexf
6351	Small.1000.24.2.53.gexf	2	24	1	Small	1000	24	2	53	gexf
6352	Small.1000.24.2.53.gexf	3	24	1	Small	1000	24	2	53	gexf
6353	Small.1000.24.2.53.gexf	5	24	1	Small	1000	24	2	53	gexf
6354	Small.1000.24.2.53.gexf	10	24	1	Small	1000	24	2	53	gexf
6356	Small.1000.24.5.53.gexf	2	19	1	Small	1000	24	5	53	gexf
6357	Small.1000.24.5.53.gexf	3	19	1	Small	1000	24	5	53	gexf
6358	Small.1000.24.5.53.gexf	5	19	1	Small	1000	24	5	53	gexf
6359	Small.1000.24.5.53.gexf	10	19	1	Small	1000	24	5	53	gexf
6361	Small.50.6.2.54.gexf	2	7	1	Small	50	6	2	54	gexf
6362	Small.50.6.2.54.gexf	3	7	1	Small	50	6	2	54	gexf
6363	Small.50.6.2.54.gexf	5	7	1	Small	50	6	2	54	gexf
6366	Small.50.6.5.54.gexf	2	4	1	Small	50	6	5	54	gexf
6367	Small.50.6.5.54.gexf	3	4	1	Small	50	6	5	54	gexf
6371	Small.50.10.2.54.gexf	2	7	1	Small	50	10	2	54	gexf
6372	Small.50.10.2.54.gexf	3	7	1	Small	50	10	2	54	gexf
6373	Small.50.10.2.54.gexf	5	7	1	Small	50	10	2	54	gexf
6376	Small.50.10.5.54.gexf	2	8	1	Small	50	10	5	54	gexf
6377	Small.50.10.5.54.gexf	3	8	1	Small	50	10	5	54	gexf
6378	Small.50.10.5.54.gexf	5	8	1	Small	50	10	5	54	gexf
6381	Small.50.24.2.54.gexf	2	25	1	Small	50	24	2	54	gexf
6382	Small.50.24.2.54.gexf	3	25	1	Small	50	24	2	54	gexf
6383	Small.50.24.2.54.gexf	5	25	1	Small	50	24	2	54	gexf
6384	Small.50.24.2.54.gexf	10	25	2	Small	50	24	2	54	gexf
6386	Small.50.24.5.54.gexf	2	21	1	Small	50	24	5	54	gexf
6387	Small.50.24.5.54.gexf	3	21	1	Small	50	24	5	54	gexf
6388	Small.50.24.5.54.gexf	5	21	1	Small	50	24	5	54	gexf
6389	Small.50.24.5.54.gexf	10	21	1	Small	50	24	5	54	gexf
6391	Small.100.6.2.54.gexf	2	5	1	Small	100	6	2	54	gexf
6392	Small.100.6.2.54.gexf	3	5	1	Small	100	6	2	54	gexf
6396	Small.100.6.5.54.gexf	2	4	1	Small	100	6	5	54	gexf
6397	Small.100.6.5.54.gexf	3	4	1	Small	100	6	5	54	gexf
6401	Small.100.10.2.54.gexf	2	10	1	Small	100	10	2	54	gexf
6402	Small.100.10.2.54.gexf	3	10	1	Small	100	10	2	54	gexf
6403	Small.100.10.2.54.gexf	5	10	1	Small	100	10	2	54	gexf
6406	Small.100.10.5.54.gexf	2	8	1	Small	100	10	5	54	gexf
6407	Small.100.10.5.54.gexf	3	8	1	Small	100	10	5	54	gexf
6408	Small.100.10.5.54.gexf	5	8	1	Small	100	10	5	54	gexf
6411	Small.100.24.2.54.gexf	2	22	1	Small	100	24	2	54	gexf
6412	Small.100.24.2.54.gexf	3	22	1	Small	100	24	2	54	gexf
6413	Small.100.24.2.54.gexf	5	22	1	Small	100	24	2	54	gexf
6414	Small.100.24.2.54.gexf	10	22	1	Small	100	24	2	54	gexf
6416	Small.100.24.5.54.gexf	2	23	1	Small	100	24	5	54	gexf
6417	Small.100.24.5.54.gexf	3	23	1	Small	100	24	5	54	gexf
6418	Small.100.24.5.54.gexf	5	23	1	Small	100	24	5	54	gexf
6419	Small.100.24.5.54.gexf	10	23	1	Small	100	24	5	54	gexf
6421	Small.500.6.2.54.gexf	2	4	1	Small	500	6	2	54	gexf
6422	Small.500.6.2.54.gexf	3	4	1	Small	500	6	2	54	gexf
6426	Small.500.6.5.54.gexf	2	4	1	Small	500	6	5	54	gexf
6427	Small.500.6.5.54.gexf	3	4	1	Small	500	6	5	54	gexf
6431	Small.500.10.2.54.gexf	2	11	1	Small	500	10	2	54	gexf
6432	Small.500.10.2.54.gexf	3	11	1	Small	500	10	2	54	gexf
6433	Small.500.10.2.54.gexf	5	11	1	Small	500	10	2	54	gexf
6434	Small.500.10.2.54.gexf	10	11	1	Small	500	10	2	54	gexf
6436	Small.500.10.5.54.gexf	2	7	1	Small	500	10	5	54	gexf
6437	Small.500.10.5.54.gexf	3	7	1	Small	500	10	5	54	gexf
6438	Small.500.10.5.54.gexf	5	7	1	Small	500	10	5	54	gexf
6441	Small.500.24.2.54.gexf	2	23	1	Small	500	24	2	54	gexf
6442	Small.500.24.2.54.gexf	3	23	1	Small	500	24	2	54	gexf
6443	Small.500.24.2.54.gexf	5	23	1	Small	500	24	2	54	gexf
6444	Small.500.24.2.54.gexf	10	23	1	Small	500	24	2	54	gexf
6446	Small.500.24.5.54.gexf	2	21	1	Small	500	24	5	54	gexf
6447	Small.500.24.5.54.gexf	3	21	1	Small	500	24	5	54	gexf
6448	Small.500.24.5.54.gexf	5	21	1	Small	500	24	5	54	gexf
6449	Small.500.24.5.54.gexf	10	21	1	Small	500	24	5	54	gexf
6451	Small.1000.6.2.54.gexf	2	5	1	Small	1000	6	2	54	gexf
6452	Small.1000.6.2.54.gexf	3	5	1	Small	1000	6	2	54	gexf
6456	Small.1000.6.5.54.gexf	2	7	1	Small	1000	6	5	54	gexf
6457	Small.1000.6.5.54.gexf	3	7	1	Small	1000	6	5	54	gexf
6458	Small.1000.6.5.54.gexf	5	7	1	Small	1000	6	5	54	gexf
6461	Small.1000.10.2.54.gexf	2	8	1	Small	1000	10	2	54	gexf
6462	Small.1000.10.2.54.gexf	3	8	1	Small	1000	10	2	54	gexf
6463	Small.1000.10.2.54.gexf	5	8	1	Small	1000	10	2	54	gexf
6466	Small.1000.10.5.54.gexf	2	7	1	Small	1000	10	5	54	gexf
6467	Small.1000.10.5.54.gexf	3	7	1	Small	1000	10	5	54	gexf
6468	Small.1000.10.5.54.gexf	5	7	1	Small	1000	10	5	54	gexf
6471	Small.1000.24.2.54.gexf	2	23	1	Small	1000	24	2	54	gexf
6472	Small.1000.24.2.54.gexf	3	23	1	Small	1000	24	2	54	gexf
6473	Small.1000.24.2.54.gexf	5	23	1	Small	1000	24	2	54	gexf
6474	Small.1000.24.2.54.gexf	10	23	1	Small	1000	24	2	54	gexf
6476	Small.1000.24.5.54.gexf	2	22	1	Small	1000	24	5	54	gexf
6477	Small.1000.24.5.54.gexf	3	22	1	Small	1000	24	5	54	gexf
6478	Small.1000.24.5.54.gexf	5	22	1	Small	1000	24	5	54	gexf
6479	Small.1000.24.5.54.gexf	10	22	1	Small	1000	24	5	54	gexf
6481	Small.50.6.2.55.gexf	2	5	1	Small	50	6	2	55	gexf
6482	Small.50.6.2.55.gexf	3	5	1	Small	50	6	2	55	gexf
6486	Small.50.6.5.55.gexf	2	5	1	Small	50	6	5	55	gexf
6487	Small.50.6.5.55.gexf	3	5	1	Small	50	6	5	55	gexf
6491	Small.50.10.2.55.gexf	2	10	1	Small	50	10	2	55	gexf
6492	Small.50.10.2.55.gexf	3	10	1	Small	50	10	2	55	gexf
6493	Small.50.10.2.55.gexf	5	10	1	Small	50	10	2	55	gexf
6496	Small.50.10.5.55.gexf	2	9	1	Small	50	10	5	55	gexf
6497	Small.50.10.5.55.gexf	3	9	1	Small	50	10	5	55	gexf
6498	Small.50.10.5.55.gexf	5	9	1	Small	50	10	5	55	gexf
6501	Small.50.24.2.55.gexf	2	22	1	Small	50	24	2	55	gexf
6502	Small.50.24.2.55.gexf	3	22	1	Small	50	24	2	55	gexf
6503	Small.50.24.2.55.gexf	5	22	1	Small	50	24	2	55	gexf
6504	Small.50.24.2.55.gexf	10	22	1	Small	50	24	2	55	gexf
6506	Small.50.24.5.55.gexf	2	24	1	Small	50	24	5	55	gexf
6507	Small.50.24.5.55.gexf	3	24	1	Small	50	24	5	55	gexf
6508	Small.50.24.5.55.gexf	5	24	1	Small	50	24	5	55	gexf
6509	Small.50.24.5.55.gexf	10	24	1	Small	50	24	5	55	gexf
6511	Small.100.6.2.55.gexf	2	5	1	Small	100	6	2	55	gexf
6512	Small.100.6.2.55.gexf	3	5	1	Small	100	6	2	55	gexf
6516	Small.100.6.5.55.gexf	2	4	1	Small	100	6	5	55	gexf
6517	Small.100.6.5.55.gexf	3	4	1	Small	100	6	5	55	gexf
6521	Small.100.10.2.55.gexf	2	9	1	Small	100	10	2	55	gexf
6522	Small.100.10.2.55.gexf	3	9	1	Small	100	10	2	55	gexf
6523	Small.100.10.2.55.gexf	5	9	1	Small	100	10	2	55	gexf
6526	Small.100.10.5.55.gexf	2	10	1	Small	100	10	5	55	gexf
6527	Small.100.10.5.55.gexf	3	10	1	Small	100	10	5	55	gexf
6528	Small.100.10.5.55.gexf	5	10	1	Small	100	10	5	55	gexf
6531	Small.100.24.2.55.gexf	2	22	1	Small	100	24	2	55	gexf
6532	Small.100.24.2.55.gexf	3	22	1	Small	100	24	2	55	gexf
6533	Small.100.24.2.55.gexf	5	22	1	Small	100	24	2	55	gexf
