path	k	max.multirute.flow	iterations	k.0	n	neighbour	p	ex	k.5
283	Small.100.10.2.3.gexf	5	9	1	Small	100	10	2	3	gexf
286	Small.100.10.5.3.gexf	2	11	1	Small	100	10	5	3	gexf
287	Small.100.10.5.3.gexf	3	11	1	Small	100	10	5	3	gexf
288	Small.100.10.5.3.gexf	5	11	1	Small	100	10	5	3	gexf
289	Small.100.10.5.3.gexf	10	11	1	Small	100	10	5	3	gexf
291	Small.100.24.2.3.gexf	2	21	1	Small	100	24	2	3	gexf
292	Small.100.24.2.3.gexf	3	21	1	Small	100	24	2	3	gexf
293	Small.100.24.2.3.gexf	5	21	1	Small	100	24	2	3	gexf
294	Small.100.24.2.3.gexf	10	21	1	Small	100	24	2	3	gexf
296	Small.100.24.5.3.gexf	2	21	1	Small	100	24	5	3	gexf
297	Small.100.24.5.3.gexf	3	21	1	Small	100	24	5	3	gexf
298	Small.100.24.5.3.gexf	5	21	1	Small	100	24	5	3	gexf
299	Small.100.24.5.3.gexf	10	21	1	Small	100	24	5	3	gexf
301	Small.500.6.2.3.gexf	2	6	1	Small	500	6	2	3	gexf
302	Small.500.6.2.3.gexf	3	6	1	Small	500	6	2	3	gexf
303	Small.500.6.2.3.gexf	5	6	1	Small	500	6	2	3	gexf
306	Small.500.6.5.3.gexf	2	7	1	Small	500	6	5	3	gexf
307	Small.500.6.5.3.gexf	3	7	1	Small	500	6	5	3	gexf
308	Small.500.6.5.3.gexf	5	7	1	Small	500	6	5	3	gexf
311	Small.500.10.2.3.gexf	2	8	1	Small	500	10	2	3	gexf
312	Small.500.10.2.3.gexf	3	8	1	Small	500	10	2	3	gexf
313	Small.500.10.2.3.gexf	5	8	1	Small	500	10	2	3	gexf
316	Small.500.10.5.3.gexf	2	11	1	Small	500	10	5	3	gexf
317	Small.500.10.5.3.gexf	3	11	1	Small	500	10	5	3	gexf
318	Small.500.10.5.3.gexf	5	11	1	Small	500	10	5	3	gexf
319	Small.500.10.5.3.gexf	10	11	1	Small	500	10	5	3	gexf
321	Small.500.24.2.3.gexf	2	22	1	Small	500	24	2	3	gexf
322	Small.500.24.2.3.gexf	3	22	1	Small	500	24	2	3	gexf
323	Small.500.24.2.3.gexf	5	22	1	Small	500	24	2	3	gexf
324	Small.500.24.2.3.gexf	10	22	1	Small	500	24	2	3	gexf
326	Small.500.24.5.3.gexf	2	22	1	Small	500	24	5	3	gexf
327	Small.500.24.5.3.gexf	3	22	1	Small	500	24	5	3	gexf
328	Small.500.24.5.3.gexf	5	22	1	Small	500	24	5	3	gexf
329	Small.500.24.5.3.gexf	10	22	1	Small	500	24	5	3	gexf
331	Small.1000.6.2.3.gexf	2	6	1	Small	1000	6	2	3	gexf
332	Small.1000.6.2.3.gexf	3	6	1	Small	1000	6	2	3	gexf
333	Small.1000.6.2.3.gexf	5	6	1	Small	1000	6	2	3	gexf
336	Small.1000.6.5.3.gexf	2	5	1	Small	1000	6	5	3	gexf
337	Small.1000.6.5.3.gexf	3	5	1	Small	1000	6	5	3	gexf
341	Small.1000.10.2.3.gexf	2	8	1	Small	1000	10	2	3	gexf
342	Small.1000.10.2.3.gexf	3	8	1	Small	1000	10	2	3	gexf
343	Small.1000.10.2.3.gexf	5	8	1	Small	1000	10	2	3	gexf
346	Small.1000.10.5.3.gexf	2	9	1	Small	1000	10	5	3	gexf
347	Small.1000.10.5.3.gexf	3	9	1	Small	1000	10	5	3	gexf
348	Small.1000.10.5.3.gexf	5	9	1	Small	1000	10	5	3	gexf
351	Small.1000.24.2.3.gexf	2	23	1	Small	1000	24	2	3	gexf
352	Small.1000.24.2.3.gexf	3	23	1	Small	1000	24	2	3	gexf
353	Small.1000.24.2.3.gexf	5	23	1	Small	1000	24	2	3	gexf
354	Small.1000.24.2.3.gexf	10	23	1	Small	1000	24	2	3	gexf
356	Small.1000.24.5.3.gexf	2	23	1	Small	1000	24	5	3	gexf
357	Small.1000.24.5.3.gexf	3	23	1	Small	1000	24	5	3	gexf
358	Small.1000.24.5.3.gexf	5	23	1	Small	1000	24	5	3	gexf
359	Small.1000.24.5.3.gexf	10	23	1	Small	1000	24	5	3	gexf
361	Small.50.6.2.4.gexf	2	5	1	Small	50	6	2	4	gexf
362	Small.50.6.2.4.gexf	3	5	1	Small	50	6	2	4	gexf
366	Small.50.6.5.4.gexf	2	6	1	Small	50	6	5	4	gexf
367	Small.50.6.5.4.gexf	3	6	1	Small	50	6	5	4	gexf
368	Small.50.6.5.4.gexf	5	6	1	Small	50	6	5	4	gexf
371	Small.50.10.2.4.gexf	2	9	1	Small	50	10	2	4	gexf
372	Small.50.10.2.4.gexf	3	9	1	Small	50	10	2	4	gexf
373	Small.50.10.2.4.gexf	5	9	1	Small	50	10	2	4	gexf
376	Small.50.10.5.4.gexf	2	6	1	Small	50	10	5	4	gexf
377	Small.50.10.5.4.gexf	3	6	1	Small	50	10	5	4	gexf
378	Small.50.10.5.4.gexf	5	6	1	Small	50	10	5	4	gexf
381	Small.50.24.2.4.gexf	2	26	1	Small	50	24	2	4	gexf
382	Small.50.24.2.4.gexf	3	26	1	Small	50	24	2	4	gexf
383	Small.50.24.2.4.gexf	5	26	1	Small	50	24	2	4	gexf
384	Small.50.24.2.4.gexf	10	26	1	Small	50	24	2	4	gexf
386	Small.50.24.5.4.gexf	2	26	1	Small	50	24	5	4	gexf
387	Small.50.24.5.4.gexf	3	26	1	Small	50	24	5	4	gexf
388	Small.50.24.5.4.gexf	5	26	1	Small	50	24	5	4	gexf
389	Small.50.24.5.4.gexf	10	26	1	Small	50	24	5	4	gexf
391	Small.100.6.2.4.gexf	2	5	1	Small	100	6	2	4	gexf
392	Small.100.6.2.4.gexf	3	5	1	Small	100	6	2	4	gexf
396	Small.100.6.5.4.gexf	2	6	1	Small	100	6	5	4	gexf
397	Small.100.6.5.4.gexf	3	6	1	Small	100	6	5	4	gexf
398	Small.100.6.5.4.gexf	5	6	1	Small	100	6	5	4	gexf
401	Small.100.10.2.4.gexf	2	9	1	Small	100	10	2	4	gexf
402	Small.100.10.2.4.gexf	3	9	1	Small	100	10	2	4	gexf
403	Small.100.10.2.4.gexf	5	9	1	Small	100	10	2	4	gexf
406	Small.100.10.5.4.gexf	2	8	1	Small	100	10	5	4	gexf
407	Small.100.10.5.4.gexf	3	8	1	Small	100	10	5	4	gexf
408	Small.100.10.5.4.gexf	5	8	1	Small	100	10	5	4	gexf
411	Small.100.24.2.4.gexf	2	24	1	Small	100	24	2	4	gexf
412	Small.100.24.2.4.gexf	3	24	1	Small	100	24	2	4	gexf
413	Small.100.24.2.4.gexf	5	24	1	Small	100	24	2	4	gexf
414	Small.100.24.2.4.gexf	10	24	1	Small	100	24	2	4	gexf
416	Small.100.24.5.4.gexf	2	25	1	Small	100	24	5	4	gexf
417	Small.100.24.5.4.gexf	3	25	1	Small	100	24	5	4	gexf
418	Small.100.24.5.4.gexf	5	25	1	Small	100	24	5	4	gexf
419	Small.100.24.5.4.gexf	10	25	2	Small	100	24	5	4	gexf
421	Small.500.6.2.4.gexf	2	5	1	Small	500	6	2	4	gexf
422	Small.500.6.2.4.gexf	3	5	1	Small	500	6	2	4	gexf
426	Small.500.6.5.4.gexf	2	7	1	Small	500	6	5	4	gexf
427	Small.500.6.5.4.gexf	3	7	1	Small	500	6	5	4	gexf
428	Small.500.6.5.4.gexf	5	7	1	Small	500	6	5	4	gexf
431	Small.500.10.2.4.gexf	2	8	1	Small	500	10	2	4	gexf
432	Small.500.10.2.4.gexf	3	8	1	Small	500	10	2	4	gexf
433	Small.500.10.2.4.gexf	5	8	1	Small	500	10	2	4	gexf
436	Small.500.10.5.4.gexf	2	8	1	Small	500	10	5	4	gexf
437	Small.500.10.5.4.gexf	3	8	1	Small	500	10	5	4	gexf
438	Small.500.10.5.4.gexf	5	8	1	Small	500	10	5	4	gexf
441	Small.500.24.2.4.gexf	2	23	1	Small	500	24	2	4	gexf
442	Small.500.24.2.4.gexf	3	23	1	Small	500	24	2	4	gexf
443	Small.500.24.2.4.gexf	5	23	1	Small	500	24	2	4	gexf
444	Small.500.24.2.4.gexf	10	23	1	Small	500	24	2	4	gexf
446	Small.500.24.5.4.gexf	2	22	1	Small	500	24	5	4	gexf
447	Small.500.24.5.4.gexf	3	22	1	Small	500	24	5	4	gexf
448	Small.500.24.5.4.gexf	5	22	1	Small	500	24	5	4	gexf
449	Small.500.24.5.4.gexf	10	22	1	Small	500	24	5	4	gexf
451	Small.1000.6.2.4.gexf	2	6	1	Small	1000	6	2	4	gexf
452	Small.1000.6.2.4.gexf	3	6	1	Small	1000	6	2	4	gexf
453	Small.1000.6.2.4.gexf	5	6	1	Small	1000	6	2	4	gexf
456	Small.1000.6.5.4.gexf	2	8	1	Small	1000	6	5	4	gexf
457	Small.1000.6.5.4.gexf	3	8	1	Small	1000	6	5	4	gexf
458	Small.1000.6.5.4.gexf	5	8	1	Small	1000	6	5	4	gexf
461	Small.1000.10.2.4.gexf	2	9	1	Small	1000	10	2	4	gexf
462	Small.1000.10.2.4.gexf	3	9	1	Small	1000	10	2	4	gexf
463	Small.1000.10.2.4.gexf	5	9	1	Small	1000	10	2	4	gexf
466	Small.1000.10.5.4.gexf	2	10	1	Small	1000	10	5	4	gexf
467	Small.1000.10.5.4.gexf	3	10	1	Small	1000	10	5	4	gexf
468	Small.1000.10.5.4.gexf	5	10	1	Small	1000	10	5	4	gexf
471	Small.1000.24.2.4.gexf	2	21	1	Small	1000	24	2	4	gexf
472	Small.1000.24.2.4.gexf	3	21	1	Small	1000	24	2	4	gexf
473	Small.1000.24.2.4.gexf	5	21	1	Small	1000	24	2	4	gexf
474	Small.1000.24.2.4.gexf	10	21	1	Small	1000	24	2	4	gexf
476	Small.1000.24.5.4.gexf	2	27	1	Small	1000	24	5	4	gexf
477	Small.1000.24.5.4.gexf	3	27	1	Small	1000	24	5	4	gexf
478	Small.1000.24.5.4.gexf	5	27	1	Small	1000	24	5	4	gexf
479	Small.1000.24.5.4.gexf	10	27	1	Small	1000	24	5	4	gexf
481	Small.50.6.2.5.gexf	2	7	1	Small	50	6	2	5	gexf
482	Small.50.6.2.5.gexf	3	7	1	Small	50	6	2	5	gexf
483	Small.50.6.2.5.gexf	5	7	1	Small	50	6	2	5	gexf
486	Small.50.6.5.5.gexf	2	5	1	Small	50	6	5	5	gexf
487	Small.50.6.5.5.gexf	3	5	1	Small	50	6	5	5	gexf
491	Small.50.10.2.5.gexf	2	8	1	Small	50	10	2	5	gexf
492	Small.50.10.2.5.gexf	3	8	1	Small	50	10	2	5	gexf
493	Small.50.10.2.5.gexf	5	8	1	Small	50	10	2	5	gexf
496	Small.50.10.5.5.gexf	2	8	1	Small	50	10	5	5	gexf
