construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	max.c	ex	k.4	mem	constant	best
73	cut	cap	first	Complete.50.1.8.gexf	50	2450	5	3	[49, 49, 49, 49]	21.5106400752924	17.0668099939771	17.066809993977113	inf	136	0	0	0	0	[21.51064007529242, 17.066809993977113]	Complete	50	1	8	gexf	21.5106400752924	1.26037848214655	0.5
74	cut	cap	first	Complete.50.1.8.gexf	50	2450	10	4	[49, 49, 49, 49]	21.5106400752924	13.2407948960961	13.24079489609612	inf	137	0	0	0	0	[21.51064007529242, 13.24079489609612]	Complete	50	1	8	gexf	21.5106400752924	1.62457316528893	0.5
76	cut	cap	first	Complete.50.20.8.gexf	50	2450	2	1	[49, 49, 49, 49]	461	423	423	inf	216	0	0	0	0	[461, 423]	Complete	50	20	8	gexf	461	1.08983451536643	0.5
77	cut	cap	first	Complete.50.20.8.gexf	50	2450	3	2	[49, 49, 49, 49]	461	404	404	inf	228	0	0	0	0	[461, 404]	Complete	50	20	8	gexf	461	1.14108910891089	0.5
78	cut	cap	first	Complete.50.20.8.gexf	50	2450	5	3	[49, 49, 49, 49]	461	368	368	inf	197	0	0	0	0	[461, 368]	Complete	50	20	8	gexf	461	1.25271739130435	0.5
79	cut	cap	first	Complete.50.20.8.gexf	50	2450	10	4	[49, 49, 49, 49]	461	295	295	inf	348	0	0	0	0	[461, 295]	Complete	50	20	8	gexf	461	1.56271186440678	0.5
81	cut	cap	first	Complete.50.1.9.gexf	50	2450	2	1	[49, 49, 49, 49]	22.8164824696437	20.8972168723343	20.89721687233433	inf	118	0	0	0	0	[22.816482469643685, 20.89721687233433]	Complete	50	1	9	gexf	22.8164824696437	1.09184312002094	0.5
82	cut	cap	first	Complete.50.1.9.gexf	50	2450	3	2	[49, 49, 49, 49]	22.8164824696437	19.9658915093337	19.965891509333698	inf	195	0	0	0	0	[22.816482469643685, 19.965891509333698]	Complete	50	1	9	gexf	22.8164824696437	1.14277303665491	0.5
83	cut	cap	first	Complete.50.1.9.gexf	50	2450	5	3	[49, 49, 49, 49]	22.8164824696437	18.1989104293635	18.19891042936345	inf	196	0	0	0	0	[22.816482469643685, 18.19891042936345]	Complete	50	1	9	gexf	22.8164824696437	1.25372793927432	0.5
84	cut	cap	first	Complete.50.1.9.gexf	50	2450	10	4	[49, 49, 49, 49]	22.8164824696437	14.2471139229217	14.247113922921685	inf	198	0	0	0	0	[22.816482469643685, 14.247113922921685]	Complete	50	1	9	gexf	22.8164824696437	1.60148101524864	0.5
86	cut	cap	first	Complete.50.20.9.gexf	50	2450	2	1	[49, 49, 49, 49]	473	435	435	inf	161	0	0	0	0	[473, 435]	Complete	50	20	9	gexf	473	1.08735632183908	0.5
87	cut	cap	first	Complete.50.20.9.gexf	50	2450	3	2	[49, 49, 49, 49]	473	416	416	inf	247	0	0	0	0	[473, 416]	Complete	50	20	9	gexf	473	1.13701923076923	0.5
88	cut	cap	first	Complete.50.20.9.gexf	50	2450	5	3	[49, 49, 49, 49]	473	378	378	inf	191	0	0	0	0	[473, 378]	Complete	50	20	9	gexf	473	1.25132275132275	0.5
89	cut	cap	first	Complete.50.20.9.gexf	50	2450	10	4	[49, 49, 49, 49]	473	292	292	inf	299	0	0	0	0	[473, 292]	Complete	50	20	9	gexf	473	1.61986301369863	0.5
91	cut	cap	first	Complete.50.1.10.gexf	50	2450	2	1	[49, 49, 49, 49]	21.2302146677367	19.2853189189809	19.28531891898094	inf	247	0	0	0	0	[21.230214667736703, 19.28531891898094]	Complete	50	1	10	gexf	21.2302146677367	1.10084851367646	0.5
92	cut	cap	first	Complete.50.1.10.gexf	50	2450	3	2	[49, 49, 49, 49]	21.2302146677367	18.3385723722646	18.338572372264558	inf	248	0	0	0	0	[21.230214667736703, 18.338572372264558]	Complete	50	1	10	gexf	21.2302146677367	1.15768088359187	0.5
93	cut	cap	first	Complete.50.1.10.gexf	50	2450	5	3	[49, 49, 49, 49]	21.2302146677367	16.483783564767	16.483783564767002	inf	194	0	0	0	0	[21.230214667736703, 16.483783564767002]	Complete	50	1	10	gexf	21.2302146677367	1.28794548801981	0.5
94	cut	cap	first	Complete.50.1.10.gexf	50	2450	10	4	[49, 49, 49, 49]	21.2302146677367	12.3262656864158	12.326265686415756	inf	136	0	0	0	0	[21.230214667736703, 12.326265686415756]	Complete	50	1	10	gexf	21.2302146677367	1.72235575703464	0.5
96	cut	cap	first	Complete.50.20.10.gexf	50	2450	2	1	[49, 49, 49, 49]	426	391	391	inf	192	0	0	0	0	[426, 391]	Complete	50	20	10	gexf	426	1.08951406649616	0.5
97	cut	cap	first	Complete.50.20.10.gexf	50	2450	3	2	[49, 49, 49, 49]	426	375	375	inf	198	0	0	0	0	[426, 375]	Complete	50	20	10	gexf	426	1.136	0.5
98	cut	cap	first	Complete.50.20.10.gexf	50	2450	5	3	[49, 49, 49, 49]	426	345	345	inf	223	0	0	0	0	[426, 345]	Complete	50	20	10	gexf	426	1.23478260869565	0.5
99	cut	cap	first	Complete.50.20.10.gexf	50	2450	10	4	[49, 49, 49, 49]	426	276	276	inf	218	0	0	0	0	[426, 276]	Complete	50	20	10	gexf	426	1.54347826086957	0.5
101	cut	cap	first	Complete.50.1.11.gexf	50	2450	2	1	[49, 49, 49, 49]	23.7919211391467	21.8106622989383	21.81066229893827	inf	155	0	0	0	0	[23.791921139146684, 21.81066229893827]	Complete	50	1	11	gexf	23.7919211391467	1.090839004018	0.5
102	cut	cap	first	Complete.50.1.11.gexf	50	2450	3	2	[49, 49, 49, 49]	23.7919211391467	20.842178581662	20.84217858166201	inf	247	0	0	0	0	[23.791921139146684, 20.84217858166201]	Complete	50	1	11	gexf	23.7919211391467	1.1415275541339	0.5
103	cut	cap	first	Complete.50.1.11.gexf	50	2450	5	3	[49, 49, 49, 49]	23.7919211391467	19.0205321864758	19.020532186475783	inf	196	0	0	0	0	[23.791921139146684, 19.020532186475783]	Complete	50	1	11	gexf	23.7919211391467	1.2508546504321	0.5
104	cut	cap	first	Complete.50.1.11.gexf	50	2450	10	4	[49, 49, 49, 49]	23.7919211391467	14.9854460859835	14.985446085983533	inf	252	0	0	0	0	[23.791921139146684, 14.985446085983533]	Complete	50	1	11	gexf	23.7919211391467	1.58766852869333	0.5
106	cut	cap	first	Complete.50.20.11.gexf	50	2450	2	1	[49, 49, 49, 49]	425	389	389	inf	196	0	0	0	0	[425, 389]	Complete	50	20	11	gexf	425	1.09254498714653	0.5
107	cut	cap	first	Complete.50.20.11.gexf	50	2450	3	2	[49, 49, 49, 49]	425	372	372	inf	553	0	0	0	0	[425, 372]	Complete	50	20	11	gexf	425	1.14247311827957	0.5
108	cut	cap	first	Complete.50.20.11.gexf	50	2450	5	3	[49, 49, 49, 49]	425	340	340	inf	178	0	0	0	0	[425, 340]	Complete	50	20	11	gexf	425	1.25	0.5
109	cut	cap	first	Complete.50.20.11.gexf	50	2450	10	4	[49, 49, 49, 49]	425	265	265	inf	254	0	0	0	0	[425, 265]	Complete	50	20	11	gexf	425	1.60377358490566	0.5
111	cut	cap	first	Complete.50.1.12.gexf	50	2450	2	1	[49, 49, 49, 49]	27.1004515908875	25.1736845641681	25.173684564168063	inf	117	0	0	0	0	[27.100451590887516, 25.173684564168063]	Complete	50	1	12	gexf	27.1004515908875	1.07653893580052	0.5
112	cut	cap	first	Complete.50.1.12.gexf	50	2450	3	2	[49, 49, 49, 49]	27.1004515908875	24.2431215727144	24.24312157271441	inf	137	0	0	0	0	[27.100451590887516, 24.24312157271441]	Complete	50	1	12	gexf	27.1004515908875	1.11786147297917	0.5
113	cut	cap	first	Complete.50.1.12.gexf	50	2450	5	3	[49, 49, 49, 49]	27.1004515908875	22.4430046094063	22.44300460940634	inf	160	0	0	0	0	[27.100451590887516, 22.44300460940634]	Complete	50	1	12	gexf	27.1004515908875	1.20752332686904	0.5
114	cut	cap	first	Complete.50.1.12.gexf	50	2450	10	4	[49, 49, 49, 49]	27.1004515908875	18.1999522172682	18.19995221726818	inf	197	0	0	0	0	[27.100451590887516, 18.19995221726818]	Complete	50	1	12	gexf	27.1004515908875	1.48903971105894	0.5
116	cut	cap	first	Complete.50.20.12.gexf	50	2450	2	1	[49, 49, 49, 49]	406	368	368	inf	247	0	0	0	0	[406, 368]	Complete	50	20	12	gexf	406	1.10326086956522	0.5
117	cut	cap	first	Complete.50.20.12.gexf	50	2450	3	2	[49, 49, 49, 49]	406	350	350	inf	347	0	0	0	0	[406, 350]	Complete	50	20	12	gexf	406	1.16	0.5
118	cut	cap	first	Complete.50.20.12.gexf	50	2450	5	3	[49, 49, 49, 49]	406	314	314	inf	249	0	0	0	0	[406, 314]	Complete	50	20	12	gexf	406	1.29299363057325	0.5
119	cut	cap	first	Complete.50.20.12.gexf	50	2450	10	4	[49, 49, 49, 49]	406	229	229	inf	563	0	0	0	0	[406, 229]	Complete	50	20	12	gexf	406	1.77292576419214	0.5
121	cut	cap	first	Complete.50.1.13.gexf	50	2450	2	1	[49, 49, 49, 49]	23.5632127856033	21.6449819897954	21.64498198979543	inf	193	0	0	0	0	[23.56321278560334, 21.64498198979543]	Complete	50	1	13	gexf	23.5632127856033	1.08862242512894	0.5
122	cut	cap	first	Complete.50.1.13.gexf	50	2450	3	2	[49, 49, 49, 49]	23.5632127856033	20.7229473866029	20.722947386602872	inf	336	0	0	0	0	[23.56321278560334, 20.722947386602872]	Complete	50	1	13	gexf	23.5632127856033	1.13705894948306	0.5
123	cut	cap	first	Complete.50.1.13.gexf	50	2450	5	3	[49, 49, 49, 49]	23.5632127856033	18.9084669647833	18.908466964783305	inf	137	0	0	0	0	[23.56321278560334, 18.908466964783305]	Complete	50	1	13	gexf	23.5632127856033	1.24617256541683	0.5
124	cut	cap	first	Complete.50.1.13.gexf	50	2450	10	4	[49, 49, 49, 49]	23.5632127856033	14.7170884841797	14.717088484179696	inf	349	0	0	0	0	[23.56321278560334, 14.717088484179696]	Complete	50	1	13	gexf	23.5632127856033	1.60107842056755	0.5
126	cut	cap	first	Complete.50.20.13.gexf	50	2450	2	1	[49, 49, 49, 49]	471	434	434	inf	159	0	0	0	0	[471, 434]	Complete	50	20	13	gexf	471	1.0852534562212	0.5
127	cut	cap	first	Complete.50.20.13.gexf	50	2450	3	2	[49, 49, 49, 49]	471	416	416	inf	196	0	0	0	0	[471, 416]	Complete	50	20	13	gexf	471	1.13221153846154	0.5
128	cut	cap	first	Complete.50.20.13.gexf	50	2450	5	3	[49, 49, 49, 49]	471	380	380	inf	266	0	0	0	0	[471, 380]	Complete	50	20	13	gexf	471	1.23947368421053	0.5
129	cut	cap	first	Complete.50.20.13.gexf	50	2450	10	4	[49, 49, 49, 49]	471	301	301	inf	202	0	0	0	0	[471, 301]	Complete	50	20	13	gexf	471	1.56478405315615	0.5
131	cut	cap	first	Complete.50.1.14.gexf	50	2450	2	1	[49, 49, 49, 49]	23.354380907327	21.4586724787848	21.45867247878479	inf	340	0	0	0	0	[23.35438090732696, 21.45867247878479]	Complete	50	1	14	gexf	23.3543809073269	1.08834229752173	0.5
132	cut	cap	first	Complete.50.1.14.gexf	50	2450	3	2	[49, 49, 49, 49]	23.354380907327	20.5348442793073	20.53484427930732	inf	248	0	0	0	0	[23.35438090732696, 20.53484427930732]	Complete	50	1	14	gexf	23.3543809073269	1.13730499192832	0.5
133	cut	cap	first	Complete.50.1.14.gexf	50	2450	5	3	[49, 49, 49, 49]	23.354380907327	18.7238801142086	18.72388011420863	inf	163	0	0	0	0	[23.35438090732696, 18.72388011420863]	Complete	50	1	14	gexf	23.3543809073269	1.24730455252191	0.5
134	cut	cap	first	Complete.50.1.14.gexf	50	2450	10	4	[49, 49, 49, 49]	23.354380907327	14.476927930339	14.476927930339018	inf	197	0	0	0	0	[23.35438090732696, 14.476927930339018]	Complete	50	1	14	gexf	23.3543809073269	1.61321386828096	0.5
136	cut	cap	first	Complete.50.20.14.gexf	50	2450	2	1	[49, 49, 49, 49]	464	426	426	inf	251	0	0	0	0	[464, 426]	Complete	50	20	14	gexf	464	1.08920187793427	0.5
137	cut	cap	first	Complete.50.20.14.gexf	50	2450	3	2	[49, 49, 49, 49]	464	408	408	inf	244	0	0	0	0	[464, 408]	Complete	50	20	14	gexf	464	1.13725490196078	0.5
138	cut	cap	first	Complete.50.20.14.gexf	50	2450	5	3	[49, 49, 49, 49]	464	372	372	inf	210	0	0	0	0	[464, 372]	Complete	50	20	14	gexf	464	1.24731182795699	0.5
139	cut	cap	first	Complete.50.20.14.gexf	50	2450	10	4	[49, 49, 49, 49]	464	287	287	inf	374	0	0	0	0	[464, 287]	Complete	50	20	14	gexf	464	1.61672473867596	0.5
141	cut	cap	first	Complete.50.1.15.gexf	50	2450	2	1	[49, 49, 49, 49]	22.5897025471705	20.604209485837	20.604209485837046	inf	117	0	0	0	0	[22.589702547170518, 20.604209485837046]	Complete	50	1	15	gexf	22.5897025471705	1.09636346702349	0
142	cut	cap	first	Complete.50.1.15.gexf	50	2450	3	2	[49, 49, 49, 49]	22.5897025471705	19.633103968163	19.633103968163013	inf	331	0	0	0	0	[22.589702547170518, 19.633103968163013]	Complete	50	1	15	gexf	22.5897025471705	1.15059251882952	0
