path	k	max.multirute.flow	iterations	k.0	n	max.c	ex	k.4	small_1	constant1	uni_2	constant2	best.constant	best.alg
30	Complete.500.20.1.gexf	50	4873	1	Complete	500	20	1	gexf	3952	1.23304655870445	3952	1.23304655870445	1.23304655870445	NA
31	Complete.1000.1.1.gexf	2	504.684031170327	1	Complete	1000	1	1	gexf	502.687848619447	1.00397101811067	502.687848619445	1.00397101811067	1.00397101811067	2
32	Complete.1000.1.1.gexf	3	504.684031170327	1	Complete	1000	1	1	gexf	501.690553748421	1.00596678051747	501.69055374842	1.00596678051747	1.00596678051747	2
33	Complete.1000.1.1.gexf	5	504.684031170327	1	Complete	1000	1	1	gexf	499.697138683407	1.00997982998273	499.697138683406	1.00997982998274	1.00997982998274	2
34	Complete.1000.1.1.gexf	10	504.684031170327	1	Complete	1000	1	1	gexf	494.738384616806	1.02010283993069	494.738384616806	1.02010283993069	1.02010283993069	2
35	Complete.1000.1.1.gexf	50	504.684031170327	1	Complete	1000	1	1	gexf	455.995401139254	1.10677438831495	455.995401139253	1.10677438831495	1.10677438831495	2
36	Complete.1000.20.1.gexf	2	9964	1	Complete	1000	20	1	gexf	9926	1.00382832963933	9926	1.00382832963933	1.00382832963933	NA
37	Complete.1000.20.1.gexf	3	9964	1	Complete	1000	20	1	gexf	9907	1.00575350762087	9907	1.00575350762087	1.00575350762087	NA
38	Complete.1000.20.1.gexf	5	9964	1	Complete	1000	20	1	gexf	9869	1.00962610193535	9869	1.00962610193535	1.00962610193535	NA
39	Complete.1000.20.1.gexf	10	9964	1	Complete	1000	20	1	gexf	9774	1.01943932883159	9774	1.01943932883159	1.01943932883159	NA
40	Complete.1000.20.1.gexf	50	9964	1	Complete	1000	20	1	gexf	9014	1.10539161304637	9014	1.10539161304637	1.10539161304637	NA
41	Complete.50.1.2.gexf	2	22.5002994966135	1	Complete	50	1	2	gexf	20.579103829518	1.09335662441917	21.4899454278809	1.04701519936955	1.09335662441917	NA
42	Complete.50.1.2.gexf	3	22.5002994966135	1	Complete	50	1	2	gexf	19.6510258869987	1.14499363168108	20.6451189798994	1.08986049043943	1.14499363168108	NA
43	Complete.50.1.2.gexf	5	22.5002994966135	1	Complete	50	1	2	gexf	17.8029371009853	1.26385322652003	19.3093679295057	1.16525303048537	1.26385322652003	NA
44	Complete.50.1.2.gexf	10	22.5002994966135	1	Complete	50	1	2	gexf	13.7413922312564	1.63741046889222	14.8797255890119	1.51214478802144	1.63741046889222	NA
46	Complete.50.20.2.gexf	2	421	1	Complete	50	20	2	gexf	383	1.09921671018277	383	1.09921671018277	1.09921671018277	NA
47	Complete.50.20.2.gexf	3	421	1	Complete	50	20	2	gexf	364	1.15659340659341	364	1.15659340659341	1.15659340659341	NA
48	Complete.50.20.2.gexf	5	421	1	Complete	50	20	2	gexf	328	1.28353658536585	328	1.28353658536585	1.28353658536585	NA
49	Complete.50.20.2.gexf	10	421	1	Complete	50	20	2	gexf	247	1.70445344129555	247	1.70445344129555	1.70445344129555	NA
51	Complete.100.1.2.gexf	2	52.5259650767411	1	Complete	100	1	2	gexf	50.5716679539655	1.03864411046427	50.8436093062735	1.03308883443607	1.03864411046427	NA
52	Complete.100.1.2.gexf	3	52.5259650767411	1	Complete	100	1	2	gexf	49.6169967539031	1.05862846429957	49.8956732773987	1.05271582938102	1.05862846429957	NA
53	Complete.100.1.2.gexf	5	52.5259650767411	1	Complete	100	1	2	gexf	47.7155291721105	1.10081489167351	48.0083726251477	1.09410009555764	1.10081489167351	NA
54	Complete.100.1.2.gexf	10	52.5259650767411	1	Complete	100	1	2	gexf	43.1034335254709	1.21860280679733	43.4336869255656	1.20933700992866	1.21860280679733	NA
55	Complete.100.1.2.gexf	50	52.5259650767411	1	Complete	100	1	2	gexf	13.4809759823153	3.89630284525734	14.9724210003566	3.50818114688935	3.89630284525734	NA
56	Complete.100.20.2.gexf	2	925	1	Complete	100	20	2	gexf	887	1.04284103720406	925	1	1.04284103720406	NA
57	Complete.100.20.2.gexf	3	925	1	Complete	100	20	2	gexf	868	1.06566820276498	900	1.02777777777778	1.06566820276498	NA
58	Complete.100.20.2.gexf	5	925	1	Complete	100	20	2	gexf	832	1.11177884615385	910	1.01648351648352	1.11177884615385	NA
59	Complete.100.20.2.gexf	10	925	1	Complete	100	20	2	gexf	746	1.23994638069705	826	1.11985472154964	1.23994638069705	NA
60	Complete.100.20.2.gexf	50	922.25	4	Complete	100	20	2	gexf	248	3.71875	273	3.37820512820513	3.71875	NA
61	Complete.500.1.2.gexf	2	243.405153005754	1	Complete	500	1	2	gexf	241.411164261533	1.00825972050763	243.405153005755	0.999999999999999	1.00825972050763	NA
62	Complete.500.1.2.gexf	3	243.405153005754	1	Complete	500	1	2	gexf	240.418098631828	1.01242441559485	243.405153005755	0.999999999999998	1.01242441559485	NA
63	Complete.500.1.2.gexf	5	243.405153005754	1	Complete	500	1	2	gexf	238.436756496874	1.02083737667747	243.248176756344	1.00064533371433	1.02083737667747	NA
64	Complete.500.1.2.gexf	10	243.405153005754	1	Complete	500	1	2	gexf	233.514512289738	1.04235557190443	238.3833465627	1.02106609591427	1.04235557190443	NA
65	Complete.500.1.2.gexf	50	243.405153005754	1	Complete	500	1	2	gexf	196.002548599659	1.24184687773074	201.284059188914	1.20926194546438	1.24184687773074	NA
66	Complete.500.20.2.gexf	2	4813	1	Complete	500	20	2	gexf	4775	1.00795811518325	4813	1	1.00795811518325	NA
67	Complete.500.20.2.gexf	3	4813	1	Complete	500	20	2	gexf	4756	1.01198486122792	4813	1	1.01198486122792	NA
68	Complete.500.20.2.gexf	5	4813	1	Complete	500	20	2	gexf	4718	1.02013565069945	4813	1	1.02013565069945	NA
69	Complete.500.20.2.gexf	10	4813	1	Complete	500	20	2	gexf	4623	1.0410988535583	4746	1.01411715128529	1.0410988535583	NA
70	Complete.500.20.2.gexf	50	4813	1	Complete	500	20	2	gexf	3899	1.23441908181585	4004	1.20204795204795	1.23441908181585	NA
