construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	neighbour	p	ex	k.5	mem	constant	best
123	cut	cap	first	Small.50.6.2.5.gexf	50	300	5	3	[7, 7, 7, 7]	7	2	2.0	inf	3735	0	0	0	0	[7.0, 2.0]	Small	50	6	2	5	gexf	7	3.5	0.5
126	cut	cap	first	Small.50.6.5.5.gexf	50	300	2	1	[5, 5, 5, 5]	5	3	3.0	inf	3635	0	0	0	0	[5.0, 3.0]	Small	50	6	5	5	gexf	5	1.66666666666667	0.5
127	cut	cap	first	Small.50.6.5.5.gexf	50	300	3	2	[5, 5, 5, 5]	5	2	2.0	inf	3736	0	0	0	0	[5.0, 2.0]	Small	50	6	5	5	gexf	5	2.5	0.5
131	cut	cap	first	Small.50.10.2.5.gexf	50	500	2	1	[8, 8, 8, 8]	8	6	6.0	inf	2331	0	0	0	0	[8.0, 6.0]	Small	50	10	2	5	gexf	8	1.33333333333333	0.5
132	cut	cap	first	Small.50.10.2.5.gexf	50	500	3	2	[8, 8, 8, 8]	8	5	5.0	inf	2346	0	0	0	0	[8.0, 5.0]	Small	50	10	2	5	gexf	8	1.6	0.5
133	cut	cap	first	Small.50.10.2.5.gexf	50	500	5	3	[8, 8, 8, 8]	8	3	3.0	inf	2374	0	0	0	0	[8.0, 3.0]	Small	50	10	2	5	gexf	8	2.66666666666667	0.5
136	cut	cap	first	Small.50.10.5.5.gexf	50	500	2	1	[8, 8, 8, 8]	8	6	6.0	inf	2358	0	0	0	0	[8.0, 6.0]	Small	50	10	5	5	gexf	8	1.33333333333333	0.5
137	cut	cap	first	Small.50.10.5.5.gexf	50	500	3	2	[8, 8, 8, 8]	8	5	5.0	inf	2370	0	0	0	0	[8.0, 5.0]	Small	50	10	5	5	gexf	8	1.6	0.5
138	cut	cap	first	Small.50.10.5.5.gexf	50	500	5	3	[8, 8, 8, 8]	8	3	3.0	inf	2356	0	0	0	0	[8.0, 3.0]	Small	50	10	5	5	gexf	8	2.66666666666667	0.5
141	cut	cap	first	Small.50.24.2.5.gexf	50	1200	2	1	[24, 24, 24, 24]	24	22	22.0	inf	1034	0	0	0	0	[24.0, 22.0]	Small	50	24	2	5	gexf	24	1.09090909090909	0.5
