construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	neighbour	p	ex	k.5	mem	constant	best
5214	cut	cap	first	Small.100.24.2.74.gexf	100	2400	10	4	[22, 22, 22, 22]	22	12	12.0	inf	520	0	0	0	0	[22.0, 12.0]	Small	100	24	2	74	gexf	22	1.83333333333333	0.5
5216	cut	cap	first	Small.100.24.5.74.gexf	100	2400	2	1	[25, 25, 25, 25]	25	23	23.0	inf	506	0	0	0	0	[25.0, 23.0]	Small	100	24	5	74	gexf	25	1.08695652173913	0.5
5217	cut	cap	first	Small.100.24.5.74.gexf	100	2400	3	2	[25, 25, 25, 25]	25	22	22.0	inf	507	0	0	0	0	[25.0, 22.0]	Small	100	24	5	74	gexf	25	1.13636363636364	0.5
5218	cut	cap	first	Small.100.24.5.74.gexf	100	2400	5	3	[25, 25, 25, 25]	25	20	20.0	inf	513	0	0	0	0	[25.0, 20.0]	Small	100	24	5	74	gexf	25	1.25	0.5
5219	cut	cap	first	Small.100.24.5.74.gexf	100	2400	10	4	[25, 25, 25, 25]	25	15	15.0	inf	511	0	0	0	0	[25.0, 15.0]	Small	100	24	5	74	gexf	25	1.66666666666667	0.5
5221	cut	cap	first	Small.100.6.2.75.gexf	100	600	2	1	[5, 5, 5, 5]	5	3	3.0	inf	1832	0	0	0	0	[5.0, 3.0]	Small	100	6	2	75	gexf	5	1.66666666666667	0.5
5222	cut	cap	first	Small.100.6.2.75.gexf	100	600	3	2	[5, 5, 5, 5]	5	2	2.0	inf	1845	0	0	0	0	[5.0, 2.0]	Small	100	6	2	75	gexf	5	2.5	0.5
5226	cut	cap	first	Small.100.6.5.75.gexf	100	600	2	1	[4, 4, 4, 4]	4	2	2.0	inf	1823	0	0	0	0	[4.0, 2.0]	Small	100	6	5	75	gexf	4	2	0.5
5227	cut	cap	first	Small.100.6.5.75.gexf	100	600	3	2	[4, 4, 4, 4]	4	1	1.0	inf	1838	0	0	0	0	[4.0, 1.0]	Small	100	6	5	75	gexf	4	4	0.5
5231	cut	cap	first	Small.100.10.2.75.gexf	100	1000	2	1	[9, 9, 9, 9]	9	7	7.0	inf	1178	0	0	0	0	[9.0, 7.0]	Small	100	10	2	75	gexf	9	1.28571428571429	0.5
5232	cut	cap	first	Small.100.10.2.75.gexf	100	1000	3	2	[9, 9, 9, 9]	9	6	6.0	inf	1191	0	0	0	0	[9.0, 6.0]	Small	100	10	2	75	gexf	9	1.5	0.5
5233	cut	cap	first	Small.100.10.2.75.gexf	100	1000	5	3	[9, 9, 9, 9]	9	4	4.0	inf	1186	0	0	0	0	[9.0, 4.0]	Small	100	10	2	75	gexf	9	2.25	0.5
5236	cut	cap	first	Small.100.10.5.75.gexf	100	1000	2	1	[12, 12, 12, 12]	12	10	10.0	inf	1155	0	0	0	0	[12.0, 10.0]	Small	100	10	5	75	gexf	12	1.2	0.5
5237	cut	cap	first	Small.100.10.5.75.gexf	100	1000	3	2	[12, 12, 12, 12]	12	9	9.0	inf	1167	0	0	0	0	[12.0, 9.0]	Small	100	10	5	75	gexf	12	1.33333333333333	0.5
5238	cut	cap	first	Small.100.10.5.75.gexf	100	1000	5	3	[12, 12, 12, 12]	12	7	7.0	inf	1174	0	0	0	0	[12.0, 7.0]	Small	100	10	5	75	gexf	12	1.71428571428571	0.5
5239	cut	cap	first	Small.100.10.5.75.gexf	100	1000	10	4	[12, 12, 12, 12]	12	2	2.0	inf	1172	0	0	0	0	[12.0, 2.0]	Small	100	10	5	75	gexf	12	6	0.5
5241	cut	cap	first	Small.100.24.2.75.gexf	100	2400	2	1	[20, 20, 20, 20]	20	18	18.0	inf	509	0	0	0	0	[20.0, 18.0]	Small	100	24	2	75	gexf	20	1.11111111111111	0.5
5242	cut	cap	first	Small.100.24.2.75.gexf	100	2400	3	2	[20, 20, 20, 20]	20	17	17.0	inf	510	0	0	0	0	[20.0, 17.0]	Small	100	24	2	75	gexf	20	1.17647058823529	0.5
5243	cut	cap	first	Small.100.24.2.75.gexf	100	2400	5	3	[20, 20, 20, 20]	20	15	15.0	inf	512	0	0	0	0	[20.0, 15.0]	Small	100	24	2	75	gexf	20	1.33333333333333	0.5
5244	cut	cap	first	Small.100.24.2.75.gexf	100	2400	10	4	[20, 20, 20, 20]	20	10	10.0	inf	515	0	0	0	0	[20.0, 10.0]	Small	100	24	2	75	gexf	20	2	0.5
5246	cut	cap	first	Small.100.24.5.75.gexf	100	2400	2	1	[24, 24, 24, 24]	24	22	22.0	inf	507	0	0	0	0	[24.0, 22.0]	Small	100	24	5	75	gexf	24	1.09090909090909	0.5
5247	cut	cap	first	Small.100.24.5.75.gexf	100	2400	3	2	[24, 24, 24, 24]	24	21	21.0	inf	508	0	0	0	0	[24.0, 21.0]	Small	100	24	5	75	gexf	24	1.14285714285714	0.5
5248	cut	cap	first	Small.100.24.5.75.gexf	100	2400	5	3	[24, 24, 24, 24]	24	19	19.0	inf	514	0	0	0	0	[24.0, 19.0]	Small	100	24	5	75	gexf	24	1.26315789473684	0.5
5249	cut	cap	first	Small.100.24.5.75.gexf	100	2400	10	4	[24, 24, 24, 24]	24	14	14.0	inf	507	0	0	0	0	[24.0, 14.0]	Small	100	24	5	75	gexf	24	1.71428571428571	0.5
5251	cut	cap	first	Small.100.6.2.76.gexf	100	600	2	1	[5, 5, 5, 5]	5	3	3.0	inf	1814	0	0	0	0	[5.0, 3.0]	Small	100	6	2	76	gexf	5	1.66666666666667	0.5
5252	cut	cap	first	Small.100.6.2.76.gexf	100	600	3	2	[5, 5, 5, 5]	5	2	2.0	inf	1792	0	0	0	0	[5.0, 2.0]	Small	100	6	2	76	gexf	5	2.5	0.5
5256	cut	cap	first	Small.100.6.5.76.gexf	100	600	2	1	[5, 5, 5, 5]	5	3	3.0	inf	1839	0	0	0	0	[5.0, 3.0]	Small	100	6	5	76	gexf	5	1.66666666666667	0.5
5257	cut	cap	first	Small.100.6.5.76.gexf	100	600	3	2	[5, 5, 5, 5]	5	2	2.0	inf	1850	0	0	0	0	[5.0, 2.0]	Small	100	6	5	76	gexf	5	2.5	0.5
5261	cut	cap	first	Small.100.10.2.76.gexf	100	1000	2	1	[8, 8, 8, 8]	8	6	6.0	inf	1170	0	0	0	0	[8.0, 6.0]	Small	100	10	2	76	gexf	8	1.33333333333333	0.5
5262	cut	cap	first	Small.100.10.2.76.gexf	100	1000	3	2	[8, 8, 8, 8]	8	5	5.0	inf	1182	0	0	0	0	[8.0, 5.0]	Small	100	10	2	76	gexf	8	1.6	0.5
5263	cut	cap	first	Small.100.10.2.76.gexf	100	1000	5	3	[8, 8, 8, 8]	8	3	3.0	inf	1188	0	0	0	0	[8.0, 3.0]	Small	100	10	2	76	gexf	8	2.66666666666667	0.5
5266	cut	cap	first	Small.100.10.5.76.gexf	100	1000	2	1	[9, 9, 9, 9]	9	7	7.0	inf	1158	0	0	0	0	[9.0, 7.0]	Small	100	10	5	76	gexf	9	1.28571428571429	0.5
5267	cut	cap	first	Small.100.10.5.76.gexf	100	1000	3	2	[9, 9, 9, 9]	9	6	6.0	inf	1174	0	0	0	0	[9.0, 6.0]	Small	100	10	5	76	gexf	9	1.5	0.5
5268	cut	cap	first	Small.100.10.5.76.gexf	100	1000	5	3	[9, 9, 9, 9]	9	4	4.0	inf	1180	0	0	0	0	[9.0, 4.0]	Small	100	10	5	76	gexf	9	2.25	0.5
5271	cut	cap	first	Small.100.24.2.76.gexf	100	2400	2	1	[23, 23, 23, 23]	23	21	21.0	inf	509	0	0	0	0	[23.0, 21.0]	Small	100	24	2	76	gexf	23	1.0952380952381	0.5
5272	cut	cap	first	Small.100.24.2.76.gexf	100	2400	3	2	[23, 23, 23, 23]	23	20	20.0	inf	508	0	0	0	0	[23.0, 20.0]	Small	100	24	2	76	gexf	23	1.15	0.5
5273	cut	cap	first	Small.100.24.2.76.gexf	100	2400	5	3	[23, 23, 23, 23]	23	18	18.0	inf	506	0	0	0	0	[23.0, 18.0]	Small	100	24	2	76	gexf	23	1.27777777777778	0.5
5274	cut	cap	first	Small.100.24.2.76.gexf	100	2400	10	4	[23, 23, 23, 23]	23	13	13.0	inf	508	0	0	0	0	[23.0, 13.0]	Small	100	24	2	76	gexf	23	1.76923076923077	0.5
5276	cut	cap	first	Small.100.24.5.76.gexf	100	2400	2	1	[20, 20, 20, 20]	20	18	18.0	inf	514	0	0	0	0	[20.0, 18.0]	Small	100	24	5	76	gexf	20	1.11111111111111	0.5
5277	cut	cap	first	Small.100.24.5.76.gexf	100	2400	3	2	[20, 20, 20, 20]	20	17	17.0	inf	515	0	0	0	0	[20.0, 17.0]	Small	100	24	5	76	gexf	20	1.17647058823529	0.5
5278	cut	cap	first	Small.100.24.5.76.gexf	100	2400	5	3	[20, 20, 20, 20]	20	15	15.0	inf	515	0	0	0	0	[20.0, 15.0]	Small	100	24	5	76	gexf	20	1.33333333333333	0.5
5279	cut	cap	first	Small.100.24.5.76.gexf	100	2400	10	4	[20, 20, 20, 20]	20	10	10.0	inf	517	0	0	0	0	[20.0, 10.0]	Small	100	24	5	76	gexf	20	2	0.5
5281	cut	cap	first	Small.100.6.2.77.gexf	100	600	2	1	[6, 6, 6, 6]	6	4	4.0	inf	1832	0	0	0	0	[6.0, 4.0]	Small	100	6	2	77	gexf	6	1.5	0.5
5282	cut	cap	first	Small.100.6.2.77.gexf	100	600	3	2	[6, 6, 6, 6]	6	3	3.0	inf	1822	0	0	0	0	[6.0, 3.0]	Small	100	6	2	77	gexf	6	2	0.5
5283	cut	cap	first	Small.100.6.2.77.gexf	100	600	5	3	[6, 6, 6, 6]	6	1	1.0	inf	1817	0	0	0	0	[6.0, 1.0]	Small	100	6	2	77	gexf	6	6	0.5
5286	cut	cap	first	Small.100.6.5.77.gexf	100	600	2	1	[5, 5, 5, 5]	5	3	3.0	inf	1815	0	0	0	0	[5.0, 3.0]	Small	100	6	5	77	gexf	5	1.66666666666667	0.5
5287	cut	cap	first	Small.100.6.5.77.gexf	100	600	3	2	[5, 5, 5, 5]	5	2	2.0	inf	1811	0	0	0	0	[5.0, 2.0]	Small	100	6	5	77	gexf	5	2.5	0.5
5291	cut	cap	first	Small.100.10.2.77.gexf	100	1000	2	1	[10, 10, 10, 10]	10	8	8.0	inf	1158	0	0	0	0	[10.0, 8.0]	Small	100	10	2	77	gexf	10	1.25	0.5
5292	cut	cap	first	Small.100.10.2.77.gexf	100	1000	3	2	[10, 10, 10, 10]	10	7	7.0	inf	1179	0	0	0	0	[10.0, 7.0]	Small	100	10	2	77	gexf	10	1.42857142857143	0.5
5293	cut	cap	first	Small.100.10.2.77.gexf	100	1000	5	3	[10, 10, 10, 10]	10	5	5.0	inf	1187	0	0	0	0	[10.0, 5.0]	Small	100	10	2	77	gexf	10	2	0.5
5296	cut	cap	first	Small.100.10.5.77.gexf	100	1000	2	1	[9, 9, 9, 9]	9	7	7.0	inf	1135	0	0	0	0	[9.0, 7.0]	Small	100	10	5	77	gexf	9	1.28571428571429	0.5
5297	cut	cap	first	Small.100.10.5.77.gexf	100	1000	3	2	[9, 9, 9, 9]	9	6	6.0	inf	1158	0	0	0	0	[9.0, 6.0]	Small	100	10	5	77	gexf	9	1.5	0.5
5298	cut	cap	first	Small.100.10.5.77.gexf	100	1000	5	3	[9, 9, 9, 9]	9	4	4.0	inf	1146	0	0	0	0	[9.0, 4.0]	Small	100	10	5	77	gexf	9	2.25	0.5
5301	cut	cap	first	Small.100.24.2.77.gexf	100	2400	2	1	[22, 22, 22, 22]	22	20	20.0	inf	510	0	0	0	0	[22.0, 20.0]	Small	100	24	2	77	gexf	22	1.1	0.5
5302	cut	cap	first	Small.100.24.2.77.gexf	100	2400	3	2	[22, 22, 22, 22]	22	19	19.0	inf	510	0	0	0	0	[22.0, 19.0]	Small	100	24	2	77	gexf	22	1.15789473684211	0.5
5303	cut	cap	first	Small.100.24.2.77.gexf	100	2400	5	3	[22, 22, 22, 22]	22	17	17.0	inf	512	0	0	0	0	[22.0, 17.0]	Small	100	24	2	77	gexf	22	1.29411764705882	0.5
5304	cut	cap	first	Small.100.24.2.77.gexf	100	2400	10	4	[22, 22, 22, 22]	22	12	12.0	inf	513	0	0	0	0	[22.0, 12.0]	Small	100	24	2	77	gexf	22	1.83333333333333	0.5
5306	cut	cap	first	Small.100.24.5.77.gexf	100	2400	2	1	[24, 24, 24, 24]	24	22	22.0	inf	498	0	0	0	0	[24.0, 22.0]	Small	100	24	5	77	gexf	24	1.09090909090909	0.5
5307	cut	cap	first	Small.100.24.5.77.gexf	100	2400	3	2	[24, 24, 24, 24]	24	21	21.0	inf	501	0	0	0	0	[24.0, 21.0]	Small	100	24	5	77	gexf	24	1.14285714285714	0.5
5308	cut	cap	first	Small.100.24.5.77.gexf	100	2400	5	3	[24, 24, 24, 24]	24	19	19.0	inf	501	0	0	0	0	[24.0, 19.0]	Small	100	24	5	77	gexf	24	1.26315789473684	0.5
5309	cut	cap	first	Small.100.24.5.77.gexf	100	2400	10	4	[24, 24, 24, 24]	24	14	14.0	inf	506	0	0	0	0	[24.0, 14.0]	Small	100	24	5	77	gexf	24	1.71428571428571	0.5
5311	cut	cap	first	Small.100.6.2.78.gexf	100	600	2	1	[6, 6, 6, 6]	6	4	4.0	inf	1809	0	0	0	0	[6.0, 4.0]	Small	100	6	2	78	gexf	6	1.5	0.5
5312	cut	cap	first	Small.100.6.2.78.gexf	100	600	3	2	[6, 6, 6, 6]	6	3	3.0	inf	1807	0	0	0	0	[6.0, 3.0]	Small	100	6	2	78	gexf	6	2	0.5
5313	cut	cap	first	Small.100.6.2.78.gexf	100	600	5	3	[6, 6, 6, 6]	6	1	1.0	inf	1839	0	0	0	0	[6.0, 1.0]	Small	100	6	2	78	gexf	6	6	0.5
5316	cut	cap	first	Small.100.6.5.78.gexf	100	600	2	1	[6, 6, 6, 6]	6	4	4.0	inf	1782	0	0	0	0	[6.0, 4.0]	Small	100	6	5	78	gexf	6	1.5	0.5
5317	cut	cap	first	Small.100.6.5.78.gexf	100	600	3	2	[6, 6, 6, 6]	6	3	3.0	inf	1803	0	0	0	0	[6.0, 3.0]	Small	100	6	5	78	gexf	6	2	0.5
5318	cut	cap	first	Small.100.6.5.78.gexf	100	600	5	3	[6, 6, 6, 6]	6	1	1.0	inf	1825	0	0	0	0	[6.0, 1.0]	Small	100	6	5	78	gexf	6	6	0.5
5321	cut	cap	first	Small.100.10.2.78.gexf	100	1000	2	1	[9, 9, 9, 9]	9	7	7.0	inf	1186	0	0	0	0	[9.0, 7.0]	Small	100	10	2	78	gexf	9	1.28571428571429	0.5
5322	cut	cap	first	Small.100.10.2.78.gexf	100	1000	3	2	[9, 9, 9, 9]	9	6	6.0	inf	1190	0	0	0	0	[9.0, 6.0]	Small	100	10	2	78	gexf	9	1.5	0.5
5323	cut	cap	first	Small.100.10.2.78.gexf	100	1000	5	3	[9, 9, 9, 9]	9	4	4.0	inf	1194	0	0	0	0	[9.0, 4.0]	Small	100	10	2	78	gexf	9	2.25	0.5
5326	cut	cap	first	Small.100.10.5.78.gexf	100	1000	2	1	[9, 9, 9, 9]	9	7	7.0	inf	1167	0	0	0	0	[9.0, 7.0]	Small	100	10	5	78	gexf	9	1.28571428571429	0.5
5327	cut	cap	first	Small.100.10.5.78.gexf	100	1000	3	2	[9, 9, 9, 9]	9	6	6.0	inf	1170	0	0	0	0	[9.0, 6.0]	Small	100	10	5	78	gexf	9	1.5	0.5
5328	cut	cap	first	Small.100.10.5.78.gexf	100	1000	5	3	[9, 9, 9, 9]	9	4	4.0	inf	1176	0	0	0	0	[9.0, 4.0]	Small	100	10	5	78	gexf	9	2.25	0.5
5331	cut	cap	first	Small.100.24.2.78.gexf	100	2400	2	1	[23, 23, 23, 23]	23	21	21.0	inf	506	0	0	0	0	[23.0, 21.0]	Small	100	24	2	78	gexf	23	1.0952380952381	0.5
5332	cut	cap	first	Small.100.24.2.78.gexf	100	2400	3	2	[23, 23, 23, 23]	23	20	20.0	inf	506	0	0	0	0	[23.0, 20.0]	Small	100	24	2	78	gexf	23	1.15	0.5
5333	cut	cap	first	Small.100.24.2.78.gexf	100	2400	5	3	[23, 23, 23, 23]	23	18	18.0	inf	505	0	0	0	0	[23.0, 18.0]	Small	100	24	2	78	gexf	23	1.27777777777778	0.5
5334	cut	cap	first	Small.100.24.2.78.gexf	100	2400	10	4	[23, 23, 23, 23]	23	13	13.0	inf	502	0	0	0	0	[23.0, 13.0]	Small	100	24	2	78	gexf	23	1.76923076923077	0.5
5336	cut	cap	first	Small.100.24.5.78.gexf	100	2400	2	1	[19, 19, 19, 19]	19	17	17.0	inf	505	0	0	0	0	[19.0, 17.0]	Small	100	24	5	78	gexf	19	1.11764705882353	0.5
5337	cut	cap	first	Small.100.24.5.78.gexf	100	2400	3	2	[19, 19, 19, 19]	19	16	16.0	inf	508	0	0	0	0	[19.0, 16.0]	Small	100	24	5	78	gexf	19	1.1875	0.5
5338	cut	cap	first	Small.100.24.5.78.gexf	100	2400	5	3	[19, 19, 19, 19]	19	14	14.0	inf	510	0	0	0	0	[19.0, 14.0]	Small	100	24	5	78	gexf	19	1.35714285714286	0.5
5339	cut	cap	first	Small.100.24.5.78.gexf	100	2400	10	4	[19, 19, 19, 19]	19	9	9.0	inf	515	0	0	0	0	[19.0, 9.0]	Small	100	24	5	78	gexf	19	2.11111111111111	0.5
5341	cut	cap	first	Small.100.6.2.79.gexf	100	600	2	1	[5, 5, 5, 5]	5	3	3.0	inf	1751	0	0	0	0	[5.0, 3.0]	Small	100	6	2	79	gexf	5	1.66666666666667	0.5
5342	cut	cap	first	Small.100.6.2.79.gexf	100	600	3	2	[5, 5, 5, 5]	5	2	2.0	inf	1789	0	0	0	0	[5.0, 2.0]	Small	100	6	2	79	gexf	5	2.5	0.5
5346	cut	cap	first	Small.100.6.5.79.gexf	100	600	2	1	[4, 4, 4, 4]	4	2	2.0	inf	1808	0	0	0	0	[4.0, 2.0]	Small	100	6	5	79	gexf	4	2	0.5
5347	cut	cap	first	Small.100.6.5.79.gexf	100	600	3	2	[4, 4, 4, 4]	4	1	1.0	inf	1799	0	0	0	0	[4.0, 1.0]	Small	100	6	5	79	gexf	4	4	0.5
5351	cut	cap	first	Small.100.10.2.79.gexf	100	1000	2	1	[9, 9, 9, 9]	9	7	7.0	inf	1166	0	0	0	0	[9.0, 7.0]	Small	100	10	2	79	gexf	9	1.28571428571429	0.5
5352	cut	cap	first	Small.100.10.2.79.gexf	100	1000	3	2	[9, 9, 9, 9]	9	6	6.0	inf	1177	0	0	0	0	[9.0, 6.0]	Small	100	10	2	79	gexf	9	1.5	0.5
5353	cut	cap	first	Small.100.10.2.79.gexf	100	1000	5	3	[9, 9, 9, 9]	9	4	4.0	inf	1186	0	0	0	0	[9.0, 4.0]	Small	100	10	2	79	gexf	9	2.25	0.5
5356	cut	cap	first	Small.100.10.5.79.gexf	100	1000	2	1	[7, 7, 7, 7]	7	5	5.0	inf	1167	0	0	0	0	[7.0, 5.0]	Small	100	10	5	79	gexf	7	1.4	0.5
5357	cut	cap	first	Small.100.10.5.79.gexf	100	1000	3	2	[7, 7, 7, 7]	7	4	4.0	inf	1167	0	0	0	0	[7.0, 4.0]	Small	100	10	5	79	gexf	7	1.75	0.5
5358	cut	cap	first	Small.100.10.5.79.gexf	100	1000	5	3	[7, 7, 7, 7]	7	2	2.0	inf	1170	0	0	0	0	[7.0, 2.0]	Small	100	10	5	79	gexf	7	3.5	0.5
5361	cut	cap	first	Small.100.24.2.79.gexf	100	2400	2	1	[22, 22, 22, 22]	22	20	20.0	inf	501	0	0	0	0	[22.0, 20.0]	Small	100	24	2	79	gexf	22	1.1	0.5
5362	cut	cap	first	Small.100.24.2.79.gexf	100	2400	3	2	[22, 22, 22, 22]	22	19	19.0	inf	506	0	0	0	0	[22.0, 19.0]	Small	100	24	2	79	gexf	22	1.15789473684211	0.5
5363	cut	cap	first	Small.100.24.2.79.gexf	100	2400	5	3	[22, 22, 22, 22]	22	17	17.0	inf	507	0	0	0	0	[22.0, 17.0]	Small	100	24	2	79	gexf	22	1.29411764705882	0.5
5364	cut	cap	first	Small.100.24.2.79.gexf	100	2400	10	4	[22, 22, 22, 22]	22	12	12.0	inf	514	0	0	0	0	[22.0, 12.0]	Small	100	24	2	79	gexf	22	1.83333333333333	0.5
5366	cut	cap	first	Small.100.24.5.79.gexf	100	2400	2	1	[20, 20, 20, 20]	20	18	18.0	inf	509	0	0	0	0	[20.0, 18.0]	Small	100	24	5	79	gexf	20	1.11111111111111	0.5
5367	cut	cap	first	Small.100.24.5.79.gexf	100	2400	3	2	[20, 20, 20, 20]	20	17	17.0	inf	510	0	0	0	0	[20.0, 17.0]	Small	100	24	5	79	gexf	20	1.17647058823529	0.5
5368	cut	cap	first	Small.100.24.5.79.gexf	100	2400	5	3	[20, 20, 20, 20]	20	15	15.0	inf	513	0	0	0	0	[20.0, 15.0]	Small	100	24	5	79	gexf	20	1.33333333333333	0.5
5369	cut	cap	first	Small.100.24.5.79.gexf	100	2400	10	4	[20, 20, 20, 20]	20	10	10.0	inf	517	0	0	0	0	[20.0, 10.0]	Small	100	24	5	79	gexf	20	2	0.5
5371	cut	cap	first	Small.100.6.2.80.gexf	100	600	2	1	[5, 5, 5, 5]	5	3	3.0	inf	1815	0	0	0	0	[5.0, 3.0]	Small	100	6	2	80	gexf	5	1.66666666666667	0.5
5372	cut	cap	first	Small.100.6.2.80.gexf	100	600	3	2	[5, 5, 5, 5]	5	2	2.0	inf	1814	0	0	0	0	[5.0, 2.0]	Small	100	6	2	80	gexf	5	2.5	0.5
5376	cut	cap	first	Small.100.6.5.80.gexf	100	600	2	1	[4, 4, 4, 4]	4	2	2.0	inf	1808	0	0	0	0	[4.0, 2.0]	Small	100	6	5	80	gexf	4	2	0.5
5377	cut	cap	first	Small.100.6.5.80.gexf	100	600	3	2	[4, 4, 4, 4]	4	1	1.0	inf	1822	0	0	0	0	[4.0, 1.0]	Small	100	6	5	80	gexf	4	4	0.5
5381	cut	cap	first	Small.100.10.2.80.gexf	100	1000	2	1	[9, 9, 9, 9]	9	7	7.0	inf	1163	0	0	0	0	[9.0, 7.0]	Small	100	10	2	80	gexf	9	1.28571428571429	0.5
5382	cut	cap	first	Small.100.10.2.80.gexf	100	1000	3	2	[9, 9, 9, 9]	9	6	6.0	inf	1174	0	0	0	0	[9.0, 6.0]	Small	100	10	2	80	gexf	9	1.5	0.5
5383	cut	cap	first	Small.100.10.2.80.gexf	100	1000	5	3	[9, 9, 9, 9]	9	4	4.0	inf	1172	0	0	0	0	[9.0, 4.0]	Small	100	10	2	80	gexf	9	2.25	0.5
5386	cut	cap	first	Small.100.10.5.80.gexf	100	1000	2	1	[8, 8, 8, 8]	8	6	6.0	inf	1179	0	0	0	0	[8.0, 6.0]	Small	100	10	5	80	gexf	8	1.33333333333333	0.5
5387	cut	cap	first	Small.100.10.5.80.gexf	100	1000	3	2	[8, 8, 8, 8]	8	5	5.0	inf	1177	0	0	0	0	[8.0, 5.0]	Small	100	10	5	80	gexf	8	1.6	0.5
5388	cut	cap	first	Small.100.10.5.80.gexf	100	1000	5	3	[8, 8, 8, 8]	8	3	3.0	inf	1181	0	0	0	0	[8.0, 3.0]	Small	100	10	5	80	gexf	8	2.66666666666667	0.5
5391	cut	cap	first	Small.100.24.2.80.gexf	100	2400	2	1	[25, 25, 25, 25]	25	23	23.0	inf	501	0	0	0	0	[25.0, 23.0]	Small	100	24	2	80	gexf	25	1.08695652173913	0.5
5392	cut	cap	first	Small.100.24.2.80.gexf	100	2400	3	2	[25, 25, 25, 25]	25	22	22.0	inf	508	0	0	0	0	[25.0, 22.0]	Small	100	24	2	80	gexf	25	1.13636363636364	0.5
5393	cut	cap	first	Small.100.24.2.80.gexf	100	2400	5	3	[25, 25, 25, 25]	25	20	20.0	inf	514	0	0	0	0	[25.0, 20.0]	Small	100	24	2	80	gexf	25	1.25	0.5
5394	cut	cap	first	Small.100.24.2.80.gexf	100	2400	10	4	[25, 25, 25, 25]	25	15	15.0	inf	521	0	0	0	0	[25.0, 15.0]	Small	100	24	2	80	gexf	25	1.66666666666667	0.5
5396	cut	cap	first	Small.100.24.5.80.gexf	100	2400	2	1	[22, 22, 22, 22]	22	20	20.0	inf	514	0	0	0	0	[22.0, 20.0]	Small	100	24	5	80	gexf	22	1.1	0.5
5397	cut	cap	first	Small.100.24.5.80.gexf	100	2400	3	2	[22, 22, 22, 22]	22	19	19.0	inf	520	0	0	0	0	[22.0, 19.0]	Small	100	24	5	80	gexf	22	1.15789473684211	0.5
5398	cut	cap	first	Small.100.24.5.80.gexf	100	2400	5	3	[22, 22, 22, 22]	22	17	17.0	inf	516	0	0	0	0	[22.0, 17.0]	Small	100	24	5	80	gexf	22	1.29411764705882	0.5
5399	cut	cap	first	Small.100.24.5.80.gexf	100	2400	10	4	[22, 22, 22, 22]	22	12	12.0	inf	514	0	0	0	0	[22.0, 12.0]	Small	100	24	5	80	gexf	22	1.83333333333333	0.5
5401	cut	cap	first	Small.100.6.2.81.gexf	100	600	2	1	[6, 6, 6, 6]	6	4	4.0	inf	1830	0	0	0	0	[6.0, 4.0]	Small	100	6	2	81	gexf	6	1.5	0.5
5402	cut	cap	first	Small.100.6.2.81.gexf	100	600	3	2	[6, 6, 6, 6]	6	3	3.0	inf	1845	0	0	0	0	[6.0, 3.0]	Small	100	6	2	81	gexf	6	2	0.5
5403	cut	cap	first	Small.100.6.2.81.gexf	100	600	5	3	[6, 6, 6, 6]	6	1	1.0	inf	1851	0	0	0	0	[6.0, 1.0]	Small	100	6	2	81	gexf	6	6	0.5
5406	cut	cap	first	Small.100.6.5.81.gexf	100	600	2	1	[5, 5, 5, 5]	5	3	3.0	inf	1737	0	0	0	0	[5.0, 3.0]	Small	100	6	5	81	gexf	5	1.66666666666667	0.5
5407	cut	cap	first	Small.100.6.5.81.gexf	100	600	3	2	[5, 5, 5, 5]	5	2	2.0	inf	1766	0	0	0	0	[5.0, 2.0]	Small	100	6	5	81	gexf	5	2.5	0.5
5411	cut	cap	first	Small.100.10.2.81.gexf	100	1000	2	1	[10, 10, 10, 10]	10	8	8.0	inf	1183	0	0	0	0	[10.0, 8.0]	Small	100	10	2	81	gexf	10	1.25	0.5
5412	cut	cap	first	Small.100.10.2.81.gexf	100	1000	3	2	[10, 10, 10, 10]	10	7	7.0	inf	1173	0	0	0	0	[10.0, 7.0]	Small	100	10	2	81	gexf	10	1.42857142857143	0.5
5413	cut	cap	first	Small.100.10.2.81.gexf	100	1000	5	3	[10, 10, 10, 10]	10	5	5.0	inf	1195	0	0	0	0	[10.0, 5.0]	Small	100	10	2	81	gexf	10	2	0.5
5416	cut	cap	first	Small.100.10.5.81.gexf	100	1000	2	1	[10, 10, 10, 10]	10	8	8.0	inf	1140	0	0	0	0	[10.0, 8.0]	Small	100	10	5	81	gexf	10	1.25	0.5
5417	cut	cap	first	Small.100.10.5.81.gexf	100	1000	3	2	[10, 10, 10, 10]	10	7	7.0	inf	1149	0	0	0	0	[10.0, 7.0]	Small	100	10	5	81	gexf	10	1.42857142857143	0.5
5418	cut	cap	first	Small.100.10.5.81.gexf	100	1000	5	3	[10, 10, 10, 10]	10	5	5.0	inf	1167	0	0	0	0	[10.0, 5.0]	Small	100	10	5	81	gexf	10	2	0.5
5421	cut	cap	first	Small.100.24.2.81.gexf	100	2400	2	1	[20, 20, 20, 20]	20	18	18.0	inf	502	0	0	0	0	[20.0, 18.0]	Small	100	24	2	81	gexf	20	1.11111111111111	0.5
