path,k,max multirute flow,iterations,k:0,k:1,k:2,k:3,k:4
Complete.50.1.5.gexf,2,22.00537678515327,1,Complete,50,1,5,gexf
Complete.50.1.5.gexf,3,22.00537678515327,1,Complete,50,1,5,gexf
Complete.50.1.5.gexf,5,22.00537678515327,1,Complete,50,1,5,gexf
Complete.50.1.5.gexf,10,22.00537678515327,1,Complete,50,1,5,gexf
Complete.50.1.5.gexf,50,F,F,Complete,50,1,5,gexf
Complete.50.20.5.gexf,2,452,1,Complete,50,20,5,gexf
Complete.50.20.5.gexf,3,452,1,Complete,50,20,5,gexf
Complete.50.20.5.gexf,5,452,1,Complete,50,20,5,gexf
Complete.50.20.5.gexf,10,452,1,Complete,50,20,5,gexf
Complete.50.20.5.gexf,50,F,F,Complete,50,20,5,gexf
Complete.100.1.5.gexf,2,47.64371519633381,1,Complete,100,1,5,gexf
Complete.100.1.5.gexf,3,47.64371519633381,1,Complete,100,1,5,gexf
Complete.100.1.5.gexf,5,47.64371519633381,1,Complete,100,1,5,gexf
Complete.100.1.5.gexf,10,47.64371519633381,1,Complete,100,1,5,gexf
Complete.100.1.5.gexf,50,47.31275374898736,10,Complete,100,1,5,gexf
Complete.100.20.5.gexf,2,978,1,Complete,100,20,5,gexf
Complete.100.20.5.gexf,3,978,1,Complete,100,20,5,gexf
Complete.100.20.5.gexf,5,978,1,Complete,100,20,5,gexf
Complete.100.20.5.gexf,10,978,1,Complete,100,20,5,gexf
Complete.100.20.5.gexf,50,978,1,Complete,100,20,5,gexf
Complete.500.1.5.gexf,2,250.1522978981301,1,Complete,500,1,5,gexf
Complete.500.1.5.gexf,3,250.1522978981301,1,Complete,500,1,5,gexf
Complete.500.1.5.gexf,5,250.1522978981301,1,Complete,500,1,5,gexf
Complete.500.1.5.gexf,10,250.1522978981301,1,Complete,500,1,5,gexf
Complete.500.1.5.gexf,50,250.1522978981301,1,Complete,500,1,5,gexf
Complete.500.20.5.gexf,2,4821,1,Complete,500,20,5,gexf
Complete.500.20.5.gexf,3,4821,1,Complete,500,20,5,gexf
Complete.500.20.5.gexf,5,4821,1,Complete,500,20,5,gexf
Complete.500.20.5.gexf,10,4821,1,Complete,500,20,5,gexf
Complete.500.20.5.gexf,50,4821,1,Complete,500,20,5,gexf
Complete.1000.1.5.gexf,2,506.2484090009396,2,Complete,1000,1,5,gexf
Complete.1000.1.5.gexf,3,506.2484090009396,1,Complete,1000,1,5,gexf
Complete.1000.1.5.gexf,5,506.2484090009396,3,Complete,1000,1,5,gexf
Complete.1000.1.5.gexf,10,506.2484090009396,1,Complete,1000,1,5,gexf
Complete.1000.1.5.gexf,50,506.2484090009396,1,Complete,1000,1,5,gexf
Complete.1000.20.5.gexf,2,9690,1,Complete,1000,20,5,gexf
Complete.1000.20.5.gexf,3,9690,1,Complete,1000,20,5,gexf
Complete.1000.20.5.gexf,5,9690,1,Complete,1000,20,5,gexf
Complete.1000.20.5.gexf,10,9690,1,Complete,1000,20,5,gexf
Complete.1000.20.5.gexf,50,9690,1,Complete,1000,20,5,gexf
Complete.50.1.6.gexf,2,25.398101240794077,1,Complete,50,1,6,gexf
Complete.50.1.6.gexf,3,25.398101240794077,1,Complete,50,1,6,gexf
Complete.50.1.6.gexf,5,25.398101240794077,1,Complete,50,1,6,gexf
Complete.50.1.6.gexf,10,25.398101240794077,1,Complete,50,1,6,gexf
Complete.50.1.6.gexf,50,F,F,Complete,50,1,6,gexf
Complete.50.20.6.gexf,2,499,1,Complete,50,20,6,gexf
Complete.50.20.6.gexf,3,499,1,Complete,50,20,6,gexf
Complete.50.20.6.gexf,5,499,1,Complete,50,20,6,gexf
Complete.50.20.6.gexf,10,499,2,Complete,50,20,6,gexf
Complete.50.20.6.gexf,50,F,F,Complete,50,20,6,gexf
Complete.100.1.6.gexf,2,49.87271315369496,1,Complete,100,1,6,gexf
Complete.100.1.6.gexf,3,49.87271315369496,1,Complete,100,1,6,gexf
Complete.100.1.6.gexf,5,49.87271315369496,1,Complete,100,1,6,gexf
Complete.100.1.6.gexf,10,49.87271315369496,1,Complete,100,1,6,gexf
Complete.100.1.6.gexf,50,49.862004511596496,3,Complete,100,1,6,gexf
Complete.100.20.6.gexf,2,1016,1,Complete,100,20,6,gexf
Complete.100.20.6.gexf,3,1016,1,Complete,100,20,6,gexf
Complete.100.20.6.gexf,5,1016,1,Complete,100,20,6,gexf
Complete.100.20.6.gexf,10,1016,1,Complete,100,20,6,gexf
Complete.100.20.6.gexf,50,1016,1,Complete,100,20,6,gexf
Complete.500.1.6.gexf,2,241.66344049720317,1,Complete,500,1,6,gexf
Complete.500.1.6.gexf,3,241.66344049720317,1,Complete,500,1,6,gexf
