path	k	max.multirute.flow	iterations	k.0	n	multiple	ex	k.4
214	R-MAT.500.5.4.gexf	10	65	1	R-MAT	500	5	4	gexf
216	R-MAT.500.10.4.gexf	2	98	1	R-MAT	500	10	4	gexf
217	R-MAT.500.10.4.gexf	3	98	1	R-MAT	500	10	4	gexf
218	R-MAT.500.10.4.gexf	5	98	1	R-MAT	500	10	4	gexf
219	R-MAT.500.10.4.gexf	10	98	1	R-MAT	500	10	4	gexf
220	R-MAT.500.10.4.gexf	50	75	19	R-MAT	500	10	4	gexf
221	R-MAT.500.25.4.gexf	2	249	1	R-MAT	500	25	4	gexf
222	R-MAT.500.25.4.gexf	3	249	1	R-MAT	500	25	4	gexf
223	R-MAT.500.25.4.gexf	5	249	1	R-MAT	500	25	4	gexf
224	R-MAT.500.25.4.gexf	10	249	1	R-MAT	500	25	4	gexf
225	R-MAT.500.25.4.gexf	50	187.829268292683	11	R-MAT	500	25	4	gexf
226	R-MAT.1000.5.4.gexf	2	75	1	R-MAT	1000	5	4	gexf
227	R-MAT.1000.5.4.gexf	3	75	1	R-MAT	1000	5	4	gexf
228	R-MAT.1000.5.4.gexf	5	75	1	R-MAT	1000	5	4	gexf
229	R-MAT.1000.5.4.gexf	10	75	1	R-MAT	1000	5	4	gexf
230	R-MAT.1000.5.4.gexf	50	63.1428571428572	10	R-MAT	1000	5	4	gexf
231	R-MAT.1000.10.4.gexf	2	159	1	R-MAT	1000	10	4	gexf
232	R-MAT.1000.10.4.gexf	3	159	1	R-MAT	1000	10	4	gexf
233	R-MAT.1000.10.4.gexf	5	159	1	R-MAT	1000	10	4	gexf
234	R-MAT.1000.10.4.gexf	10	157.3	2	R-MAT	1000	10	4	gexf
235	R-MAT.1000.10.4.gexf	50	134.454545454545	8	R-MAT	1000	10	4	gexf
236	R-MAT.1000.25.4.gexf	2	374	1	R-MAT	1000	25	4	gexf
237	R-MAT.1000.25.4.gexf	3	374	1	R-MAT	1000	25	4	gexf
238	R-MAT.1000.25.4.gexf	5	374	1	R-MAT	1000	25	4	gexf
239	R-MAT.1000.25.4.gexf	10	374	1	R-MAT	1000	25	4	gexf
240	R-MAT.1000.25.4.gexf	50	317.086956521739	6	R-MAT	1000	25	4	gexf
241	R-MAT.50.5.5.gexf	2	12	1	R-MAT	50	5	5	gexf
242	R-MAT.50.5.5.gexf	3	12	1	R-MAT	50	5	5	gexf
243	R-MAT.50.5.5.gexf	5	10.8	2	R-MAT	50	5	5	gexf
246	R-MAT.50.10.5.gexf	2	24	1	R-MAT	50	10	5	gexf
247	R-MAT.50.10.5.gexf	3	24	1	R-MAT	50	10	5	gexf
248	R-MAT.50.10.5.gexf	5	24	1	R-MAT	50	10	5	gexf
249	R-MAT.50.10.5.gexf	10	24	1	R-MAT	50	10	5	gexf
251	R-MAT.50.25.5.gexf	2	72	1	R-MAT	50	25	5	gexf
252	R-MAT.50.25.5.gexf	3	72	1	R-MAT	50	25	5	gexf
253	R-MAT.50.25.5.gexf	5	72	1	R-MAT	50	25	5	gexf
254	R-MAT.50.25.5.gexf	10	61.875	5	R-MAT	50	25	5	gexf
256	R-MAT.100.5.5.gexf	2	19	1	R-MAT	100	5	5	gexf
257	R-MAT.100.5.5.gexf	3	17.3333333333333	2	R-MAT	100	5	5	gexf
258	R-MAT.100.5.5.gexf	5	15.6	2	R-MAT	100	5	5	gexf
259	R-MAT.100.5.5.gexf	10	11	5	R-MAT	100	5	5	gexf
261	R-MAT.100.10.5.gexf	2	39	1	R-MAT	100	10	5	gexf
262	R-MAT.100.10.5.gexf	3	39	1	R-MAT	100	10	5	gexf
263	R-MAT.100.10.5.gexf	5	39	1	R-MAT	100	10	5	gexf
264	R-MAT.100.10.5.gexf	10	38.5	2	R-MAT	100	10	5	gexf
266	R-MAT.100.25.5.gexf	2	113	1	R-MAT	100	25	5	gexf
267	R-MAT.100.25.5.gexf	3	113	1	R-MAT	100	25	5	gexf
268	R-MAT.100.25.5.gexf	5	113	1	R-MAT	100	25	5	gexf
269	R-MAT.100.25.5.gexf	10	113	1	R-MAT	100	25	5	gexf
271	R-MAT.500.5.5.gexf	2	53	1	R-MAT	500	5	5	gexf
272	R-MAT.500.5.5.gexf	3	53	1	R-MAT	500	5	5	gexf
273	R-MAT.500.5.5.gexf	5	53	1	R-MAT	500	5	5	gexf
274	R-MAT.500.5.5.gexf	10	50.6	2	R-MAT	500	5	5	gexf
276	R-MAT.500.10.5.gexf	2	103	1	R-MAT	500	10	5	gexf
277	R-MAT.500.10.5.gexf	3	103	1	R-MAT	500	10	5	gexf
278	R-MAT.500.10.5.gexf	5	103	1	R-MAT	500	10	5	gexf
279	R-MAT.500.10.5.gexf	10	103	1	R-MAT	500	10	5	gexf
280	R-MAT.500.10.5.gexf	50	81.6	17	R-MAT	500	10	5	gexf
281	R-MAT.500.25.5.gexf	2	280	1	R-MAT	500	25	5	gexf
282	R-MAT.500.25.5.gexf	3	280	1	R-MAT	500	25	5	gexf
283	R-MAT.500.25.5.gexf	5	280	1	R-MAT	500	25	5	gexf
284	R-MAT.500.25.5.gexf	10	270.6	2	R-MAT	500	25	5	gexf
285	R-MAT.500.25.5.gexf	50	213.066666666667	14	R-MAT	500	25	5	gexf
286	R-MAT.1000.5.5.gexf	2	72	1	R-MAT	1000	5	5	gexf
287	R-MAT.1000.5.5.gexf	3	72	1	R-MAT	1000	5	5	gexf
288	R-MAT.1000.5.5.gexf	5	72	1	R-MAT	1000	5	5	gexf
289	R-MAT.1000.5.5.gexf	10	72	1	R-MAT	1000	5	5	gexf
290	R-MAT.1000.5.5.gexf	50	65.2325581395349	9	R-MAT	1000	5	5	gexf
291	R-MAT.1000.10.5.gexf	2	132	1	R-MAT	1000	10	5	gexf
292	R-MAT.1000.10.5.gexf	3	132	1	R-MAT	1000	10	5	gexf
293	R-MAT.1000.10.5.gexf	5	132	1	R-MAT	1000	10	5	gexf
294	R-MAT.1000.10.5.gexf	10	132	1	R-MAT	1000	10	5	gexf
295	R-MAT.1000.10.5.gexf	50	117.866666666667	7	R-MAT	1000	10	5	gexf
296	R-MAT.1000.25.5.gexf	2	363	1	R-MAT	1000	25	5	gexf
297	R-MAT.1000.25.5.gexf	3	363	1	R-MAT	1000	25	5	gexf
298	R-MAT.1000.25.5.gexf	5	363	1	R-MAT	1000	25	5	gexf
299	R-MAT.1000.25.5.gexf	10	363	1	R-MAT	1000	25	5	gexf
300	R-MAT.1000.25.5.gexf	50	323.386363636364	8	R-MAT	1000	25	5	gexf
301	R-MAT.50.5.6.gexf	2	12	1	R-MAT	50	5	6	gexf
302	R-MAT.50.5.6.gexf	3	12	1	R-MAT	50	5	6	gexf
303	R-MAT.50.5.6.gexf	5	8	5	R-MAT	50	5	6	gexf
306	R-MAT.50.10.6.gexf	2	29	1	R-MAT	50	10	6	gexf
307	R-MAT.50.10.6.gexf	3	29	1	R-MAT	50	10	6	gexf
308	R-MAT.50.10.6.gexf	5	29	1	R-MAT	50	10	6	gexf
309	R-MAT.50.10.6.gexf	10	26.125	4	R-MAT	50	10	6	gexf
311	R-MAT.50.25.6.gexf	2	73	1	R-MAT	50	25	6	gexf
312	R-MAT.50.25.6.gexf	3	73	1	R-MAT	50	25	6	gexf
313	R-MAT.50.25.6.gexf	5	73	1	R-MAT	50	25	6	gexf
314	R-MAT.50.25.6.gexf	10	62.8571428571428	5	R-MAT	50	25	6	gexf
316	R-MAT.100.5.6.gexf	2	19	1	R-MAT	100	5	6	gexf
317	R-MAT.100.5.6.gexf	3	19	1	R-MAT	100	5	6	gexf
318	R-MAT.100.5.6.gexf	5	19	1	R-MAT	100	5	6	gexf
319	R-MAT.100.5.6.gexf	10	19	2	R-MAT	100	5	6	gexf
321	R-MAT.100.10.6.gexf	2	38	1	R-MAT	100	10	6	gexf
322	R-MAT.100.10.6.gexf	3	38	1	R-MAT	100	10	6	gexf
323	R-MAT.100.10.6.gexf	5	37.2	2	R-MAT	100	10	6	gexf
324	R-MAT.100.10.6.gexf	10	34.1	2	R-MAT	100	10	6	gexf
326	R-MAT.100.25.6.gexf	2	110	1	R-MAT	100	25	6	gexf
327	R-MAT.100.25.6.gexf	3	110	1	R-MAT	100	25	6	gexf
328	R-MAT.100.25.6.gexf	5	110	1	R-MAT	100	25	6	gexf
329	R-MAT.100.25.6.gexf	10	106.333333333333	4	R-MAT	100	25	6	gexf
331	R-MAT.500.5.6.gexf	2	48	1	R-MAT	500	5	6	gexf
332	R-MAT.500.5.6.gexf	3	48	1	R-MAT	500	5	6	gexf
333	R-MAT.500.5.6.gexf	5	48	1	R-MAT	500	5	6	gexf
334	R-MAT.500.5.6.gexf	10	47.3	2	R-MAT	500	5	6	gexf
336	R-MAT.500.10.6.gexf	2	90	1	R-MAT	500	10	6	gexf
337	R-MAT.500.10.6.gexf	3	90	1	R-MAT	500	10	6	gexf
338	R-MAT.500.10.6.gexf	5	90	1	R-MAT	500	10	6	gexf
339	R-MAT.500.10.6.gexf	10	90	1	R-MAT	500	10	6	gexf
340	R-MAT.500.10.6.gexf	50	69.4166666666667	16	R-MAT	500	10	6	gexf
341	R-MAT.500.25.6.gexf	2	246	1	R-MAT	500	25	6	gexf
342	R-MAT.500.25.6.gexf	3	246	1	R-MAT	500	25	6	gexf
343	R-MAT.500.25.6.gexf	5	246	1	R-MAT	500	25	6	gexf
344	R-MAT.500.25.6.gexf	10	238.333333333333	3	R-MAT	500	25	6	gexf
345	R-MAT.500.25.6.gexf	50	174.146341463415	12	R-MAT	500	25	6	gexf
346	R-MAT.1000.5.6.gexf	2	77	1	R-MAT	1000	5	6	gexf
347	R-MAT.1000.5.6.gexf	3	77	1	R-MAT	1000	5	6	gexf
348	R-MAT.1000.5.6.gexf	5	77	1	R-MAT	1000	5	6	gexf
349	R-MAT.1000.5.6.gexf	10	77	1	R-MAT	1000	5	6	gexf
350	R-MAT.1000.5.6.gexf	50	69.1333333333333	8	R-MAT	1000	5	6	gexf
351	R-MAT.1000.10.6.gexf	2	160	1	R-MAT	1000	10	6	gexf
352	R-MAT.1000.10.6.gexf	3	160	1	R-MAT	1000	10	6	gexf
353	R-MAT.1000.10.6.gexf	5	160	1	R-MAT	1000	10	6	gexf
354	R-MAT.1000.10.6.gexf	10	160	1	R-MAT	1000	10	6	gexf
355	R-MAT.1000.10.6.gexf	50	147.204545454545	8	R-MAT	1000	10	6	gexf
356	R-MAT.1000.25.6.gexf	2	372	1	R-MAT	1000	25	6	gexf
357	R-MAT.1000.25.6.gexf	3	372	1	R-MAT	1000	25	6	gexf
358	R-MAT.1000.25.6.gexf	5	372	1	R-MAT	1000	25	6	gexf
359	R-MAT.1000.25.6.gexf	10	372	1	R-MAT	1000	25	6	gexf
360	R-MAT.1000.25.6.gexf	50	337.733333333333	7	R-MAT	1000	25	6	gexf
361	R-MAT.50.5.7.gexf	2	11	1	R-MAT	50	5	7	gexf
362	R-MAT.50.5.7.gexf	3	11	1	R-MAT	50	5	7	gexf
363	R-MAT.50.5.7.gexf	5	10.5	3	R-MAT	50	5	7	gexf
366	R-MAT.50.10.7.gexf	2	30	1	R-MAT	50	10	7	gexf
367	R-MAT.50.10.7.gexf	3	30	1	R-MAT	50	10	7	gexf
368	R-MAT.50.10.7.gexf	5	30	1	R-MAT	50	10	7	gexf
369	R-MAT.50.10.7.gexf	10	23.375	4	R-MAT	50	10	7	gexf
371	R-MAT.50.25.7.gexf	2	72	1	R-MAT	50	25	7	gexf
372	R-MAT.50.25.7.gexf	3	72	1	R-MAT	50	25	7	gexf
373	R-MAT.50.25.7.gexf	5	72	1	R-MAT	50	25	7	gexf
374	R-MAT.50.25.7.gexf	10	67.2222222222222	3	R-MAT	50	25	7	gexf
376	R-MAT.100.5.7.gexf	2	20	1	R-MAT	100	5	7	gexf
377	R-MAT.100.5.7.gexf	3	20	1	R-MAT	100	5	7	gexf
378	R-MAT.100.5.7.gexf	5	20	1	R-MAT	100	5	7	gexf
379	R-MAT.100.5.7.gexf	10	16.5	9	R-MAT	100	5	7	gexf
381	R-MAT.100.10.7.gexf	2	41	1	R-MAT	100	10	7	gexf
382	R-MAT.100.10.7.gexf	3	41	1	R-MAT	100	10	7	gexf
383	R-MAT.100.10.7.gexf	5	41	1	R-MAT	100	10	7	gexf
384	R-MAT.100.10.7.gexf	10	40.3333333333333	3	R-MAT	100	10	7	gexf
386	R-MAT.100.25.7.gexf	2	121	1	R-MAT	100	25	7	gexf
387	R-MAT.100.25.7.gexf	3	121	1	R-MAT	100	25	7	gexf
388	R-MAT.100.25.7.gexf	5	121	1	R-MAT	100	25	7	gexf
389	R-MAT.100.25.7.gexf	10	121	1	R-MAT	100	25	7	gexf
391	R-MAT.500.5.7.gexf	2	54	1	R-MAT	500	5	7	gexf
392	R-MAT.500.5.7.gexf	3	54	1	R-MAT	500	5	7	gexf
