path	k	max.multirute.flow	iterations	k.0	n	multiple	ex	k.4
2784	R-MAT.100.10.47.gexf	10	48.8888888888889	4	R-MAT	100	10	47	gexf
2786	R-MAT.100.25.47.gexf	2	98	1	R-MAT	100	25	47	gexf
2787	R-MAT.100.25.47.gexf	3	98	1	R-MAT	100	25	47	gexf
2788	R-MAT.100.25.47.gexf	5	98	1	R-MAT	100	25	47	gexf
2789	R-MAT.100.25.47.gexf	10	98	1	R-MAT	100	25	47	gexf
2791	R-MAT.500.5.47.gexf	2	47	1	R-MAT	500	5	47	gexf
2792	R-MAT.500.5.47.gexf	3	47	1	R-MAT	500	5	47	gexf
2793	R-MAT.500.5.47.gexf	5	47	1	R-MAT	500	5	47	gexf
2794	R-MAT.500.5.47.gexf	10	47	1	R-MAT	500	5	47	gexf
2796	R-MAT.500.10.47.gexf	2	104	1	R-MAT	500	10	47	gexf
2797	R-MAT.500.10.47.gexf	3	104	1	R-MAT	500	10	47	gexf
2798	R-MAT.500.10.47.gexf	5	104	1	R-MAT	500	10	47	gexf
2799	R-MAT.500.10.47.gexf	10	100.1	2	R-MAT	500	10	47	gexf
2800	R-MAT.500.10.47.gexf	50	67.5	18	R-MAT	500	10	47	gexf
2801	R-MAT.500.25.47.gexf	2	257	1	R-MAT	500	25	47	gexf
2802	R-MAT.500.25.47.gexf	3	257	1	R-MAT	500	25	47	gexf
2803	R-MAT.500.25.47.gexf	5	257	1	R-MAT	500	25	47	gexf
2804	R-MAT.500.25.47.gexf	10	257	1	R-MAT	500	25	47	gexf
2805	R-MAT.500.25.47.gexf	50	198.769230769231	14	R-MAT	500	25	47	gexf
2806	R-MAT.1000.5.47.gexf	2	67	1	R-MAT	1000	5	47	gexf
2807	R-MAT.1000.5.47.gexf	3	67	1	R-MAT	1000	5	47	gexf
2808	R-MAT.1000.5.47.gexf	5	67	1	R-MAT	1000	5	47	gexf
2809	R-MAT.1000.5.47.gexf	10	67	1	R-MAT	1000	5	47	gexf
2810	R-MAT.1000.5.47.gexf	50	51	11	R-MAT	1000	5	47	gexf
2811	R-MAT.1000.10.47.gexf	2	136	1	R-MAT	1000	10	47	gexf
2812	R-MAT.1000.10.47.gexf	3	136	1	R-MAT	1000	10	47	gexf
2813	R-MAT.1000.10.47.gexf	5	136	1	R-MAT	1000	10	47	gexf
2814	R-MAT.1000.10.47.gexf	10	136	1	R-MAT	1000	10	47	gexf
2815	R-MAT.1000.10.47.gexf	50	120.133333333333	8	R-MAT	1000	10	47	gexf
2816	R-MAT.1000.25.47.gexf	2	368	1	R-MAT	1000	25	47	gexf
2817	R-MAT.1000.25.47.gexf	3	368	1	R-MAT	1000	25	47	gexf
2818	R-MAT.1000.25.47.gexf	5	368	1	R-MAT	1000	25	47	gexf
2819	R-MAT.1000.25.47.gexf	10	368	1	R-MAT	1000	25	47	gexf
2820	R-MAT.1000.25.47.gexf	50	330.933333333333	7	R-MAT	1000	25	47	gexf
2821	R-MAT.50.5.48.gexf	2	6	1	R-MAT	50	5	48	gexf
2822	R-MAT.50.5.48.gexf	3	4	4	R-MAT	50	5	48	gexf
2826	R-MAT.50.10.48.gexf	2	34	1	R-MAT	50	10	48	gexf
2827	R-MAT.50.10.48.gexf	3	34	1	R-MAT	50	10	48	gexf
2828	R-MAT.50.10.48.gexf	5	33.6	2	R-MAT	50	10	48	gexf
2829	R-MAT.50.10.48.gexf	10	26.7142857142857	5	R-MAT	50	10	48	gexf
2831	R-MAT.50.25.48.gexf	2	75	1	R-MAT	50	25	48	gexf
2832	R-MAT.50.25.48.gexf	3	75	1	R-MAT	50	25	48	gexf
2833	R-MAT.50.25.48.gexf	5	75	1	R-MAT	50	25	48	gexf
2834	R-MAT.50.25.48.gexf	10	56.5714285714286	5	R-MAT	50	25	48	gexf
2836	R-MAT.100.5.48.gexf	2	21	1	R-MAT	100	5	48	gexf
2837	R-MAT.100.5.48.gexf	3	21	1	R-MAT	100	5	48	gexf
2838	R-MAT.100.5.48.gexf	5	21	1	R-MAT	100	5	48	gexf
2839	R-MAT.100.5.48.gexf	10	17.875	4	R-MAT	100	5	48	gexf
2841	R-MAT.100.10.48.gexf	2	45	1	R-MAT	100	10	48	gexf
2842	R-MAT.100.10.48.gexf	3	45	1	R-MAT	100	10	48	gexf
2843	R-MAT.100.10.48.gexf	5	45	1	R-MAT	100	10	48	gexf
2844	R-MAT.100.10.48.gexf	10	44	2	R-MAT	100	10	48	gexf
2846	R-MAT.100.25.48.gexf	2	135	1	R-MAT	100	25	48	gexf
2847	R-MAT.100.25.48.gexf	3	135	1	R-MAT	100	25	48	gexf
2848	R-MAT.100.25.48.gexf	5	135	1	R-MAT	100	25	48	gexf
2849	R-MAT.100.25.48.gexf	10	132	3	R-MAT	100	25	48	gexf
2851	R-MAT.500.5.48.gexf	2	42	1	R-MAT	500	5	48	gexf
2852	R-MAT.500.5.48.gexf	3	42	1	R-MAT	500	5	48	gexf
2853	R-MAT.500.5.48.gexf	5	42	1	R-MAT	500	5	48	gexf
2854	R-MAT.500.5.48.gexf	10	42	1	R-MAT	500	5	48	gexf
2856	R-MAT.500.10.48.gexf	2	83	1	R-MAT	500	10	48	gexf
2857	R-MAT.500.10.48.gexf	3	83	1	R-MAT	500	10	48	gexf
2858	R-MAT.500.10.48.gexf	5	83	1	R-MAT	500	10	48	gexf
2859	R-MAT.500.10.48.gexf	10	81.4	2	R-MAT	500	10	48	gexf
2860	R-MAT.500.10.48.gexf	50	53.7567567567568	15	R-MAT	500	10	48	gexf
2861	R-MAT.500.25.48.gexf	2	229	1	R-MAT	500	25	48	gexf
2862	R-MAT.500.25.48.gexf	3	229	1	R-MAT	500	25	48	gexf
2863	R-MAT.500.25.48.gexf	5	229	1	R-MAT	500	25	48	gexf
2864	R-MAT.500.25.48.gexf	10	220	2	R-MAT	500	25	48	gexf
2865	R-MAT.500.25.48.gexf	50	188.214285714286	10	R-MAT	500	25	48	gexf
2866	R-MAT.1000.5.48.gexf	2	62	1	R-MAT	1000	5	48	gexf
2867	R-MAT.1000.5.48.gexf	3	62	1	R-MAT	1000	5	48	gexf
2868	R-MAT.1000.5.48.gexf	5	62	1	R-MAT	1000	5	48	gexf
2869	R-MAT.1000.5.48.gexf	10	62	1	R-MAT	1000	5	48	gexf
2870	R-MAT.1000.5.48.gexf	50	51	10	R-MAT	1000	5	48	gexf
2871	R-MAT.1000.10.48.gexf	2	146	1	R-MAT	1000	10	48	gexf
2872	R-MAT.1000.10.48.gexf	3	146	1	R-MAT	1000	10	48	gexf
2873	R-MAT.1000.10.48.gexf	5	146	1	R-MAT	1000	10	48	gexf
2874	R-MAT.1000.10.48.gexf	10	146	1	R-MAT	1000	10	48	gexf
2875	R-MAT.1000.10.48.gexf	50	132.357142857143	10	R-MAT	1000	10	48	gexf
2876	R-MAT.1000.25.48.gexf	2	372	1	R-MAT	1000	25	48	gexf
2877	R-MAT.1000.25.48.gexf	3	372	1	R-MAT	1000	25	48	gexf
2878	R-MAT.1000.25.48.gexf	5	372	1	R-MAT	1000	25	48	gexf
2879	R-MAT.1000.25.48.gexf	10	372	1	R-MAT	1000	25	48	gexf
2880	R-MAT.1000.25.48.gexf	50	328.173913043478	6	R-MAT	1000	25	48	gexf
2881	R-MAT.50.5.49.gexf	2	12	1	R-MAT	50	5	49	gexf
2882	R-MAT.50.5.49.gexf	3	12	1	R-MAT	50	5	49	gexf
2883	R-MAT.50.5.49.gexf	5	10.8	3	R-MAT	50	5	49	gexf
2886	R-MAT.50.10.49.gexf	2	31	1	R-MAT	50	10	49	gexf
2887	R-MAT.50.10.49.gexf	3	31	1	R-MAT	50	10	49	gexf
2888	R-MAT.50.10.49.gexf	5	31	1	R-MAT	50	10	49	gexf
2889	R-MAT.50.10.49.gexf	10	27.5	4	R-MAT	50	10	49	gexf
2891	R-MAT.50.25.49.gexf	2	63	1	R-MAT	50	25	49	gexf
2892	R-MAT.50.25.49.gexf	3	63	1	R-MAT	50	25	49	gexf
2893	R-MAT.50.25.49.gexf	5	61.2	2	R-MAT	50	25	49	gexf
2894	R-MAT.50.25.49.gexf	10	56.1	2	R-MAT	50	25	49	gexf
2896	R-MAT.100.5.49.gexf	2	12	1	R-MAT	100	5	49	gexf
2897	R-MAT.100.5.49.gexf	3	10.6666666666667	2	R-MAT	100	5	49	gexf
2898	R-MAT.100.5.49.gexf	5	9.6	3	R-MAT	100	5	49	gexf
2901	R-MAT.100.10.49.gexf	2	35	1	R-MAT	100	10	49	gexf
2902	R-MAT.100.10.49.gexf	3	35	1	R-MAT	100	10	49	gexf
2903	R-MAT.100.10.49.gexf	5	35	1	R-MAT	100	10	49	gexf
2904	R-MAT.100.10.49.gexf	10	33	2	R-MAT	100	10	49	gexf
2906	R-MAT.100.25.49.gexf	2	89	1	R-MAT	100	25	49	gexf
2907	R-MAT.100.25.49.gexf	3	89	1	R-MAT	100	25	49	gexf
2908	R-MAT.100.25.49.gexf	5	89	1	R-MAT	100	25	49	gexf
2909	R-MAT.100.25.49.gexf	10	89	2	R-MAT	100	25	49	gexf
2911	R-MAT.500.5.49.gexf	2	43	1	R-MAT	500	5	49	gexf
2912	R-MAT.500.5.49.gexf	3	43	1	R-MAT	500	5	49	gexf
2913	R-MAT.500.5.49.gexf	5	43	1	R-MAT	500	5	49	gexf
2914	R-MAT.500.5.49.gexf	10	42.9	2	R-MAT	500	5	49	gexf
2916	R-MAT.500.10.49.gexf	2	96	1	R-MAT	500	10	49	gexf
2917	R-MAT.500.10.49.gexf	3	96	1	R-MAT	500	10	49	gexf
2918	R-MAT.500.10.49.gexf	5	96	1	R-MAT	500	10	49	gexf
2919	R-MAT.500.10.49.gexf	10	96	1	R-MAT	500	10	49	gexf
2920	R-MAT.500.10.49.gexf	50	77.3225806451613	22	R-MAT	500	10	49	gexf
2921	R-MAT.500.25.49.gexf	2	263	1	R-MAT	500	25	49	gexf
2922	R-MAT.500.25.49.gexf	3	263	1	R-MAT	500	25	49	gexf
2923	R-MAT.500.25.49.gexf	5	263	1	R-MAT	500	25	49	gexf
2924	R-MAT.500.25.49.gexf	10	263	1	R-MAT	500	25	49	gexf
2925	R-MAT.500.25.49.gexf	50	201.384615384615	13	R-MAT	500	25	49	gexf
2926	R-MAT.1000.5.49.gexf	2	67	1	R-MAT	1000	5	49	gexf
2927	R-MAT.1000.5.49.gexf	3	67	1	R-MAT	1000	5	49	gexf
2928	R-MAT.1000.5.49.gexf	5	67	1	R-MAT	1000	5	49	gexf
2929	R-MAT.1000.5.49.gexf	10	66	2	R-MAT	1000	5	49	gexf
2930	R-MAT.1000.5.49.gexf	50	54.3260869565217	6	R-MAT	1000	5	49	gexf
2931	R-MAT.1000.10.49.gexf	2	144	1	R-MAT	1000	10	49	gexf
2932	R-MAT.1000.10.49.gexf	3	144	1	R-MAT	1000	10	49	gexf
2933	R-MAT.1000.10.49.gexf	5	144	1	R-MAT	1000	10	49	gexf
2934	R-MAT.1000.10.49.gexf	10	144	1	R-MAT	1000	10	49	gexf
2935	R-MAT.1000.10.49.gexf	50	121.428571428571	12	R-MAT	1000	10	49	gexf
2936	R-MAT.1000.25.49.gexf	2	359	1	R-MAT	1000	25	49	gexf
2937	R-MAT.1000.25.49.gexf	3	359	1	R-MAT	1000	25	49	gexf
2938	R-MAT.1000.25.49.gexf	5	359	1	R-MAT	1000	25	49	gexf
2939	R-MAT.1000.25.49.gexf	10	359	1	R-MAT	1000	25	49	gexf
2940	R-MAT.1000.25.49.gexf	50	322.227272727273	9	R-MAT	1000	25	49	gexf
2941	R-MAT.50.5.50.gexf	2	17	1	R-MAT	50	5	50	gexf
2942	R-MAT.50.5.50.gexf	3	17	1	R-MAT	50	5	50	gexf
2943	R-MAT.50.5.50.gexf	5	16.5	3	R-MAT	50	5	50	gexf
2944	R-MAT.50.5.50.gexf	10	11	5	R-MAT	50	5	50	gexf
2946	R-MAT.50.10.50.gexf	2	25	1	R-MAT	50	10	50	gexf
2947	R-MAT.50.10.50.gexf	3	25	1	R-MAT	50	10	50	gexf
2948	R-MAT.50.10.50.gexf	5	25	1	R-MAT	50	10	50	gexf
2949	R-MAT.50.10.50.gexf	10	17.6	7	R-MAT	50	10	50	gexf
2951	R-MAT.50.25.50.gexf	2	67	1	R-MAT	50	25	50	gexf
2952	R-MAT.50.25.50.gexf	3	67	1	R-MAT	50	25	50	gexf
2953	R-MAT.50.25.50.gexf	5	60	4	R-MAT	50	25	50	gexf
2954	R-MAT.50.25.50.gexf	10	45.5714285714286	5	R-MAT	50	25	50	gexf
2956	R-MAT.100.5.50.gexf	2	19	1	R-MAT	100	5	50	gexf
2957	R-MAT.100.5.50.gexf	3	19	1	R-MAT	100	5	50	gexf
2958	R-MAT.100.5.50.gexf	5	18	2	R-MAT	100	5	50	gexf
2959	R-MAT.100.5.50.gexf	10	15.8888888888889	3	R-MAT	100	5	50	gexf
2961	R-MAT.100.10.50.gexf	2	42	1	R-MAT	100	10	50	gexf
2962	R-MAT.100.10.50.gexf	3	42	1	R-MAT	100	10	50	gexf
2963	R-MAT.100.10.50.gexf	5	42	1	R-MAT	100	10	50	gexf
2964	R-MAT.100.10.50.gexf	10	35.75	4	R-MAT	100	10	50	gexf
2966	R-MAT.100.25.50.gexf	2	97	1	R-MAT	100	25	50	gexf
2967	R-MAT.100.25.50.gexf	3	97	1	R-MAT	100	25	50	gexf
2968	R-MAT.100.25.50.gexf	5	97	1	R-MAT	100	25	50	gexf
2969	R-MAT.100.25.50.gexf	10	96.8	2	R-MAT	100	25	50	gexf
2971	R-MAT.500.5.50.gexf	2	49	1	R-MAT	500	5	50	gexf
2972	R-MAT.500.5.50.gexf	3	49	1	R-MAT	500	5	50	gexf
2973	R-MAT.500.5.50.gexf	5	49	1	R-MAT	500	5	50	gexf
2974	R-MAT.500.5.50.gexf	10	48.4	3	R-MAT	500	5	50	gexf
2976	R-MAT.500.10.50.gexf	2	93	1	R-MAT	500	10	50	gexf
2977	R-MAT.500.10.50.gexf	3	93	1	R-MAT	500	10	50	gexf
2978	R-MAT.500.10.50.gexf	5	93	1	R-MAT	500	10	50	gexf
2979	R-MAT.500.10.50.gexf	10	92.4	2	R-MAT	500	10	50	gexf
2980	R-MAT.500.10.50.gexf	50	71.9230769230769	14	R-MAT	500	10	50	gexf
2981	R-MAT.500.25.50.gexf	2	233	1	R-MAT	500	25	50	gexf
2982	R-MAT.500.25.50.gexf	3	233	1	R-MAT	500	25	50	gexf
2983	R-MAT.500.25.50.gexf	5	233	1	R-MAT	500	25	50	gexf
2984	R-MAT.500.25.50.gexf	10	233	2	R-MAT	500	25	50	gexf
2985	R-MAT.500.25.50.gexf	50	192.525	12	R-MAT	500	25	50	gexf
2986	R-MAT.1000.5.50.gexf	2	72	1	R-MAT	1000	5	50	gexf
2987	R-MAT.1000.5.50.gexf	3	72	1	R-MAT	1000	5	50	gexf
2988	R-MAT.1000.5.50.gexf	5	72	1	R-MAT	1000	5	50	gexf
2989	R-MAT.1000.5.50.gexf	10	72	1	R-MAT	1000	5	50	gexf
2990	R-MAT.1000.5.50.gexf	50	54.825	14	R-MAT	1000	5	50	gexf
2991	R-MAT.1000.10.50.gexf	2	152	1	R-MAT	1000	10	50	gexf
2992	R-MAT.1000.10.50.gexf	3	152	1	R-MAT	1000	10	50	gexf
2993	R-MAT.1000.10.50.gexf	5	152	1	R-MAT	1000	10	50	gexf
2994	R-MAT.1000.10.50.gexf	10	152	1	R-MAT	1000	10	50	gexf
2995	R-MAT.1000.10.50.gexf	50	127.5	13	R-MAT	1000	10	50	gexf
2996	R-MAT.1000.25.50.gexf	2	381	1	R-MAT	1000	25	50	gexf
2997	R-MAT.1000.25.50.gexf	3	381	1	R-MAT	1000	25	50	gexf
2998	R-MAT.1000.25.50.gexf	5	381	1	R-MAT	1000	25	50	gexf
2999	R-MAT.1000.25.50.gexf	10	381	1	R-MAT	1000	25	50	gexf
3000	R-MAT.1000.25.50.gexf	50	342.266666666667	7	R-MAT	1000	25	50	gexf
3001	R-MAT.50.5.51.gexf	2	8	1	R-MAT	50	5	51	gexf
3002	R-MAT.50.5.51.gexf	3	8	1	R-MAT	50	5	51	gexf
3003	R-MAT.50.5.51.gexf	5	8	1	R-MAT	50	5	51	gexf
3006	R-MAT.50.10.51.gexf	2	28	1	R-MAT	50	10	51	gexf
3007	R-MAT.50.10.51.gexf	3	28	1	R-MAT	50	10	51	gexf
3008	R-MAT.50.10.51.gexf	5	28	1	R-MAT	50	10	51	gexf
3009	R-MAT.50.10.51.gexf	10	24.75	4	R-MAT	50	10	51	gexf
3011	R-MAT.50.25.51.gexf	2	66	1	R-MAT	50	25	51	gexf
3012	R-MAT.50.25.51.gexf	3	66	1	R-MAT	50	25	51	gexf
3013	R-MAT.50.25.51.gexf	5	63.6	2	R-MAT	50	25	51	gexf
3014	R-MAT.50.25.51.gexf	10	53.625	4	R-MAT	50	25	51	gexf
3016	R-MAT.100.5.51.gexf	2	14	1	R-MAT	100	5	51	gexf
3017	R-MAT.100.5.51.gexf	3	14	1	R-MAT	100	5	51	gexf
3018	R-MAT.100.5.51.gexf	5	13.2	3	R-MAT	100	5	51	gexf
3019	R-MAT.100.5.51.gexf	10	11	3	R-MAT	100	5	51	gexf
3021	R-MAT.100.10.51.gexf	2	50	1	R-MAT	100	10	51	gexf
3022	R-MAT.100.10.51.gexf	3	50	1	R-MAT	100	10	51	gexf
3023	R-MAT.100.10.51.gexf	5	50	1	R-MAT	100	10	51	gexf
3024	R-MAT.100.10.51.gexf	10	42.625	4	R-MAT	100	10	51	gexf
3026	R-MAT.100.25.51.gexf	2	117	1	R-MAT	100	25	51	gexf
3027	R-MAT.100.25.51.gexf	3	117	1	R-MAT	100	25	51	gexf
3028	R-MAT.100.25.51.gexf	5	117	1	R-MAT	100	25	51	gexf
3029	R-MAT.100.25.51.gexf	10	116.6	2	R-MAT	100	25	51	gexf
3031	R-MAT.500.5.51.gexf	2	53	1	R-MAT	500	5	51	gexf
3032	R-MAT.500.5.51.gexf	3	53	1	R-MAT	500	5	51	gexf
3033	R-MAT.500.5.51.gexf	5	53	1	R-MAT	500	5	51	gexf
3034	R-MAT.500.5.51.gexf	10	52.8	2	R-MAT	500	5	51	gexf
3036	R-MAT.500.10.51.gexf	2	96	1	R-MAT	500	10	51	gexf
3037	R-MAT.500.10.51.gexf	3	96	1	R-MAT	500	10	51	gexf
3038	R-MAT.500.10.51.gexf	5	96	1	R-MAT	500	10	51	gexf
3039	R-MAT.500.10.51.gexf	10	96	1	R-MAT	500	10	51	gexf
3040	R-MAT.500.10.51.gexf	50	66.1621621621622	15	R-MAT	500	10	51	gexf
3041	R-MAT.500.25.51.gexf	2	254	1	R-MAT	500	25	51	gexf
3042	R-MAT.500.25.51.gexf	3	254	1	R-MAT	500	25	51	gexf
3043	R-MAT.500.25.51.gexf	5	254	1	R-MAT	500	25	51	gexf
3044	R-MAT.500.25.51.gexf	10	254	1	R-MAT	500	25	51	gexf
3045	R-MAT.500.25.51.gexf	50	223.266666666667	7	R-MAT	500	25	51	gexf
3046	R-MAT.1000.5.51.gexf	2	69	1	R-MAT	1000	5	51	gexf
3047	R-MAT.1000.5.51.gexf	3	69	1	R-MAT	1000	5	51	gexf
3048	R-MAT.1000.5.51.gexf	5	69	1	R-MAT	1000	5	51	gexf
3049	R-MAT.1000.5.51.gexf	10	69	1	R-MAT	1000	5	51	gexf
3050	R-MAT.1000.5.51.gexf	50	59.5	10	R-MAT	1000	5	51	gexf
3051	R-MAT.1000.10.51.gexf	2	134	1	R-MAT	1000	10	51	gexf
3052	R-MAT.1000.10.51.gexf	3	134	1	R-MAT	1000	10	51	gexf
3053	R-MAT.1000.10.51.gexf	5	134	1	R-MAT	1000	10	51	gexf
3054	R-MAT.1000.10.51.gexf	10	134	1	R-MAT	1000	10	51	gexf
3055	R-MAT.1000.10.51.gexf	50	109.933333333333	7	R-MAT	1000	10	51	gexf
3056	R-MAT.1000.25.51.gexf	2	368	1	R-MAT	1000	25	51	gexf
3057	R-MAT.1000.25.51.gexf	3	368	1	R-MAT	1000	25	51	gexf
3058	R-MAT.1000.25.51.gexf	5	368	1	R-MAT	1000	25	51	gexf
3059	R-MAT.1000.25.51.gexf	10	368	1	R-MAT	1000	25	51	gexf
3060	R-MAT.1000.25.51.gexf	50	317.590909090909	8	R-MAT	1000	25	51	gexf
3061	R-MAT.50.5.52.gexf	2	11	1	R-MAT	50	5	52	gexf
3062	R-MAT.50.5.52.gexf	3	10.6666666666667	2	R-MAT	50	5	52	gexf
3063	R-MAT.50.5.52.gexf	5	9	3	R-MAT	50	5	52	gexf
3066	R-MAT.50.10.52.gexf	2	26	1	R-MAT	50	10	52	gexf
3067	R-MAT.50.10.52.gexf	3	26	1	R-MAT	50	10	52	gexf
3068	R-MAT.50.10.52.gexf	5	26	1	R-MAT	50	10	52	gexf
3069	R-MAT.50.10.52.gexf	10	23.375	4	R-MAT	50	10	52	gexf
3071	R-MAT.50.25.52.gexf	2	68	1	R-MAT	50	25	52	gexf
3072	R-MAT.50.25.52.gexf	3	68	1	R-MAT	50	25	52	gexf
3073	R-MAT.50.25.52.gexf	5	68	1	R-MAT	50	25	52	gexf
3074	R-MAT.50.25.52.gexf	10	58.6666666666667	3	R-MAT	50	25	52	gexf
3076	R-MAT.100.5.52.gexf	2	24	1	R-MAT	100	5	52	gexf
3077	R-MAT.100.5.52.gexf	3	24	1	R-MAT	100	5	52	gexf
3078	R-MAT.100.5.52.gexf	5	24	1	R-MAT	100	5	52	gexf
3079	R-MAT.100.5.52.gexf	10	20.625	5	R-MAT	100	5	52	gexf
3081	R-MAT.100.10.52.gexf	2	49	1	R-MAT	100	10	52	gexf
3082	R-MAT.100.10.52.gexf	3	49	1	R-MAT	100	10	52	gexf
3083	R-MAT.100.10.52.gexf	5	49	1	R-MAT	100	10	52	gexf
3084	R-MAT.100.10.52.gexf	10	45.1	2	R-MAT	100	10	52	gexf
3086	R-MAT.100.25.52.gexf	2	104	1	R-MAT	100	25	52	gexf
3087	R-MAT.100.25.52.gexf	3	104	1	R-MAT	100	25	52	gexf
3088	R-MAT.100.25.52.gexf	5	104	1	R-MAT	100	25	52	gexf
3089	R-MAT.100.25.52.gexf	10	104	1	R-MAT	100	25	52	gexf
3091	R-MAT.500.5.52.gexf	2	48	1	R-MAT	500	5	52	gexf
3092	R-MAT.500.5.52.gexf	3	48	1	R-MAT	500	5	52	gexf
3093	R-MAT.500.5.52.gexf	5	46.8	2	R-MAT	500	5	52	gexf
3094	R-MAT.500.5.52.gexf	10	41.25	4	R-MAT	500	5	52	gexf
3096	R-MAT.500.10.52.gexf	2	106	1	R-MAT	500	10	52	gexf
3097	R-MAT.500.10.52.gexf	3	106	1	R-MAT	500	10	52	gexf
3098	R-MAT.500.10.52.gexf	5	106	1	R-MAT	500	10	52	gexf
3099	R-MAT.500.10.52.gexf	10	100.1	2	R-MAT	500	10	52	gexf
3100	R-MAT.500.10.52.gexf	50	71.6756756756756	15	R-MAT	500	10	52	gexf
3101	R-MAT.500.25.52.gexf	2	240	1	R-MAT	500	25	52	gexf
3102	R-MAT.500.25.52.gexf	3	240	1	R-MAT	500	25	52	gexf
3103	R-MAT.500.25.52.gexf	5	240	1	R-MAT	500	25	52	gexf
3104	R-MAT.500.25.52.gexf	10	240	1	R-MAT	500	25	52	gexf
3105	R-MAT.500.25.52.gexf	50	196.153846153846	14	R-MAT	500	25	52	gexf
3106	R-MAT.1000.5.52.gexf	2	73	1	R-MAT	1000	5	52	gexf
3107	R-MAT.1000.5.52.gexf	3	73	1	R-MAT	1000	5	52	gexf
3108	R-MAT.1000.5.52.gexf	5	73	1	R-MAT	1000	5	52	gexf
3109	R-MAT.1000.5.52.gexf	10	73	1	R-MAT	1000	5	52	gexf
3110	R-MAT.1000.5.52.gexf	50	52.3076923076923	14	R-MAT	1000	5	52	gexf
3111	R-MAT.1000.10.52.gexf	2	147	1	R-MAT	1000	10	52	gexf
3112	R-MAT.1000.10.52.gexf	3	147	1	R-MAT	1000	10	52	gexf
3113	R-MAT.1000.10.52.gexf	5	147	1	R-MAT	1000	10	52	gexf
3114	R-MAT.1000.10.52.gexf	10	147	1	R-MAT	1000	10	52	gexf
3115	R-MAT.1000.10.52.gexf	50	125.282608695652	6	R-MAT	1000	10	52	gexf
3116	R-MAT.1000.25.52.gexf	2	381	1	R-MAT	1000	25	52	gexf
3117	R-MAT.1000.25.52.gexf	3	381	1	R-MAT	1000	25	52	gexf
3118	R-MAT.1000.25.52.gexf	5	381	1	R-MAT	1000	25	52	gexf
3119	R-MAT.1000.25.52.gexf	10	381	1	R-MAT	1000	25	52	gexf
3120	R-MAT.1000.25.52.gexf	50	343.953488372093	10	R-MAT	1000	25	52	gexf
3121	R-MAT.50.5.53.gexf	2	12	1	R-MAT	50	5	53	gexf
3122	R-MAT.50.5.53.gexf	3	12	1	R-MAT	50	5	53	gexf
3123	R-MAT.50.5.53.gexf	5	12	1	R-MAT	50	5	53	gexf
3126	R-MAT.50.10.53.gexf	2	35	1	R-MAT	50	10	53	gexf
3127	R-MAT.50.10.53.gexf	3	35	1	R-MAT	50	10	53	gexf
3128	R-MAT.50.10.53.gexf	5	34.8	2	R-MAT	50	10	53	gexf
3129	R-MAT.50.10.53.gexf	10	25.1428571428571	6	R-MAT	50	10	53	gexf
3131	R-MAT.50.25.53.gexf	2	81	1	R-MAT	50	25	53	gexf
3132	R-MAT.50.25.53.gexf	3	81	1	R-MAT	50	25	53	gexf
3133	R-MAT.50.25.53.gexf	5	81	1	R-MAT	50	25	53	gexf
3134	R-MAT.50.25.53.gexf	10	73.3333333333333	4	R-MAT	50	25	53	gexf
3136	R-MAT.100.5.53.gexf	2	30	1	R-MAT	100	5	53	gexf
3137	R-MAT.100.5.53.gexf	3	30	1	R-MAT	100	5	53	gexf
3138	R-MAT.100.5.53.gexf	5	30	1	R-MAT	100	5	53	gexf
3139	R-MAT.100.5.53.gexf	10	26.125	4	R-MAT	100	5	53	gexf
3141	R-MAT.100.10.53.gexf	2	44	1	R-MAT	100	10	53	gexf
3142	R-MAT.100.10.53.gexf	3	44	1	R-MAT	100	10	53	gexf
3143	R-MAT.100.10.53.gexf	5	44	1	R-MAT	100	10	53	gexf
3144	R-MAT.100.10.53.gexf	10	44	1	R-MAT	100	10	53	gexf
3146	R-MAT.100.25.53.gexf	2	102	1	R-MAT	100	25	53	gexf
3147	R-MAT.100.25.53.gexf	3	102	1	R-MAT	100	25	53	gexf
3148	R-MAT.100.25.53.gexf	5	102	1	R-MAT	100	25	53	gexf
3149	R-MAT.100.25.53.gexf	10	102	1	R-MAT	100	25	53	gexf
3151	R-MAT.500.5.53.gexf	2	62	1	R-MAT	500	5	53	gexf
3152	R-MAT.500.5.53.gexf	3	62	1	R-MAT	500	5	53	gexf
3153	R-MAT.500.5.53.gexf	5	62	1	R-MAT	500	5	53	gexf
3154	R-MAT.500.5.53.gexf	10	59.8888888888889	4	R-MAT	500	5	53	gexf
3156	R-MAT.500.10.53.gexf	2	107	1	R-MAT	500	10	53	gexf
3157	R-MAT.500.10.53.gexf	3	107	1	R-MAT	500	10	53	gexf
3158	R-MAT.500.10.53.gexf	5	107	1	R-MAT	500	10	53	gexf
3159	R-MAT.500.10.53.gexf	10	107	1	R-MAT	500	10	53	gexf
3160	R-MAT.500.10.53.gexf	50	72	18	R-MAT	500	10	53	gexf
3161	R-MAT.500.25.53.gexf	2	260	1	R-MAT	500	25	53	gexf
3162	R-MAT.500.25.53.gexf	3	260	1	R-MAT	500	25	53	gexf
3163	R-MAT.500.25.53.gexf	5	260	1	R-MAT	500	25	53	gexf
3164	R-MAT.500.25.53.gexf	10	255.2	2	R-MAT	500	25	53	gexf
