path,k,max multirute flow,iterations,k:0,k:1,k:2,k:3,k:4,k:5
Rand.Uni.1000.5.70.gexf,2,2.434430212337711,1,Rand,Uni,1000,5,70,gexf
Rand.Uni.1000.5.70.gexf,3,2.434430212337711,1,Rand,Uni,1000,5,70,gexf
Rand.Uni.1000.5.70.gexf,5,0.7713352725275571,6,Rand,Uni,1000,5,70,gexf
Rand.Uni.1000.5.70.gexf,10,F,F,Rand,Uni,1000,5,70,gexf
Rand.Uni.1000.5.70.gexf,50,F,F,Rand,Uni,1000,5,70,gexf
Rand.Uni.1000.10.70.gexf,2,8.6370029543622,1,Rand,Uni,1000,10,70,gexf
Rand.Uni.1000.10.70.gexf,3,8.6370029543622,1,Rand,Uni,1000,10,70,gexf
Rand.Uni.1000.10.70.gexf,5,8.6370029543622,1,Rand,Uni,1000,10,70,gexf
Rand.Uni.1000.10.70.gexf,10,7.19393431173506,10,Rand,Uni,1000,10,70,gexf
Rand.Uni.1000.10.70.gexf,50,F,F,Rand,Uni,1000,10,70,gexf
Rand.Uni.1000.25.70.gexf,2,27.064674920413704,1,Rand,Uni,1000,25,70,gexf
Rand.Uni.1000.25.70.gexf,3,27.064674920413704,1,Rand,Uni,1000,25,70,gexf
Rand.Uni.1000.25.70.gexf,5,27.064674920413704,1,Rand,Uni,1000,25,70,gexf
Rand.Uni.1000.25.70.gexf,10,27.064674920413704,1,Rand,Uni,1000,25,70,gexf
Rand.Uni.1000.25.70.gexf,50,F,F,Rand,Uni,1000,25,70,gexf
Rand.Uni.50.5.71.gexf,2,2.4526388654287303,1,Rand,Uni,50,5,71,gexf
Rand.Uni.50.5.71.gexf,3,2.355428780454401,3,Rand,Uni,50,5,71,gexf
Rand.Uni.50.5.71.gexf,5,1.252291690128081,4,Rand,Uni,50,5,71,gexf
Rand.Uni.50.5.71.gexf,10,F,F,Rand,Uni,50,5,71,gexf
Rand.Uni.50.5.71.gexf,50,F,F,Rand,Uni,50,5,71,gexf
Rand.Uni.50.10.71.gexf,2,9.312812232059956,1,Rand,Uni,50,10,71,gexf
Rand.Uni.50.10.71.gexf,3,9.312812232059956,1,Rand,Uni,50,10,71,gexf
Rand.Uni.50.10.71.gexf,5,9.312812232059956,1,Rand,Uni,50,10,71,gexf
Rand.Uni.50.10.71.gexf,10,8.969430739465356,5,Rand,Uni,50,10,71,gexf
Rand.Uni.50.10.71.gexf,50,F,F,Rand,Uni,50,10,71,gexf
Rand.Uni.50.25.71.gexf,2,18.65677869208035,1,Rand,Uni,50,25,71,gexf
Rand.Uni.50.25.71.gexf,3,18.65677869208035,1,Rand,Uni,50,25,71,gexf
Rand.Uni.50.25.71.gexf,5,18.65677869208035,1,Rand,Uni,50,25,71,gexf
Rand.Uni.50.25.71.gexf,10,18.65677869208035,1,Rand,Uni,50,25,71,gexf
Rand.Uni.50.25.71.gexf,50,F,F,Rand,Uni,50,25,71,gexf
Rand.Uni.100.5.71.gexf,2,3.098592946806579,1,Rand,Uni,100,5,71,gexf
Rand.Uni.100.5.71.gexf,3,2.1712014617427293,4,Rand,Uni,100,5,71,gexf
Rand.Uni.100.5.71.gexf,5,F,F,Rand,Uni,100,5,71,gexf
Rand.Uni.100.5.71.gexf,10,F,F,Rand,Uni,100,5,71,gexf
Rand.Uni.100.5.71.gexf,50,F,F,Rand,Uni,100,5,71,gexf
Rand.Uni.100.10.71.gexf,2,6.4100291223645325,1,Rand,Uni,100,10,71,gexf
