construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	k.2	multiple	ex	k.5	mem	constant	best
1378	cut	cap	first	Rand.Uni.50.25.92.gexf	50	1250	5	3	[35, 35, 35, 35]	15.5085388339419	11.0684913461476	11.068491346147587	inf	409	0	0	0	0	[15.508538833941914, 11.068491346147587]	Rand	Uni	50	25	92	gexf	15.5085388339419	1.40114296961886	0
1379	cut	cap	first	Rand.Uni.50.25.92.gexf	50	1250	10	4	[35, 35, 35, 35]	15.5085388339419	7.72480059916159	7.724800599161586	inf	948	0	0	0	0	[15.508538833941914, 7.724800599161586]	Rand	Uni	50	25	92	gexf	15.5085388339419	2.00762966433401	0.5
1381	cut	cap	first	Rand.Uni.50.5.93.gexf	50	250	2	1	[7, 7, 7, 7]	3.84427926728701	2.21835575804077	2.218355758040765	inf	1644	0	0	0	0	[3.844279267287013, 2.218355758040765]	Rand	Uni	50	5	93	gexf	3.84427926728701	1.73294082941965	0.5
1382	cut	cap	first	Rand.Uni.50.5.93.gexf	50	250	3	2	[7, 7, 7, 7]	3.84427926728701	1.45319317872268	1.4531931787226817	inf	913	0	0	0	0	[3.844279267287013, 1.4531931787226817]	Rand	Uni	50	5	93	gexf	3.84427926728701	2.64540139850232	0.5
1383	cut	cap	first	Rand.Uni.50.5.93.gexf	50	250	5	3	[7, 7, 7, 7]	3.84427926728701	0.416086264968145	0.4160862649681447	inf	4091	0	0	0	0	[3.844279267287013, 0.4160862649681447]	Rand	Uni	50	5	93	gexf	2.38874885733085	5.74099425635626	0.5
1386	cut	cap	first	Rand.Uni.50.10.93.gexf	50	500	2	1	[16, 16, 16, 16]	7.78044314388007	5.9587996918186	5.958799691818604	inf	1208	0	0	0	0	[7.780443143880075, 5.958799691818604]	Rand	Uni	50	10	93	gexf	7.78044314388007	1.30570644194712	0.5
1387	cut	cap	first	Rand.Uni.50.10.93.gexf	50	500	3	2	[16, 16, 16, 16]	7.78044314388007	5.11546345859387	5.115463458593873	inf	1272	0	0	0	0	[7.780443143880075, 5.115463458593873]	Rand	Uni	50	10	93	gexf	7.78044314388007	1.520965442693	0.5
1388	cut	cap	first	Rand.Uni.50.10.93.gexf	50	500	5	3	[16, 16, 16, 16]	7.78044314388007	3.66357811476619	3.663578114766193	inf	1305	0	0	0	0	[7.780443143880075, 3.663578114766193]	Rand	Uni	50	10	93	gexf	7.78044314388007	2.12372792394427	0.5
1389	cut	cap	first	Rand.Uni.50.10.93.gexf	50	500	10	4	[16, 16, 16, 16]	7.78044314388007	1.21465632928592	1.214656329285924	inf	1381	0	0	0	0	[7.780443143880075, 1.214656329285924]	Rand	Uni	50	10	93	gexf	6.46510294509871	5.32257790884722	0.5
1391	cut	cap	first	Rand.Uni.50.25.93.gexf	50	1250	2	1	[35, 35, 35, 35]	14.9342378221452	13.0441244934915	13.044124493491452	inf	310	0	0	0	0	[14.934237822145226, 13.044124493491452]	Rand	Uni	50	25	93	gexf	14.9342378221452	1.14490150945714	0.5
1392	cut	cap	first	Rand.Uni.50.25.93.gexf	50	1250	3	2	[35, 35, 35, 35]	14.9342378221452	12.1505699622721	12.150569962272106	inf	543	0	0	0	0	[14.934237822145226, 12.150569962272106]	Rand	Uni	50	25	93	gexf	14.9342378221452	1.22909771875035	0.5
1393	cut	cap	first	Rand.Uni.50.25.93.gexf	50	1250	5	3	[35, 35, 35, 35]	14.9342378221452	10.4998341625565	10.499834162556505	inf	399	0	0	0	0	[14.934237822145226, 10.499834162556505]	Rand	Uni	50	25	93	gexf	14.9342378221452	1.42233082836701	0.5
1394	cut	cap	first	Rand.Uni.50.25.93.gexf	50	1250	10	4	[35, 35, 35, 35]	14.9342378221452	6.63566283616878	6.635662836168785	inf	263	0	0	0	0	[14.934237822145226, 6.635662836168785]	Rand	Uni	50	25	93	gexf	14.9342378221452	2.25060226700243	0.5
1396	cut	cap	first	Rand.Uni.50.5.94.gexf	50	250	2	1	[7, 7, 7, 7]	4.11426833541695	2.32222591802553	2.322225918025528	inf	1031	0	0	0	0	[4.114268335416949, 2.322225918025528]	Rand	Uni	50	5	94	gexf	4.11426833541695	1.77169167886779	0.5
1397	cut	cap	first	Rand.Uni.50.5.94.gexf	50	250	3	2	[7, 7, 7, 7]	4.11426833541695	1.48138242308614	1.4813824230861443	inf	2325	0	0	0	0	[4.114268335416949, 1.4813824230861443]	Rand	Uni	50	5	94	gexf	4.11426833541695	2.7773168300767	0.5
1398	cut	cap	first	Rand.Uni.50.5.94.gexf	50	250	5	3	[7, 7, 7, 7]	4.11426833541695	0.246534587787496	0.2465345877874957	inf	2470	0	0	0	0	[4.114268335416949, 0.2465345877874957]	Rand	Uni	50	5	94	gexf	1.47920752672497	6	0.5
1401	cut	cap	first	Rand.Uni.50.10.94.gexf	50	500	2	1	[17, 17, 17, 17]	7.89658102852069	5.98462757138331	5.984627571383312	inf	503	0	0	0	0	[7.896581028520691, 5.984627571383312]	Rand	Uni	50	10	94	gexf	7.89658102852069	1.31947743352983	0.5
1402	cut	cap	first	Rand.Uni.50.10.94.gexf	50	500	3	2	[17, 17, 17, 17]	7.89658102852069	5.05384513522388	5.05384513522388	inf	716	0	0	0	0	[7.896581028520691, 5.05384513522388]	Rand	Uni	50	10	94	gexf	7.89658102852069	1.56248971174121	0.5
1403	cut	cap	first	Rand.Uni.50.10.94.gexf	50	500	5	3	[17, 17, 17, 17]	7.89658102852069	3.54535239140804	3.5453523914080396	inf	612	0	0	0	0	[7.896581028520691, 3.5453523914080396]	Rand	Uni	50	10	94	gexf	7.89658102852069	2.22730497754119	0.5
1404	cut	cap	first	Rand.Uni.50.10.94.gexf	50	500	10	4	[17, 17, 17, 17]	7.89658102852069	1.13688110257764	1.1368811025776384	inf	2321	0	0	0	0	[7.896581028520691, 1.1368811025776384]	Rand	Uni	50	10	94	gexf	6.4913522074894	5.70978987404366	0
1406	cut	cap	first	Rand.Uni.50.25.94.gexf	50	1250	2	1	[37, 37, 37, 37]	17.6184143978093	15.6541570381489	15.654157038148922	inf	302	0	0	0	0	[17.618414397809296, 15.654157038148922]	Rand	Uni	50	25	94	gexf	17.6184143978093	1.12547832213983	0
1407	cut	cap	first	Rand.Uni.50.25.94.gexf	50	1250	3	2	[37, 37, 37, 37]	17.6184143978093	14.7078713686988	14.707871368698761	inf	213	0	0	0	0	[17.618414397809296, 14.707871368698761]	Rand	Uni	50	25	94	gexf	17.6184143978093	1.19789016072746	0.5
1408	cut	cap	first	Rand.Uni.50.25.94.gexf	50	1250	5	3	[37, 37, 37, 37]	17.6184143978093	12.8544149377081	12.854414937708095	inf	215	0	0	0	0	[17.618414397809296, 12.854414937708095]	Rand	Uni	50	25	94	gexf	17.6184143978093	1.37061192463347	0
1409	cut	cap	first	Rand.Uni.50.25.94.gexf	50	1250	10	4	[37, 37, 37, 37]	17.6184143978093	8.83128134219052	8.831281342190517	inf	899	0	0	0	0	[17.618414397809296, 8.831281342190517]	Rand	Uni	50	25	94	gexf	17.6184143978093	1.99500091947464	0.5
1411	cut	cap	first	Rand.Uni.50.5.95.gexf	50	250	2	1	[7, 7, 7, 7]	3.32723612405075	1.9114729826872	2.006732431352421	1.9114729826871961	1566	1	0	0	0	[3.3272361240507515, 2.006732431352421, 1.9114729826871961]	Rand	Uni	50	5	95	gexf	3.32723612405075	1.74066604874176	0.5
1412	cut	cap	first	Rand.Uni.50.5.95.gexf	50	250	3	2	[7, 7, 7, 7]	3.32723612405075	1.29648334539693	1.5280161649411177	1.296483345396927	2204	1	0	0	0	[3.3272361240507515, 1.5280161649411177, 1.296483345396927]	Rand	Uni	50	5	95	gexf	3.32723612405075	2.56635469777832	0.5
1413	cut	cap	first	Rand.Uni.50.5.95.gexf	50	250	5	3	[7, 7, 7, 7]	3.32723612405075	0.400455712615317	0.7684889549827553	0.40045571261531676	2466	1	0	0	0	[3.3272361240507515, 0.7684889549827553, 0.40045571261531676]	Rand	Uni	50	5	95	gexf	1.61689139970921	3	0
1416	cut	cap	first	Rand.Uni.50.10.95.gexf	50	500	2	1	[15, 15, 15, 15]	8.02070921534749	6.22231896398706	6.222318963987058	inf	673	0	0	0	0	[8.020709215347486, 6.222318963987058]	Rand	Uni	50	10	95	gexf	8.02070921534749	1.28902251102346	0.5
1417	cut	cap	first	Rand.Uni.50.10.95.gexf	50	500	3	2	[15, 15, 15, 15]	8.02070921534749	5.40180935089018	5.4018093508901845	inf	577	0	0	0	0	[8.020709215347486, 5.4018093508901845]	Rand	Uni	50	10	95	gexf	8.02070921534749	1.48481901050908	0
1418	cut	cap	first	Rand.Uni.50.10.95.gexf	50	500	5	3	[15, 15, 15, 15]	8.02070921534749	3.83275031423487	3.8327503142348665	inf	951	0	0	0	0	[8.020709215347486, 3.8327503142348665]	Rand	Uni	50	10	95	gexf	8.02070921534749	2.09267720507608	0.5
1419	cut	cap	first	Rand.Uni.50.10.95.gexf	50	500	10	4	[15, 15, 15, 15]	8.02070921534749	0.847310262877066	0.8473102628770662	inf	2296	0	0	0	0	[8.020709215347486, 0.8473102628770662]	Rand	Uni	50	10	95	gexf	6.67766560946142	7.88101584747388	0.5
1421	cut	cap	first	Rand.Uni.50.25.95.gexf	50	1250	2	1	[34, 34, 34, 34]	15.2351257653314	13.2927612301639	13.292761230163851	inf	306	0	0	0	0	[15.235125765331436, 13.292761230163851]	Rand	Uni	50	25	95	gexf	15.2351257653314	1.14612197582847	0
1422	cut	cap	first	Rand.Uni.50.25.95.gexf	50	1250	3	2	[34, 34, 34, 34]	15.2351257653314	12.3536004752018	12.35360047520179	inf	305	0	0	0	0	[15.235125765331436, 12.35360047520179]	Rand	Uni	50	25	95	gexf	15.2351257653314	1.23325388383038	0
1423	cut	cap	first	Rand.Uni.50.25.95.gexf	50	1250	5	3	[34, 34, 34, 34]	15.2351257653314	10.6169328279939	10.616932827993935	inf	192	0	0	0	0	[15.235125765331436, 10.616932827993935]	Rand	Uni	50	25	95	gexf	15.2351257653314	1.43498372007786	0
1424	cut	cap	first	Rand.Uni.50.25.95.gexf	50	1250	10	4	[34, 34, 34, 34]	15.2351257653314	6.82481678120835	6.82481678120835	inf	926	0	0	0	0	[15.235125765331436, 6.82481678120835]	Rand	Uni	50	25	95	gexf	15.2351257653314	2.2323127863711	0
1426	cut	cap	first	Rand.Uni.50.5.96.gexf	50	250	2	1	[6, 6, 6, 6]	3.72751175160901	1.93663660570577	1.9366366057057705	inf	1016	0	0	0	0	[3.7275117516090117, 1.9366366057057705]	Rand	Uni	50	5	96	gexf	3.72751175160901	1.92473473889057	0.5
1427	cut	cap	first	Rand.Uni.50.5.96.gexf	50	250	3	2	[6, 6, 6, 6]	3.72751175160901	1.10505982845358	1.1050598284535835	inf	1656	0	0	0	0	[3.7275117516090117, 1.1050598284535835]	Rand	Uni	50	5	96	gexf	3.7212987316156	3.36750883146587	0
1428	cut	cap	first	Rand.Uni.50.5.96.gexf	50	250	5	3	[6, 6, 6, 6]	3.72751175160901	0.568041972144527	0.5680419721445266	inf	3878	0	0	0	0	[3.7275117516090117, 0.5680419721445266]	Rand	Uni	50	5	96	gexf	1.06454355566782	1.87405791802471	0
1431	cut	cap	first	Rand.Uni.50.10.96.gexf	50	500	2	1	[14, 14, 14, 14]	8.16498476817886	6.26918652088216	6.2691865208821556	inf	874	0	0	0	0	[8.164984768178861, 6.2691865208821556]	Rand	Uni	50	10	96	gexf	8.16498476817886	1.30239940078062	0.5
1432	cut	cap	first	Rand.Uni.50.10.96.gexf	50	500	3	2	[14, 14, 14, 14]	8.16498476817886	5.38704520808815	5.38704520808815	inf	872	0	0	0	0	[8.164984768178861, 5.38704520808815]	Rand	Uni	50	10	96	gexf	8.16498476817886	1.51567036339697	0
1433	cut	cap	first	Rand.Uni.50.10.96.gexf	50	500	5	3	[14, 14, 14, 14]	8.16498476817886	3.83502651872575	3.8350265187257495	inf	1265	0	0	0	0	[8.164984768178861, 3.8350265187257495]	Rand	Uni	50	10	96	gexf	8.16498476817886	2.12905562146981	0.5
1434	cut	cap	first	Rand.Uni.50.10.96.gexf	50	500	10	4	[14, 14, 14, 14]	8.16498476817886	1.18437852178462	1.1843785217846234	inf	2238	0	0	0	0	[8.164984768178861, 1.1843785217846234]	Rand	Uni	50	10	96	gexf	7.03088195099721	5.93634705600965	0.5
1436	cut	cap	first	Rand.Uni.50.25.96.gexf	50	1250	2	1	[29, 29, 29, 29]	14.0866409188512	12.1458780536141	12.145878053614135	inf	262	0	0	0	0	[14.086640918851167, 12.145878053614135]	Rand	Uni	50	25	96	gexf	14.0866409188512	1.1597877779334	0
1437	cut	cap	first	Rand.Uni.50.25.96.gexf	50	1250	3	2	[29, 29, 29, 29]	14.0866409188512	11.1892453184735	11.189245318473453	inf	224	0	0	0	0	[14.086640918851167, 11.189245318473453]	Rand	Uni	50	25	96	gexf	14.0866409188512	1.25894468464232	0
1438	cut	cap	first	Rand.Uni.50.25.96.gexf	50	1250	5	3	[29, 29, 29, 29]	14.0866409188512	9.49988378613123	9.499883786131232	inf	571	0	0	0	0	[14.086640918851167, 9.499883786131232]	Rand	Uni	50	25	96	gexf	14.0866409188512	1.48282244667204	0
1439	cut	cap	first	Rand.Uni.50.25.96.gexf	50	1250	10	4	[29, 29, 29, 29]	14.0866409188512	5.75328969990265	5.753289699902653	inf	276	0	0	0	0	[14.086640918851167, 5.753289699902653]	Rand	Uni	50	25	96	gexf	14.0866409188512	2.44844978327608	0.5
1441	cut	cap	first	Rand.Uni.50.5.97.gexf	50	250	2	1	[8, 8, 8, 8]	3.20434282650643	1.98065604622743	1.980656046227426	inf	1610	0	0	0	0	[3.204342826506433, 1.980656046227426]	Rand	Uni	50	5	97	gexf	3.20434282650643	1.61781892045808	0
1442	cut	cap	first	Rand.Uni.50.5.97.gexf	50	250	3	2	[8, 8, 8, 8]	3.20434282650643	1.45233871189948	1.4523387118994795	inf	1667	0	0	0	0	[3.204342826506433, 1.4523387118994795]	Rand	Uni	50	5	97	gexf	3.20434282650643	2.206332999494	0
1443	cut	cap	first	Rand.Uni.50.5.97.gexf	50	250	5	3	[8, 8, 8, 8]	3.20434282650643	0.595339302333247	0.5953393023332468	inf	1367	0	0	0	0	[3.204342826506433, 0.5953393023332468]	Rand	Uni	50	5	97	gexf	2.90467742379896	4.87902850091533	0.5
1446	cut	cap	first	Rand.Uni.50.10.97.gexf	50	500	2	1	[18, 18, 18, 18]	8.13706436368546	6.36558881350101	6.365588813501014	inf	698	0	0	0	0	[8.137064363685464, 6.365588813501014]	Rand	Uni	50	10	97	gexf	8.13706436368546	1.27828934637237	0
1447	cut	cap	first	Rand.Uni.50.10.97.gexf	50	500	3	2	[18, 18, 18, 18]	8.13706436368546	5.62908007671204	5.629080076712035	inf	1201	0	0	0	0	[8.137064363685464, 5.629080076712035]	Rand	Uni	50	10	97	gexf	8.13706436368546	1.44554070164132	0.5
1448	cut	cap	first	Rand.Uni.50.10.97.gexf	50	500	5	3	[18, 18, 18, 18]	8.13706436368546	4.32709385443573	4.32709385443573	inf	508	0	0	0	0	[8.137064363685464, 4.32709385443573]	Rand	Uni	50	10	97	gexf	8.13706436368546	1.88049176593295	0
1449	cut	cap	first	Rand.Uni.50.10.97.gexf	50	500	10	4	[18, 18, 18, 18]	8.13706436368546	1.63418836798025	1.6341883679802467	inf	1005	0	0	0	0	[8.137064363685464, 1.6341883679802467]	Rand	Uni	50	10	97	gexf	7.73998510547904	4.73628698939106	0.5
1451	cut	cap	first	Rand.Uni.50.25.97.gexf	50	1250	2	1	[38, 38, 38, 38]	20.7447556365285	18.7545583380226	18.754558338022576	inf	245	0	0	0	0	[20.744755636528474, 18.754558338022576]	Rand	Uni	50	25	97	gexf	20.7447556365285	1.10611805741493	0.5
1452	cut	cap	first	Rand.Uni.50.25.97.gexf	50	1250	3	2	[38, 38, 38, 38]	20.7447556365285	17.769196621306	17.76919662130598	inf	380	0	0	0	0	[20.744755636528474, 17.76919662130598]	Rand	Uni	50	25	97	gexf	20.7447556365285	1.1674560239631	0
1453	cut	cap	first	Rand.Uni.50.25.97.gexf	50	1250	5	3	[38, 38, 38, 38]	20.7447556365285	15.8172115445029	15.817211544502852	inf	251	0	0	0	0	[20.744755636528474, 15.817211544502852]	Rand	Uni	50	25	97	gexf	20.7447556365285	1.31153051713076	0.5
1454	cut	cap	first	Rand.Uni.50.25.97.gexf	50	1250	10	4	[38, 38, 38, 38]	20.7447556365285	11.3106090259361	11.3106090259361	inf	406	0	0	0	0	[20.744755636528474, 11.3106090259361]	Rand	Uni	50	25	97	gexf	20.7447556365285	1.83409713738307	0
1456	cut	cap	first	Rand.Uni.50.5.98.gexf	50	250	2	1	[8, 8, 8, 8]	4.10008356604926	2.28247402751852	2.282474027518516	inf	1266	0	0	0	0	[4.100083566049257, 2.282474027518516]	Rand	Uni	50	5	98	gexf	4.10008356604926	1.79633306518139	0.5
1457	cut	cap	first	Rand.Uni.50.5.98.gexf	50	250	3	2	[8, 8, 8, 8]	4.10008356604926	1.51632012385367	1.5163201238536672	inf	3764	0	0	0	0	[4.100083566049257, 1.5163201238536672]	Rand	Uni	50	5	98	gexf	4.10008356604926	2.70396963118122	0.5
1458	cut	cap	first	Rand.Uni.50.5.98.gexf	50	250	5	3	[8, 8, 8, 8]	4.10008356604926	0.320396860095749	0.3203968600957494	inf	4023	0	0	0	0	[4.100083566049257, 0.3203968600957494]	Rand	Uni	50	5	98	gexf	1.9223811605745	6	0.5
1461	cut	cap	first	Rand.Uni.50.10.98.gexf	50	500	2	1	[20, 20, 20, 20]	10.073819979781	8.22136077011035	8.221360770110351	inf	861	0	0	0	0	[10.073819979781021, 8.221360770110351]	Rand	Uni	50	10	98	gexf	10.073819979781	1.22532270039839	0.5
1462	cut	cap	first	Rand.Uni.50.10.98.gexf	50	500	3	2	[20, 20, 20, 20]	10.073819979781	7.35115279689628	7.351152796896275	inf	862	0	0	0	0	[10.073819979781021, 7.351152796896275]	Rand	Uni	50	10	98	gexf	10.073819979781	1.37037281880935	0.5
1463	cut	cap	first	Rand.Uni.50.10.98.gexf	50	500	5	3	[20, 20, 20, 20]	10.073819979781	5.87603392224957	5.876033922249571	inf	727	0	0	0	0	[10.073819979781021, 5.876033922249571]	Rand	Uni	50	10	98	gexf	10.073819979781	1.71439105237915	0.5
1464	cut	cap	first	Rand.Uni.50.10.98.gexf	50	500	10	4	[20, 20, 20, 20]	10.073819979781	2.61852870348614	2.6185287034861378	inf	977	0	0	0	0	[10.073819979781021, 2.6185287034861378]	Rand	Uni	50	10	98	gexf	10.0414954420756	3.83478532379922	0
1466	cut	cap	first	Rand.Uni.50.25.98.gexf	50	1250	2	1	[34, 34, 34, 34]	15.484913174281	13.5560414404518	13.556041440451759	inf	311	0	0	0	0	[15.48491317428098, 13.556041440451759]	Rand	Uni	50	25	98	gexf	15.484913174281	1.14228871623787	0.5
1467	cut	cap	first	Rand.Uni.50.25.98.gexf	50	1250	3	2	[34, 34, 34, 34]	15.484913174281	12.646135004298	12.646135004297994	inf	318	0	0	0	0	[15.48491317428098, 12.646135004297994]	Rand	Uni	50	25	98	gexf	15.484913174281	1.2244779269728	0.5
1468	cut	cap	first	Rand.Uni.50.25.98.gexf	50	1250	5	3	[34, 34, 34, 34]	15.484913174281	10.9177584192638	10.91775841926376	inf	400	0	0	0	0	[15.48491317428098, 10.91775841926376]	Rand	Uni	50	25	98	gexf	15.484913174281	1.41832348542891	0.5
1469	cut	cap	first	Rand.Uni.50.25.98.gexf	50	1250	10	4	[34, 34, 34, 34]	15.484913174281	7.59602571387426	7.596025713874264	inf	413	0	0	0	0	[15.48491317428098, 7.596025713874264]	Rand	Uni	50	25	98	gexf	15.484913174281	2.03855460178308	0.5
1471	cut	cap	first	Rand.Uni.50.5.99.gexf	50	250	2	1	[8, 8, 8, 8]	4.19234207142528	2.58485645322212	2.5848564532221165	inf	1515	0	0	0	0	[4.192342071425278, 2.5848564532221165]	Rand	Uni	50	5	99	gexf	4.19234207142528	1.62188583671614	0.5
1472	cut	cap	first	Rand.Uni.50.5.99.gexf	50	250	3	2	[8, 8, 8, 8]	4.19234207142528	1.99123532270868	1.9912353227086799	inf	1304	0	0	0	0	[4.192342071425278, 1.9912353227086799]	Rand	Uni	50	5	99	gexf	4.19234207142528	2.10539760098391	0
1473	cut	cap	first	Rand.Uni.50.5.99.gexf	50	250	5	3	[8, 8, 8, 8]	4.19234207142528	0.97233620124664	0.9723362012466398	inf	2440	0	0	0	0	[4.192342071425278, 0.9723362012466398]	Rand	Uni	50	5	99	gexf	3.72493577175063	3.83091338877938	0
1476	cut	cap	first	Rand.Uni.50.10.99.gexf	50	500	2	1	[17, 17, 17, 17]	6.81019395920028	5.00549050792253	5.005490507922529	inf	934	0	0	0	0	[6.810193959200276, 5.005490507922529]	Rand	Uni	50	10	99	gexf	6.81019395920028	1.36054477546632	0.5
1477	cut	cap	first	Rand.Uni.50.10.99.gexf	50	500	3	2	[17, 17, 17, 17]	6.81019395920028	4.34659927798446	4.346599277984463	inf	948	0	0	0	0	[6.810193959200276, 4.346599277984463]	Rand	Uni	50	10	99	gexf	6.81019395920028	1.56678670465297	0
1478	cut	cap	first	Rand.Uni.50.10.99.gexf	50	500	5	3	[17, 17, 17, 17]	6.81019395920028	3.22955088807998	3.2295508880799755	inf	1335	0	0	0	0	[6.810193959200276, 3.2295508880799755]	Rand	Uni	50	10	99	gexf	6.81019395920028	2.1087123860894	0.5
1479	cut	cap	first	Rand.Uni.50.10.99.gexf	50	500	10	4	[17, 17, 17, 17]	6.81019395920028	1.02918375085368	1.0291837508536787	inf	1410	0	0	0	0	[6.810193959200276, 1.0291837508536787]	Rand	Uni	50	10	99	gexf	5.87048513161634	5.70402042079166	0.5
1481	cut	cap	first	Rand.Uni.50.25.99.gexf	50	1250	2	1	[38, 38, 38, 38]	16.2797096355427	14.357058187716	14.357058187716024	inf	531	0	0	0	0	[16.279709635542673, 14.357058187716024]	Rand	Uni	50	25	99	gexf	16.2797096355427	1.13391681099904	0.5
1482	cut	cap	first	Rand.Uni.50.25.99.gexf	50	1250	3	2	[38, 38, 38, 38]	16.2797096355427	13.4292029263931	13.429202926393122	inf	393	0	0	0	0	[16.279709635542673, 13.429202926393122]	Rand	Uni	50	25	99	gexf	16.2797096355427	1.2122617942981	0.5
1483	cut	cap	first	Rand.Uni.50.25.99.gexf	50	1250	5	3	[38, 38, 38, 38]	16.2797096355427	11.748960196014	11.748960196013993	inf	317	0	0	0	0	[16.279709635542673, 11.748960196013993]	Rand	Uni	50	25	99	gexf	16.2797096355427	1.38562982288984	0.5
1484	cut	cap	first	Rand.Uni.50.25.99.gexf	50	1250	10	4	[38, 38, 38, 38]	16.2797096355427	8.05612144241274	8.056121442412742	inf	894	0	0	0	0	[16.279709635542673, 8.056121442412742]	Rand	Uni	50	25	99	gexf	16.2797096355427	2.02078751566921	0
1486	cut	cap	first	Rand.Uni.50.5.100.gexf	50	250	2	1	[10, 10, 10, 10]	5.30042459648998	3.56220931834793	3.562209318347928	inf	1440	0	0	0	0	[5.300424596489978, 3.562209318347928]	Rand	Uni	50	5	100	gexf	5.30042459648998	1.4879598930891	0.5
1487	cut	cap	first	Rand.Uni.50.5.100.gexf	50	250	3	2	[10, 10, 10, 10]	5.30042459648998	2.78444163771915	2.7844416377191483	inf	1035	0	0	0	0	[5.300424596489978, 2.7844416377191483]	Rand	Uni	50	5	100	gexf	5.30042459648998	1.9035861713488	0.5
1488	cut	cap	first	Rand.Uni.50.5.100.gexf	50	250	5	3	[10, 10, 10, 10]	5.30042459648998	1.63907981911063	1.639079819110628	inf	3921	0	0	0	0	[5.300424596489978, 1.639079819110628]	Rand	Uni	50	5	100	gexf	5.24732349681843	3.20138374936838	0.5
1491	cut	cap	first	Rand.Uni.50.10.100.gexf	50	500	2	1	[17, 17, 17, 17]	8.08355812203605	6.23876751255625	6.238767512556246	inf	559	0	0	0	0	[8.08355812203605, 6.238767512556246]	Rand	Uni	50	10	100	gexf	8.08355812203605	1.29569792523394	0
1492	cut	cap	first	Rand.Uni.50.10.100.gexf	50	500	3	2	[17, 17, 17, 17]	8.08355812203605	5.41583314383272	5.415833143832721	inf	824	0	0	0	0	[8.08355812203605, 5.415833143832721]	Rand	Uni	50	10	100	gexf	8.08355812203605	1.49257887149666	0.5
1493	cut	cap	first	Rand.Uni.50.10.100.gexf	50	500	5	3	[17, 17, 17, 17]	8.08355812203605	3.87649490370223	3.876494903702232	inf	505	0	0	0	0	[8.08355812203605, 3.876494903702232]	Rand	Uni	50	10	100	gexf	8.08355812203605	2.08527505461593	0.5
1494	cut	cap	first	Rand.Uni.50.10.100.gexf	50	500	10	4	[17, 17, 17, 17]	8.08355812203605	1.38909227663767	1.3890922766376739	inf	1383	0	0	0	0	[8.08355812203605, 1.3890922766376739]	Rand	Uni	50	10	100	gexf	7.10690732345409	5.11622405723578	0.5
1496	cut	cap	first	Rand.Uni.50.25.100.gexf	50	1250	2	1	[42, 42, 42, 42]	20.1587231369206	18.1664072660291	18.16640726602908	inf	159	0	0	0	0	[20.15872313692064, 18.16640726602908]	Rand	Uni	50	25	100	gexf	20.1587231369206	1.10967032951073	0.5
1497	cut	cap	first	Rand.Uni.50.25.100.gexf	50	1250	3	2	[42, 42, 42, 42]	20.1587231369206	17.2135471688858	17.213547168885796	inf	363	0	0	0	0	[20.15872313692064, 17.213547168885796]	Rand	Uni	50	25	100	gexf	20.1587231369206	1.1710964009416	0.5
1498	cut	cap	first	Rand.Uni.50.25.100.gexf	50	1250	5	3	[42, 42, 42, 42]	20.1587231369206	15.3523315481214	15.352331548121363	inf	303	0	0	0	0	[20.15872313692064, 15.352331548121363]	Rand	Uni	50	25	100	gexf	20.1587231369206	1.31307241989491	0.5
1499	cut	cap	first	Rand.Uni.50.25.100.gexf	50	1250	10	4	[42, 42, 42, 42]	20.1587231369206	11.4014531532842	11.401453153284232	inf	394	0	0	0	0	[20.15872313692064, 11.401453153284232]	Rand	Uni	50	25	100	gexf	20.1587231369206	1.76808367020425	0.5
1501	cut	cap	first	Rand.Uni.100.5.1.gexf	100	500	2	1	[6, 6, 6, 6]	1.52018485324189	0.514832686198247	0.5148326861982471	inf	1217	0	0	0	0	[1.520184853241888, 0.5148326861982471]	Rand	Uni	100	5	1	gexf	1.12315687792456	2.18159590102649	0
1502	cut	cap	first	Rand.Uni.100.5.1.gexf	100	500	3	2	[6, 6, 6, 6]	1.52018485324189	0.313603397136677	0.3136033971366766	inf	2040	0	0	0	0	[1.520184853241888, 0.3136033971366766]	Rand	Uni	100	5	1	gexf	0.998361669266271	3.18351675518094	0.5
1503	cut	cap	first	Rand.Uni.100.5.1.gexf	100	500	5	3	[6, 6, 6, 6]	1.52018485324189	0.0632964765560008	0.06329647655600079	inf	2096	0	0	0	0	[1.520184853241888, 0.06329647655600079]	Rand	Uni	100	5	1	gexf	0.379778859336005	6	0.5
1506	cut	cap	first	Rand.Uni.100.10.1.gexf	100	1000	2	1	[21, 21, 21, 21]	7.46574092548017	5.56473907922493	5.56473907922493	inf	461	0	0	0	0	[7.4657409254801665, 5.56473907922493]	Rand	Uni	100	10	1	gexf	7.46574092548016	1.34161562998566	0
1507	cut	cap	first	Rand.Uni.100.10.1.gexf	100	1000	3	2	[21, 21, 21, 21]	7.46574092548017	4.67803740844202	4.678037408442017	inf	200	0	0	0	0	[7.4657409254801665, 4.678037408442017]	Rand	Uni	100	10	1	gexf	7.46574092548016	1.59591304507472	0.5
