construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	k.2	multiple	ex	k.5	mem	constant	best
14	cut	cap	first	Rand.Uni.50.25.1.gexf	50	1250	10	4	[39, 39, 39, 39]	18.9397851432323	10.6112031499994	10.611203149999405	inf	325	0	0	0	0	[18.939785143232328, 10.611203149999405]	Rand	Uni	50	25	1	gexf	18.9397851432323	1.78488573590577	0.5
21	cut	cap	first	Rand.Uni.50.10.2.gexf	50	500	2	1	[18, 18, 18, 18]	10.0650495413847	8.159420663198	8.159420663198	inf	1839	0	0	0	0	[10.065049541384727, 8.159420663198]	Rand	Uni	50	10	2	gexf	10.0650495413847	1.233549532111	0.5
22	cut	cap	first	Rand.Uni.50.10.2.gexf	50	500	3	2	[18, 18, 18, 18]	10.0650495413847	7.25078563256451	7.250785632564511	inf	1196	0	0	0	0	[10.065049541384727, 7.250785632564511]	Rand	Uni	50	10	2	gexf	10.0650495413847	1.38813227302996	0
23	cut	cap	first	Rand.Uni.50.10.2.gexf	50	500	5	3	[18, 18, 18, 18]	10.0650495413847	5.7297527450664	5.729752745066404	inf	893	0	0	0	0	[10.065049541384727, 5.729752745066404]	Rand	Uni	50	10	2	gexf	10.0650495413847	1.75662894878862	0
24	cut	cap	first	Rand.Uni.50.10.2.gexf	50	500	10	4	[18, 18, 18, 18]	10.0650495413847	2.40264591643608	2.4026459164360814	inf	965	0	0	0	0	[10.065049541384727, 2.4026459164360814]	Rand	Uni	50	10	2	gexf	9.9698302447762	4.1495212326437	0
26	cut	cap	first	Rand.Uni.50.25.2.gexf	50	1250	2	1	[35, 35, 35, 35]	15.8084323845438	13.9864461582974	13.986446158297449	inf	304	0	0	0	0	[15.808432384543801, 13.986446158297449]	Rand	Uni	50	25	2	gexf	15.8084323845438	1.13026798985427	0.5
27	cut	cap	first	Rand.Uni.50.25.2.gexf	50	1250	3	2	[35, 35, 35, 35]	15.8084323845438	13.1248982314093	13.124898231409322	inf	262	0	0	0	0	[15.808432384543801, 13.124898231409322]	Rand	Uni	50	25	2	gexf	15.8084323845438	1.20446133035245	0.5
28	cut	cap	first	Rand.Uni.50.25.2.gexf	50	1250	5	3	[35, 35, 35, 35]	15.8084323845438	11.4500275510747	11.450027551074735	inf	407	0	0	0	0	[15.808432384543801, 11.450027551074735]	Rand	Uni	50	25	2	gexf	15.8084323845438	1.38064579443392	0.5
29	cut	cap	first	Rand.Uni.50.25.2.gexf	50	1250	10	4	[35, 35, 35, 35]	15.8084323845438	7.82205613803722	7.822056138037223	inf	927	0	0	0	0	[15.808432384543801, 7.822056138037223]	Rand	Uni	50	25	2	gexf	15.8084323845438	2.02100727808259	0.5
31	cut	cap	first	Rand.Uni.50.5.3.gexf	50	250	2	1	[10, 10, 10, 10]	6.27555963594622	4.49434708417331	4.494347084173309	inf	2514	0	0	0	0	[6.275559635946222, 4.494347084173309]	Rand	Uni	50	5	3	gexf	6.27555963594622	1.39632287369291	0.5
32	cut	cap	first	Rand.Uni.50.5.3.gexf	50	250	3	2	[10, 10, 10, 10]	6.27555963594622	3.71051368855504	3.7839915612996746	3.710513688555039	2739	1	0	0	0	[6.275559635946222, 3.7839915612996746, 3.710513688555039]	Rand	Uni	50	5	3	gexf	6.27555963594622	1.69129133125232	0.5
