path	k	max.multirute.flow	iterations	k.0	k.1	n	multiple	ex	k.5
164	Rand.Uni.500.25.3.gexf	10	19.4529879860461	1	Rand	Uni	500	25	3	gexf
166	Rand.Uni.1000.5.3.gexf	2	3.20275730482195	1	Rand	Uni	1000	5	3	gexf
167	Rand.Uni.1000.5.3.gexf	3	3.20275730482195	2	Rand	Uni	1000	5	3	gexf
168	Rand.Uni.1000.5.3.gexf	5	1.87904890637061	6	Rand	Uni	1000	5	3	gexf
171	Rand.Uni.1000.10.3.gexf	2	9.75161635832831	1	Rand	Uni	1000	10	3	gexf
172	Rand.Uni.1000.10.3.gexf	3	9.75161635832831	1	Rand	Uni	1000	10	3	gexf
173	Rand.Uni.1000.10.3.gexf	5	9.75161635832831	1	Rand	Uni	1000	10	3	gexf
174	Rand.Uni.1000.10.3.gexf	10	9.24231429639611	7	Rand	Uni	1000	10	3	gexf
176	Rand.Uni.1000.25.3.gexf	2	17.5738322132901	1	Rand	Uni	1000	25	3	gexf
177	Rand.Uni.1000.25.3.gexf	3	17.5738322132901	1	Rand	Uni	1000	25	3	gexf
178	Rand.Uni.1000.25.3.gexf	5	17.5738322132901	1	Rand	Uni	1000	25	3	gexf
179	Rand.Uni.1000.25.3.gexf	10	17.5738322132901	1	Rand	Uni	1000	25	3	gexf
181	Rand.Uni.50.5.4.gexf	2	2.69528364656203	1	Rand	Uni	50	5	4	gexf
182	Rand.Uni.50.5.4.gexf	3	2.60137121261562	2	Rand	Uni	50	5	4	gexf
183	Rand.Uni.50.5.4.gexf	5	1.0269193712269	6	Rand	Uni	50	5	4	gexf
186	Rand.Uni.50.10.4.gexf	2	8.55411779241611	1	Rand	Uni	50	10	4	gexf
187	Rand.Uni.50.10.4.gexf	3	8.55411779241611	1	Rand	Uni	50	10	4	gexf
188	Rand.Uni.50.10.4.gexf	5	8.55411779241611	1	Rand	Uni	50	10	4	gexf
189	Rand.Uni.50.10.4.gexf	10	8.37249054993135	5	Rand	Uni	50	10	4	gexf
191	Rand.Uni.50.25.4.gexf	2	20.3546503296271	1	Rand	Uni	50	25	4	gexf
192	Rand.Uni.50.25.4.gexf	3	20.3546503296271	1	Rand	Uni	50	25	4	gexf
193	Rand.Uni.50.25.4.gexf	5	20.3546503296271	1	Rand	Uni	50	25	4	gexf
194	Rand.Uni.50.25.4.gexf	10	20.3546503296271	1	Rand	Uni	50	25	4	gexf
196	Rand.Uni.100.5.4.gexf	2	5.84695743310782	1	Rand	Uni	100	5	4	gexf
197	Rand.Uni.100.5.4.gexf	3	5.84695743310782	1	Rand	Uni	100	5	4	gexf
198	Rand.Uni.100.5.4.gexf	5	5.83061224061232	2	Rand	Uni	100	5	4	gexf
201	Rand.Uni.100.10.4.gexf	2	6.37343386604414	1	Rand	Uni	100	10	4	gexf
202	Rand.Uni.100.10.4.gexf	3	6.37343386604414	1	Rand	Uni	100	10	4	gexf
203	Rand.Uni.100.10.4.gexf	5	6.37343386604414	1	Rand	Uni	100	10	4	gexf
204	Rand.Uni.100.10.4.gexf	10	1.54478383272746	9	Rand	Uni	100	10	4	gexf
206	Rand.Uni.100.25.4.gexf	2	23.1634075911069	1	Rand	Uni	100	25	4	gexf
207	Rand.Uni.100.25.4.gexf	3	23.1634075911069	1	Rand	Uni	100	25	4	gexf
208	Rand.Uni.100.25.4.gexf	5	23.1634075911069	1	Rand	Uni	100	25	4	gexf
209	Rand.Uni.100.25.4.gexf	10	23.1634075911069	1	Rand	Uni	100	25	4	gexf
211	Rand.Uni.500.5.4.gexf	2	2.550050735555	1	Rand	Uni	500	5	4	gexf
212	Rand.Uni.500.5.4.gexf	3	2.36363087304458	3	Rand	Uni	500	5	4	gexf
216	Rand.Uni.500.10.4.gexf	2	5.80092011762179	1	Rand	Uni	500	10	4	gexf
217	Rand.Uni.500.10.4.gexf	3	5.80092011762179	1	Rand	Uni	500	10	4	gexf
218	Rand.Uni.500.10.4.gexf	5	5.79514405803252	2	Rand	Uni	500	10	4	gexf
219	Rand.Uni.500.10.4.gexf	10	0.31983854809608	11	Rand	Uni	500	10	4	gexf
221	Rand.Uni.500.25.4.gexf	2	24.1145932696558	1	Rand	Uni	500	25	4	gexf
222	Rand.Uni.500.25.4.gexf	3	24.1145932696558	1	Rand	Uni	500	25	4	gexf
223	Rand.Uni.500.25.4.gexf	5	24.1145932696558	1	Rand	Uni	500	25	4	gexf
224	Rand.Uni.500.25.4.gexf	10	24.1145932696558	1	Rand	Uni	500	25	4	gexf
225	Rand.Uni.500.25.4.gexf	50	0.406823747211306	51	Rand	Uni	500	25	4	gexf
226	Rand.Uni.1000.5.4.gexf	2	3.86328268184121	1	Rand	Uni	1000	5	4	gexf
227	Rand.Uni.1000.5.4.gexf	3	3.86328268184121	1	Rand	Uni	1000	5	4	gexf
228	Rand.Uni.1000.5.4.gexf	5	2.99741773354369	5	Rand	Uni	1000	5	4	gexf
231	Rand.Uni.1000.10.4.gexf	2	8.77962418880204	1	Rand	Uni	1000	10	4	gexf
232	Rand.Uni.1000.10.4.gexf	3	8.77962418880204	1	Rand	Uni	1000	10	4	gexf
233	Rand.Uni.1000.10.4.gexf	5	8.77962418880204	1	Rand	Uni	1000	10	4	gexf
234	Rand.Uni.1000.10.4.gexf	10	8.11868510622528	6	Rand	Uni	1000	10	4	gexf
236	Rand.Uni.1000.25.4.gexf	2	19.4504590821137	1	Rand	Uni	1000	25	4	gexf
237	Rand.Uni.1000.25.4.gexf	3	19.4504590821137	1	Rand	Uni	1000	25	4	gexf
238	Rand.Uni.1000.25.4.gexf	5	19.4504590821137	1	Rand	Uni	1000	25	4	gexf
239	Rand.Uni.1000.25.4.gexf	10	19.4504590821137	1	Rand	Uni	1000	25	4	gexf
241	Rand.Uni.50.5.5.gexf	2	4.88006725245595	1	Rand	Uni	50	5	5	gexf
242	Rand.Uni.50.5.5.gexf	3	4.88006725245595	1	Rand	Uni	50	5	5	gexf
243	Rand.Uni.50.5.5.gexf	5	4.56812278671357	4	Rand	Uni	50	5	5	gexf
246	Rand.Uni.50.10.5.gexf	2	6.62609756504353	1	Rand	Uni	50	10	5	gexf
247	Rand.Uni.50.10.5.gexf	3	6.62609756504353	1	Rand	Uni	50	10	5	gexf
248	Rand.Uni.50.10.5.gexf	5	6.62609756504353	1	Rand	Uni	50	10	5	gexf
249	Rand.Uni.50.10.5.gexf	10	5.60162030289407	8	Rand	Uni	50	10	5	gexf
251	Rand.Uni.50.25.5.gexf	2	16.9474267373372	1	Rand	Uni	50	25	5	gexf
252	Rand.Uni.50.25.5.gexf	3	16.9474267373372	1	Rand	Uni	50	25	5	gexf
253	Rand.Uni.50.25.5.gexf	5	16.9474267373372	1	Rand	Uni	50	25	5	gexf
254	Rand.Uni.50.25.5.gexf	10	16.9474267373372	1	Rand	Uni	50	25	5	gexf
256	Rand.Uni.100.5.5.gexf	2	3.71324584376366	1	Rand	Uni	100	5	5	gexf
257	Rand.Uni.100.5.5.gexf	3	3.7073339372971	2	Rand	Uni	100	5	5	gexf
258	Rand.Uni.100.5.5.gexf	5	3.01444336349045	4	Rand	Uni	100	5	5	gexf
261	Rand.Uni.100.10.5.gexf	2	8.98838266591813	1	Rand	Uni	100	10	5	gexf
262	Rand.Uni.100.10.5.gexf	3	8.98838266591813	1	Rand	Uni	100	10	5	gexf
263	Rand.Uni.100.10.5.gexf	5	8.98838266591813	1	Rand	Uni	100	10	5	gexf
264	Rand.Uni.100.10.5.gexf	10	6.87988006869762	8	Rand	Uni	100	10	5	gexf
266	Rand.Uni.100.25.5.gexf	2	20.3759321463391	1	Rand	Uni	100	25	5	gexf
267	Rand.Uni.100.25.5.gexf	3	20.3759321463391	1	Rand	Uni	100	25	5	gexf
268	Rand.Uni.100.25.5.gexf	5	20.3759321463391	1	Rand	Uni	100	25	5	gexf
269	Rand.Uni.100.25.5.gexf	10	20.3759321463391	1	Rand	Uni	100	25	5	gexf
