path,k,max multirute flow,iterations,k:0,k:1,k:2,k:3,k:4
R-MAT.100.5.3.gexf,10,13.444444444444446,3,R-MAT,100,5,3,gexf
R-MAT.100.5.3.gexf,50,F,F,R-MAT,100,5,3,gexf
R-MAT.100.10.3.gexf,2,40.0,1,R-MAT,100,10,3,gexf
R-MAT.100.10.3.gexf,3,40.0,1,R-MAT,100,10,3,gexf
R-MAT.100.10.3.gexf,5,39.6,3,R-MAT,100,10,3,gexf
R-MAT.100.10.3.gexf,10,34.375,4,R-MAT,100,10,3,gexf
R-MAT.100.10.3.gexf,50,F,F,R-MAT,100,10,3,gexf
R-MAT.100.25.3.gexf,2,106.0,1,R-MAT,100,25,3,gexf
R-MAT.100.25.3.gexf,3,106.0,1,R-MAT,100,25,3,gexf
R-MAT.100.25.3.gexf,5,106.0,1,R-MAT,100,25,3,gexf
R-MAT.100.25.3.gexf,10,102.3,3,R-MAT,100,25,3,gexf
R-MAT.100.25.3.gexf,50,F,F,R-MAT,100,25,3,gexf
R-MAT.500.5.3.gexf,2,46.0,1,R-MAT,500,5,3,gexf
R-MAT.500.5.3.gexf,3,46.0,1,R-MAT,500,5,3,gexf
R-MAT.500.5.3.gexf,5,44.400000000000006,2,R-MAT,500,5,3,gexf
R-MAT.500.5.3.gexf,10,40.7,2,R-MAT,500,5,3,gexf
R-MAT.500.5.3.gexf,50,F,F,R-MAT,500,5,3,gexf
R-MAT.500.10.3.gexf,2,127.0,1,R-MAT,500,10,3,gexf
R-MAT.500.10.3.gexf,3,127.0,1,R-MAT,500,10,3,gexf
R-MAT.500.10.3.gexf,5,127.0,1,R-MAT,500,10,3,gexf
R-MAT.500.10.3.gexf,10,127.0,1,R-MAT,500,10,3,gexf
R-MAT.500.10.3.gexf,50,94.71428571428575,24,R-MAT,500,10,3,gexf
R-MAT.500.25.3.gexf,2,267.0,1,R-MAT,500,25,3,gexf
R-MAT.500.25.3.gexf,3,267.0,1,R-MAT,500,25,3,gexf
R-MAT.500.25.3.gexf,5,267.0,1,R-MAT,500,25,3,gexf
R-MAT.500.25.3.gexf,10,256.3,2,R-MAT,500,25,3,gexf
