path	k	max.multirute.flow	iterations	k.0	n	max.c	ex	k.4
151	Complete.1000.1.4.gexf	2	498.683928399112	2	Complete	1000	1	4	gexf
152	Complete.1000.1.4.gexf	3	498.683928399112	1	Complete	1000	1	4	gexf
153	Complete.1000.1.4.gexf	5	498.683928399112	3	Complete	1000	1	4	gexf
154	Complete.1000.1.4.gexf	10	498.683928399112	1	Complete	1000	1	4	gexf
155	Complete.1000.1.4.gexf	50	498.683928399112	1	Complete	1000	1	4	gexf
156	Complete.1000.20.4.gexf	2	9760	1	Complete	1000	20	4	gexf
157	Complete.1000.20.4.gexf	3	9760	1	Complete	1000	20	4	gexf
158	Complete.1000.20.4.gexf	5	9760	1	Complete	1000	20	4	gexf
159	Complete.1000.20.4.gexf	10	9760	1	Complete	1000	20	4	gexf
160	Complete.1000.20.4.gexf	50	9760	1	Complete	1000	20	4	gexf
161	Complete.50.1.5.gexf	2	22.0053767851533	1	Complete	50	1	5	gexf
162	Complete.50.1.5.gexf	3	22.0053767851533	1	Complete	50	1	5	gexf
163	Complete.50.1.5.gexf	5	22.0053767851533	1	Complete	50	1	5	gexf
164	Complete.50.1.5.gexf	10	22.0053767851533	1	Complete	50	1	5	gexf
166	Complete.50.20.5.gexf	2	452	1	Complete	50	20	5	gexf
167	Complete.50.20.5.gexf	3	452	1	Complete	50	20	5	gexf
168	Complete.50.20.5.gexf	5	452	1	Complete	50	20	5	gexf
169	Complete.50.20.5.gexf	10	452	1	Complete	50	20	5	gexf
171	Complete.100.1.5.gexf	2	47.6437151963338	1	Complete	100	1	5	gexf
172	Complete.100.1.5.gexf	3	47.6437151963338	1	Complete	100	1	5	gexf
173	Complete.100.1.5.gexf	5	47.6437151963338	1	Complete	100	1	5	gexf
174	Complete.100.1.5.gexf	10	47.6437151963338	1	Complete	100	1	5	gexf
175	Complete.100.1.5.gexf	50	47.3127537489874	10	Complete	100	1	5	gexf
176	Complete.100.20.5.gexf	2	978	1	Complete	100	20	5	gexf
177	Complete.100.20.5.gexf	3	978	1	Complete	100	20	5	gexf
178	Complete.100.20.5.gexf	5	978	1	Complete	100	20	5	gexf
179	Complete.100.20.5.gexf	10	978	1	Complete	100	20	5	gexf
180	Complete.100.20.5.gexf	50	978	1	Complete	100	20	5	gexf
181	Complete.500.1.5.gexf	2	250.15229789813	1	Complete	500	1	5	gexf
182	Complete.500.1.5.gexf	3	250.15229789813	1	Complete	500	1	5	gexf
183	Complete.500.1.5.gexf	5	250.15229789813	1	Complete	500	1	5	gexf
184	Complete.500.1.5.gexf	10	250.15229789813	1	Complete	500	1	5	gexf
185	Complete.500.1.5.gexf	50	250.15229789813	1	Complete	500	1	5	gexf
186	Complete.500.20.5.gexf	2	4821	1	Complete	500	20	5	gexf
187	Complete.500.20.5.gexf	3	4821	1	Complete	500	20	5	gexf
188	Complete.500.20.5.gexf	5	4821	1	Complete	500	20	5	gexf
189	Complete.500.20.5.gexf	10	4821	1	Complete	500	20	5	gexf
190	Complete.500.20.5.gexf	50	4821	1	Complete	500	20	5	gexf
191	Complete.1000.1.5.gexf	2	506.24840900094	2	Complete	1000	1	5	gexf
192	Complete.1000.1.5.gexf	3	506.24840900094	1	Complete	1000	1	5	gexf
193	Complete.1000.1.5.gexf	5	506.24840900094	3	Complete	1000	1	5	gexf
194	Complete.1000.1.5.gexf	10	506.24840900094	1	Complete	1000	1	5	gexf
195	Complete.1000.1.5.gexf	50	506.24840900094	1	Complete	1000	1	5	gexf
196	Complete.1000.20.5.gexf	2	9690	1	Complete	1000	20	5	gexf
197	Complete.1000.20.5.gexf	3	9690	1	Complete	1000	20	5	gexf
198	Complete.1000.20.5.gexf	5	9690	1	Complete	1000	20	5	gexf
199	Complete.1000.20.5.gexf	10	9690	1	Complete	1000	20	5	gexf
200	Complete.1000.20.5.gexf	50	9690	1	Complete	1000	20	5	gexf
201	Complete.50.1.6.gexf	2	25.3981012407941	1	Complete	50	1	6	gexf
202	Complete.50.1.6.gexf	3	25.3981012407941	1	Complete	50	1	6	gexf
203	Complete.50.1.6.gexf	5	25.3981012407941	1	Complete	50	1	6	gexf
204	Complete.50.1.6.gexf	10	25.3981012407941	1	Complete	50	1	6	gexf
206	Complete.50.20.6.gexf	2	499	1	Complete	50	20	6	gexf
207	Complete.50.20.6.gexf	3	499	1	Complete	50	20	6	gexf
208	Complete.50.20.6.gexf	5	499	1	Complete	50	20	6	gexf
209	Complete.50.20.6.gexf	10	499	2	Complete	50	20	6	gexf
211	Complete.100.1.6.gexf	2	49.872713153695	1	Complete	100	1	6	gexf
212	Complete.100.1.6.gexf	3	49.872713153695	1	Complete	100	1	6	gexf
213	Complete.100.1.6.gexf	5	49.872713153695	1	Complete	100	1	6	gexf
214	Complete.100.1.6.gexf	10	49.872713153695	1	Complete	100	1	6	gexf
215	Complete.100.1.6.gexf	50	49.8620045115965	3	Complete	100	1	6	gexf
216	Complete.100.20.6.gexf	2	1016	1	Complete	100	20	6	gexf
217	Complete.100.20.6.gexf	3	1016	1	Complete	100	20	6	gexf
218	Complete.100.20.6.gexf	5	1016	1	Complete	100	20	6	gexf
219	Complete.100.20.6.gexf	10	1016	1	Complete	100	20	6	gexf
220	Complete.100.20.6.gexf	50	1016	1	Complete	100	20	6	gexf
221	Complete.500.1.6.gexf	2	241.663440497203	1	Complete	500	1	6	gexf
222	Complete.500.1.6.gexf	3	241.663440497203	1	Complete	500	1	6	gexf
223	Complete.500.1.6.gexf	5	241.663440497203	1	Complete	500	1	6	gexf
224	Complete.500.1.6.gexf	10	241.663440497203	1	Complete	500	1	6	gexf
225	Complete.500.1.6.gexf	50	241.663440497203	1	Complete	500	1	6	gexf
226	Complete.500.20.6.gexf	2	4898	1	Complete	500	20	6	gexf
227	Complete.500.20.6.gexf	3	4898	1	Complete	500	20	6	gexf
228	Complete.500.20.6.gexf	5	4898	1	Complete	500	20	6	gexf
229	Complete.500.20.6.gexf	10	4898	1	Complete	500	20	6	gexf
230	Complete.500.20.6.gexf	50	4898	1	Complete	500	20	6	gexf
231	Complete.1000.1.6.gexf	2	488.119201827007	1	Complete	1000	1	6	gexf
