path	k	max.multirute.flow	iterations	k.0	k.1	n	multiple	ex	k.5	small_1	constant1	uni_2	constant2	best.constant	best.alg
69	Rand.Uni.50.10.2.gexf	10	9.9698302447762	4	Rand	Uni	50	10	2	gexf	2.40264591643608	4.1495212326437	2.40264591643608	4.1495212326437	4.1495212326437	2
71	Rand.Uni.50.25.2.gexf	2	15.8084323845438	1	Rand	Uni	50	25	2	gexf	13.9864461582974	1.13026798985427	14.0475044799659	1.12535521217233	1.13026798985427	NA
72	Rand.Uni.50.25.2.gexf	3	15.8084323845438	1	Rand	Uni	50	25	2	gexf	13.1248982314093	1.20446133035245	14.0849466008588	1.12236367183528	1.20446133035245	NA
73	Rand.Uni.50.25.2.gexf	5	15.8084323845438	1	Rand	Uni	50	25	2	gexf	11.4500275510747	1.38064579443392	13.1878673659053	1.19871029529865	1.38064579443392	NA
74	Rand.Uni.50.25.2.gexf	10	15.8084323845438	1	Rand	Uni	50	25	2	gexf	7.82205613803722	2.02100727808259	11.3157463535205	1.39702958078638	2.02100727808259	NA
76	Rand.Uni.100.5.2.gexf	2	3.20829673847684	1	Rand	Uni	100	5	2	gexf	1.83130755174548	1.7519158567434	1.87485585556291	1.7112231476129	1.7519158567434	NA
77	Rand.Uni.100.5.2.gexf	3	3.13733412190107	2	Rand	Uni	100	5	2	gexf	1.35316281588259	2.31851931273678	1.9732827922081	1.58990598523914	2.31851931273678	NA
78	Rand.Uni.100.5.2.gexf	5	2.65007718472437	6	Rand	Uni	100	5	2	gexf	0.581002533475244	4.56121450774584	0.857546342224507	3.09030200962664	4.56121450774584	NA
81	Rand.Uni.100.10.2.gexf	2	8.16283311457571	1	Rand	Uni	100	10	2	gexf	6.2932185775093	1.29708399828158	6.3616017963661	1.28314116096335	1.29708399828158	NA
82	Rand.Uni.100.10.2.gexf	3	8.16283311457571	1	Rand	Uni	100	10	2	gexf	5.37709416347549	1.51807516595537	5.41214129791424	1.50824464204613	1.51807516595537	NA
83	Rand.Uni.100.10.2.gexf	5	8.16283311457571	1	Rand	Uni	100	10	2	gexf	3.66326609501284	2.22829379653544	4.26672574938765	1.91313751903253	2.22829379653544	NA
84	Rand.Uni.100.10.2.gexf	10	6.25915517218236	7	Rand	Uni	100	10	2	gexf	1.16307346295487	5.38156476915958	1.25786537390359	4.97601357191193	5.38156476915958	NA
86	Rand.Uni.100.25.2.gexf	2	19.0109807324756	1	Rand	Uni	100	25	2	gexf	17.0585497386251	1.11445468833905	17.4875630750307	1.0871143481175	1.11445468833905	NA
87	Rand.Uni.100.25.2.gexf	3	19.0109807324756	1	Rand	Uni	100	25	2	gexf	16.1000858987162	1.18079995672517	17.8577146272635	1.06458083406996	1.18079995672517	NA
88	Rand.Uni.100.25.2.gexf	5	19.0109807324756	1	Rand	Uni	100	25	2	gexf	14.2118107879129	1.337688843187	16.550960095164	1.14863310787816	1.337688843187	NA
89	Rand.Uni.100.25.2.gexf	10	19.0109807324756	1	Rand	Uni	100	25	2	gexf	10.5212400124637	1.80691446159908	12.4750441685179	1.52392091568315	1.80691446159908	NA
91	Rand.Uni.500.5.2.gexf	2	7.6847652444047	1	Rand	Uni	500	5	2	gexf	5.96142544133171	1.28908183454325	5.9614254413317	1.28908183454325	1.28908183454325	2
92	Rand.Uni.500.5.2.gexf	3	7.6847652444047	1	Rand	Uni	500	5	2	gexf	5.16135981544657	1.488903219149	5.16135981544657	1.488903219149	1.488903219149	2
