construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	k.2	multiple	ex	k.5
48	cut	cap	first	Rand.Uni.50.5.4.gexf	50	250	5	3	[6, 6, 6, 6]	2.69528364656203	0.171153228537816	0.1711532285378159	inf	4041	0	0	0	0	[2.6952836465620313, 0.1711532285378159]	Rand	Uni	50	5	4	gexf
51	cut	cap	first	Rand.Uni.50.10.4.gexf	50	500	2	1	[16, 16, 16, 16]	8.55411779241611	6.92378762901211	6.923787629012113	inf	680	0	0	0	0	[8.554117792416115, 6.923787629012113]	Rand	Uni	50	10	4	gexf
52	cut	cap	first	Rand.Uni.50.10.4.gexf	50	500	3	2	[16, 16, 16, 16]	8.55411779241611	6.11986602182351	6.119866021823512	inf	911	0	0	0	0	[8.554117792416115, 6.119866021823512]	Rand	Uni	50	10	4	gexf
53	cut	cap	first	Rand.Uni.50.10.4.gexf	50	500	5	3	[16, 16, 16, 16]	8.55411779241611	4.61158037074936	4.611580370749362	inf	1273	0	0	0	0	[8.554117792416115, 4.611580370749362]	Rand	Uni	50	10	4	gexf
54	cut	cap	first	Rand.Uni.50.10.4.gexf	50	500	10	4	[16, 16, 16, 16]	8.55411779241611	1.81823753650739	1.8182375365073864	inf	2228	0	0	0	0	[8.554117792416115, 1.8182375365073864]	Rand	Uni	50	10	4	gexf
56	cut	cap	first	Rand.Uni.50.25.4.gexf	50	1250	2	1	[37, 37, 37, 37]	20.3546503296271	18.3622572948823	18.362257294882287	inf	188	0	0	0	0	[20.354650329627127, 18.362257294882287]	Rand	Uni	50	25	4	gexf
57	cut	cap	first	Rand.Uni.50.25.4.gexf	50	1250	3	2	[37, 37, 37, 37]	20.3546503296271	17.3670714715392	17.367071471539237	inf	253	0	0	0	0	[20.354650329627127, 17.367071471539237]	Rand	Uni	50	25	4	gexf
58	cut	cap	first	Rand.Uni.50.25.4.gexf	50	1250	5	3	[37, 37, 37, 37]	20.3546503296271	15.4754286763133	15.475428676313292	inf	396	0	0	0	0	[20.354650329627127, 15.475428676313292]	Rand	Uni	50	25	4	gexf
59	cut	cap	first	Rand.Uni.50.25.4.gexf	50	1250	10	4	[37, 37, 37, 37]	20.3546503296271	11.2222403795631	11.222240379563143	inf	518	0	0	0	0	[20.354650329627127, 11.222240379563143]	Rand	Uni	50	25	4	gexf
61	cut	cap	first	Rand.Uni.50.5.5.gexf	50	250	2	1	[10, 10, 10, 10]	4.88006725245595	3.09795530236305	3.166937305680625	3.0979553023630464	596	1	0	0	0	[4.880067252455947, 3.166937305680625, 3.0979553023630464]	Rand	Uni	50	5	5	gexf
62	cut	cap	first	Rand.Uni.50.5.5.gexf	50	250	3	2	[10, 10, 10, 10]	4.88006725245595	2.28406139335679	2.4196144843936054	2.284061393356787	1900	1	0	0	0	[4.880067252455947, 2.4196144843936054, 2.284061393356787]	Rand	Uni	50	5	5	gexf
63	cut	cap	first	Rand.Uni.50.5.5.gexf	50	250	5	3	[10, 10, 10, 10]	4.88006725245595	1.28580868212591	1.2858086821259125	inf	1050	0	0	0	0	[4.880067252455947, 1.2858086821259125]	Rand	Uni	50	5	5	gexf
66	cut	cap	first	Rand.Uni.50.10.5.gexf	50	500	2	1	[15, 15, 15, 15]	6.62609756504353	4.97403502731644	4.974035027316438	inf	896	0	0	0	0	[6.626097565043528, 4.974035027316438]	Rand	Uni	50	10	5	gexf
67	cut	cap	first	Rand.Uni.50.10.5.gexf	50	500	3	2	[15, 15, 15, 15]	6.62609756504353	4.35477897617333	4.35477897617333	inf	2084	0	0	0	0	[6.626097565043528, 4.35477897617333]	Rand	Uni	50	10	5	gexf
68	cut	cap	first	Rand.Uni.50.10.5.gexf	50	500	5	3	[15, 15, 15, 15]	6.62609756504353	3.14123009749007	3.141230097490065	inf	615	0	0	0	0	[6.626097565043528, 3.141230097490065]	Rand	Uni	50	10	5	gexf
69	cut	cap	first	Rand.Uni.50.10.5.gexf	50	500	10	4	[15, 15, 15, 15]	6.62609756504353	0.963322692229392	0.9633226922293922	inf	2271	0	0	0	0	[6.626097565043528, 0.9633226922293922]	Rand	Uni	50	10	5	gexf
71	cut	cap	first	Rand.Uni.50.25.5.gexf	50	1250	2	1	[38, 38, 38, 38]	16.9474267373372	15.0390669494447	15.039066949444711	inf	372	0	0	0	0	[16.947426737337214, 15.039066949444711]	Rand	Uni	50	25	5	gexf
72	cut	cap	first	Rand.Uni.50.25.5.gexf	50	1250	3	2	[38, 38, 38, 38]	16.9474267373372	14.1366481432178	14.136648143217755	inf	387	0	0	0	0	[16.947426737337214, 14.136648143217755]	Rand	Uni	50	25	5	gexf
73	cut	cap	first	Rand.Uni.50.25.5.gexf	50	1250	5	3	[38, 38, 38, 38]	16.9474267373372	12.4119763343651	12.41197633436508	inf	255	0	0	0	0	[16.947426737337214, 12.41197633436508]	Rand	Uni	50	25	5	gexf
74	cut	cap	first	Rand.Uni.50.25.5.gexf	50	1250	10	4	[38, 38, 38, 38]	16.9474267373372	8.70919156021498	8.709191560214983	inf	262	0	0	0	0	[16.947426737337214, 8.709191560214983]	Rand	Uni	50	25	5	gexf
76	cut	cap	first	Rand.Uni.50.5.6.gexf	50	250	2	1	[9, 9, 9, 9]	4.42396479138037	2.8813578259692	2.8813578259691965	inf	1016	0	0	0	0	[4.423964791380369, 2.8813578259691965]	Rand	Uni	50	5	6	gexf
77	cut	cap	first	Rand.Uni.50.5.6.gexf	50	250	3	2	[9, 9, 9, 9]	4.42396479138037	2.19746043092895	2.1974604309289507	inf	1614	0	0	0	0	[4.423964791380369, 2.1974604309289507]	Rand	Uni	50	5	6	gexf
78	cut	cap	first	Rand.Uni.50.5.6.gexf	50	250	5	3	[9, 9, 9, 9]	4.42396479138037	1.09046745685735	1.090467456857355	inf	1755	0	0	0	0	[4.423964791380369, 1.090467456857355]	Rand	Uni	50	5	6	gexf
81	cut	cap	first	Rand.Uni.50.10.6.gexf	50	500	2	1	[22, 22, 22, 22]	9.41782262386604	7.46797524849243	7.467975248492435	inf	343	0	0	0	0	[9.41782262386604, 7.467975248492435]	Rand	Uni	50	10	6	gexf
82	cut	cap	first	Rand.Uni.50.10.6.gexf	50	500	3	2	[22, 22, 22, 22]	9.41782262386604	6.62836278581161	6.628362785811609	inf	711	0	0	0	0	[9.41782262386604, 6.628362785811609]	Rand	Uni	50	10	6	gexf
83	cut	cap	first	Rand.Uni.50.10.6.gexf	50	500	5	3	[22, 22, 22, 22]	9.41782262386604	4.98730621952119	4.98730621952119	inf	2039	0	0	0	0	[9.41782262386604, 4.98730621952119]	Rand	Uni	50	10	6	gexf
84	cut	cap	first	Rand.Uni.50.10.6.gexf	50	500	10	4	[22, 22, 22, 22]	9.41782262386604	2.63629204293586	2.6362920429358594	inf	1358	0	0	0	0	[9.41782262386604, 2.6362920429358594]	Rand	Uni	50	10	6	gexf
86	cut	cap	first	Rand.Uni.50.25.6.gexf	50	1250	2	1	[38, 38, 38, 38]	21.0240771708857	19.0585621314759	19.058562131475885	inf	359	0	0	0	0	[21.02407717088568, 19.058562131475885]	Rand	Uni	50	25	6	gexf
87	cut	cap	first	Rand.Uni.50.25.6.gexf	50	1250	3	2	[38, 38, 38, 38]	21.0240771708857	18.0857603353065	18.08576033530655	inf	242	0	0	0	0	[21.02407717088568, 18.08576033530655]	Rand	Uni	50	25	6	gexf
88	cut	cap	first	Rand.Uni.50.25.6.gexf	50	1250	5	3	[38, 38, 38, 38]	21.0240771708857	16.1847309195585	16.18473091955845	inf	513	0	0	0	0	[21.02407717088568, 16.18473091955845]	Rand	Uni	50	25	6	gexf
89	cut	cap	first	Rand.Uni.50.25.6.gexf	50	1250	10	4	[38, 38, 38, 38]	21.0240771708857	11.6352425233035	11.635242523303473	inf	393	0	0	0	0	[21.02407717088568, 11.635242523303473]	Rand	Uni	50	25	6	gexf
91	cut	cap	first	Rand.Uni.50.5.7.gexf	50	250	2	1	[6, 6, 6, 6]	1.98469944591337	0.638108945931826	0.6381089459318263	inf	1366	0	0	0	0	[1.9846994459133718, 0.6381089459318263]	Rand	Uni	50	5	7	gexf
92	cut	cap	first	Rand.Uni.50.5.7.gexf	50	250	3	2	[6, 6, 6, 6]	1.98469944591337	0.364730879080446	0.36473087908044577	inf	3938	0	0	0	0	[1.9846994459133718, 0.36473087908044577]	Rand	Uni	50	5	7	gexf
93	cut	cap	first	Rand.Uni.50.5.7.gexf	50	250	5	3	[6, 6, 6, 6]	1.98469944591337	0.060900146782613	0.06090014678261302	inf	2514	0	0	0	0	[1.9846994459133718, 0.06090014678261302]	Rand	Uni	50	5	7	gexf
96	cut	cap	first	Rand.Uni.50.10.7.gexf	50	500	2	1	[19, 19, 19, 19]	8.63064409649475	6.88275063223634	6.882750632236344	inf	693	0	0	0	0	[8.630644096494754, 6.882750632236344]	Rand	Uni	50	10	7	gexf
97	cut	cap	first	Rand.Uni.50.10.7.gexf	50	500	3	2	[19, 19, 19, 19]	8.63064409649475	6.17567437321283	6.175674373212835	inf	905	0	0	0	0	[8.630644096494754, 6.175674373212835]	Rand	Uni	50	10	7	gexf
98	cut	cap	first	Rand.Uni.50.10.7.gexf	50	500	5	3	[19, 19, 19, 19]	8.63064409649475	4.8807027025327	4.880702702532703	inf	726	0	0	0	0	[8.630644096494754, 4.880702702532703]	Rand	Uni	50	10	7	gexf
99	cut	cap	first	Rand.Uni.50.10.7.gexf	50	500	10	4	[19, 19, 19, 19]	8.63064409649475	2.12667187270028	2.1266718727002774	inf	2196	0	0	0	0	[8.630644096494754, 2.1266718727002774]	Rand	Uni	50	10	7	gexf
101	cut	cap	first	Rand.Uni.50.25.7.gexf	50	1250	2	1	[40, 40, 40, 40]	17.1999507760543	15.3388372100743	15.338837210074345	inf	298	0	0	0	0	[17.199950776054308, 15.338837210074345]	Rand	Uni	50	25	7	gexf
