construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	neighbour	p	ex	k.5
4676	cut	cap	first	Small.100.24.5.56.gexf	100	2400	2	1	[19, 19, 19, 19]	19	17	17.0	inf	527	0	0	0	0	[19.0, 17.0]	Small	100	24	5	56	gexf
4677	cut	cap	first	Small.100.24.5.56.gexf	100	2400	3	2	[19, 19, 19, 19]	19	16	16.0	inf	526	0	0	0	0	[19.0, 16.0]	Small	100	24	5	56	gexf
4678	cut	cap	first	Small.100.24.5.56.gexf	100	2400	5	3	[19, 19, 19, 19]	19	14	14.0	inf	527	0	0	0	0	[19.0, 14.0]	Small	100	24	5	56	gexf
4679	cut	cap	first	Small.100.24.5.56.gexf	100	2400	10	4	[19, 19, 19, 19]	19	9	9.0	inf	529	0	0	0	0	[19.0, 9.0]	Small	100	24	5	56	gexf
4681	cut	cap	first	Small.100.6.2.57.gexf	100	600	2	1	[5, 5, 5, 5]	5	3	3.0	inf	1851	0	0	0	0	[5.0, 3.0]	Small	100	6	2	57	gexf
4682	cut	cap	first	Small.100.6.2.57.gexf	100	600	3	2	[5, 5, 5, 5]	5	2	2.0	inf	1863	0	0	0	0	[5.0, 2.0]	Small	100	6	2	57	gexf
4686	cut	cap	first	Small.100.6.5.57.gexf	100	600	2	1	[5, 5, 5, 5]	5	3	3.0	inf	1820	0	0	0	0	[5.0, 3.0]	Small	100	6	5	57	gexf
4687	cut	cap	first	Small.100.6.5.57.gexf	100	600	3	2	[5, 5, 5, 5]	5	2	2.0	inf	1831	0	0	0	0	[5.0, 2.0]	Small	100	6	5	57	gexf
4691	cut	cap	first	Small.100.10.2.57.gexf	100	1000	2	1	[7, 7, 7, 7]	7	5	5.0	inf	1213	0	0	0	0	[7.0, 5.0]	Small	100	10	2	57	gexf
4692	cut	cap	first	Small.100.10.2.57.gexf	100	1000	3	2	[7, 7, 7, 7]	7	4	4.0	inf	1210	0	0	0	0	[7.0, 4.0]	Small	100	10	2	57	gexf
4693	cut	cap	first	Small.100.10.2.57.gexf	100	1000	5	3	[7, 7, 7, 7]	7	2	2.0	inf	1212	0	0	0	0	[7.0, 2.0]	Small	100	10	2	57	gexf
4696	cut	cap	first	Small.100.10.5.57.gexf	100	1000	2	1	[8, 8, 8, 8]	8	6	6.0	inf	1190	0	0	0	0	[8.0, 6.0]	Small	100	10	5	57	gexf
4697	cut	cap	first	Small.100.10.5.57.gexf	100	1000	3	2	[8, 8, 8, 8]	8	5	5.0	inf	1190	0	0	0	0	[8.0, 5.0]	Small	100	10	5	57	gexf
4698	cut	cap	first	Small.100.10.5.57.gexf	100	1000	5	3	[8, 8, 8, 8]	8	3	3.0	inf	1194	0	0	0	0	[8.0, 3.0]	Small	100	10	5	57	gexf
4701	cut	cap	first	Small.100.24.2.57.gexf	100	2400	2	1	[23, 23, 23, 23]	23	21	21.0	inf	519	0	0	0	0	[23.0, 21.0]	Small	100	24	2	57	gexf
4702	cut	cap	first	Small.100.24.2.57.gexf	100	2400	3	2	[23, 23, 23, 23]	23	20	20.0	inf	527	0	0	0	0	[23.0, 20.0]	Small	100	24	2	57	gexf
4703	cut	cap	first	Small.100.24.2.57.gexf	100	2400	5	3	[23, 23, 23, 23]	23	18	18.0	inf	526	0	0	0	0	[23.0, 18.0]	Small	100	24	2	57	gexf
4704	cut	cap	first	Small.100.24.2.57.gexf	100	2400	10	4	[23, 23, 23, 23]	23	13	13.0	inf	525	0	0	0	0	[23.0, 13.0]	Small	100	24	2	57	gexf
4706	cut	cap	first	Small.100.24.5.57.gexf	100	2400	2	1	[23, 23, 23, 23]	23	21	21.0	inf	516	0	0	0	0	[23.0, 21.0]	Small	100	24	5	57	gexf
4707	cut	cap	first	Small.100.24.5.57.gexf	100	2400	3	2	[23, 23, 23, 23]	23	20	20.0	inf	517	0	0	0	0	[23.0, 20.0]	Small	100	24	5	57	gexf
4708	cut	cap	first	Small.100.24.5.57.gexf	100	2400	5	3	[23, 23, 23, 23]	23	18	18.0	inf	515	0	0	0	0	[23.0, 18.0]	Small	100	24	5	57	gexf
4709	cut	cap	first	Small.100.24.5.57.gexf	100	2400	10	4	[23, 23, 23, 23]	23	13	13.0	inf	515	0	0	0	0	[23.0, 13.0]	Small	100	24	5	57	gexf
4711	cut	cap	first	Small.100.6.2.58.gexf	100	600	2	1	[5, 5, 5, 5]	5	3	3.0	inf	1822	0	0	0	0	[5.0, 3.0]	Small	100	6	2	58	gexf
4712	cut	cap	first	Small.100.6.2.58.gexf	100	600	3	2	[5, 5, 5, 5]	5	2	2.0	inf	1839	0	0	0	0	[5.0, 2.0]	Small	100	6	2	58	gexf
4716	cut	cap	first	Small.100.6.5.58.gexf	100	600	2	1	[6, 6, 6, 6]	6	4	4.0	inf	1826	0	0	0	0	[6.0, 4.0]	Small	100	6	5	58	gexf
4717	cut	cap	first	Small.100.6.5.58.gexf	100	600	3	2	[6, 6, 6, 6]	6	3	3.0	inf	1821	0	0	0	0	[6.0, 3.0]	Small	100	6	5	58	gexf
4718	cut	cap	first	Small.100.6.5.58.gexf	100	600	5	3	[6, 6, 6, 6]	6	1	1.0	inf	1863	0	0	0	0	[6.0, 1.0]	Small	100	6	5	58	gexf
4721	cut	cap	first	Small.100.10.2.58.gexf	100	1000	2	1	[10, 10, 10, 10]	10	8	8.0	inf	1197	0	0	0	0	[10.0, 8.0]	Small	100	10	2	58	gexf
4722	cut	cap	first	Small.100.10.2.58.gexf	100	1000	3	2	[10, 10, 10, 10]	10	7	7.0	inf	1204	0	0	0	0	[10.0, 7.0]	Small	100	10	2	58	gexf
4723	cut	cap	first	Small.100.10.2.58.gexf	100	1000	5	3	[10, 10, 10, 10]	10	5	5.0	inf	1209	0	0	0	0	[10.0, 5.0]	Small	100	10	2	58	gexf
4726	cut	cap	first	Small.100.10.5.58.gexf	100	1000	2	1	[11, 11, 11, 11]	11	9	9.0	inf	1192	0	0	0	0	[11.0, 9.0]	Small	100	10	5	58	gexf
4727	cut	cap	first	Small.100.10.5.58.gexf	100	1000	3	2	[11, 11, 11, 11]	11	8	8.0	inf	1180	0	0	0	0	[11.0, 8.0]	Small	100	10	5	58	gexf
4728	cut	cap	first	Small.100.10.5.58.gexf	100	1000	5	3	[11, 11, 11, 11]	11	6	6.0	inf	1185	0	0	0	0	[11.0, 6.0]	Small	100	10	5	58	gexf
4729	cut	cap	first	Small.100.10.5.58.gexf	100	1000	10	4	[11, 11, 11, 11]	11	1	1.0	inf	1200	0	0	0	0	[11.0, 1.0]	Small	100	10	5	58	gexf
4731	cut	cap	first	Small.100.24.2.58.gexf	100	2400	2	1	[23, 23, 23, 23]	23	21	21.0	inf	513	0	0	0	0	[23.0, 21.0]	Small	100	24	2	58	gexf
4732	cut	cap	first	Small.100.24.2.58.gexf	100	2400	3	2	[23, 23, 23, 23]	23	20	20.0	inf	519	0	0	0	0	[23.0, 20.0]	Small	100	24	2	58	gexf
4733	cut	cap	first	Small.100.24.2.58.gexf	100	2400	5	3	[23, 23, 23, 23]	23	18	18.0	inf	513	0	0	0	0	[23.0, 18.0]	Small	100	24	2	58	gexf
4734	cut	cap	first	Small.100.24.2.58.gexf	100	2400	10	4	[23, 23, 23, 23]	23	13	13.0	inf	519	0	0	0	0	[23.0, 13.0]	Small	100	24	2	58	gexf
4736	cut	cap	first	Small.100.24.5.58.gexf	100	2400	2	1	[20, 20, 20, 20]	20	18	18.0	inf	514	0	0	0	0	[20.0, 18.0]	Small	100	24	5	58	gexf
4737	cut	cap	first	Small.100.24.5.58.gexf	100	2400	3	2	[20, 20, 20, 20]	20	17	17.0	inf	519	0	0	0	0	[20.0, 17.0]	Small	100	24	5	58	gexf
4738	cut	cap	first	Small.100.24.5.58.gexf	100	2400	5	3	[20, 20, 20, 20]	20	15	15.0	inf	510	0	0	0	0	[20.0, 15.0]	Small	100	24	5	58	gexf
4739	cut	cap	first	Small.100.24.5.58.gexf	100	2400	10	4	[20, 20, 20, 20]	20	10	10.0	inf	519	0	0	0	0	[20.0, 10.0]	Small	100	24	5	58	gexf
4741	cut	cap	first	Small.100.6.2.59.gexf	100	600	2	1	[5, 5, 5, 5]	5	3	3.0	inf	1833	0	0	0	0	[5.0, 3.0]	Small	100	6	2	59	gexf
4742	cut	cap	first	Small.100.6.2.59.gexf	100	600	3	2	[5, 5, 5, 5]	5	2	2.0	inf	1847	0	0	0	0	[5.0, 2.0]	Small	100	6	2	59	gexf
4746	cut	cap	first	Small.100.6.5.59.gexf	100	600	2	1	[6, 6, 6, 6]	6	4	4.0	inf	1816	0	0	0	0	[6.0, 4.0]	Small	100	6	5	59	gexf
4747	cut	cap	first	Small.100.6.5.59.gexf	100	600	3	2	[6, 6, 6, 6]	6	3	3.0	inf	1850	0	0	0	0	[6.0, 3.0]	Small	100	6	5	59	gexf
4748	cut	cap	first	Small.100.6.5.59.gexf	100	600	5	3	[6, 6, 6, 6]	6	1	1.0	inf	1851	0	0	0	0	[6.0, 1.0]	Small	100	6	5	59	gexf
4751	cut	cap	first	Small.100.10.2.59.gexf	100	1000	2	1	[9, 9, 9, 9]	9	7	7.0	inf	1193	0	0	0	0	[9.0, 7.0]	Small	100	10	2	59	gexf
4752	cut	cap	first	Small.100.10.2.59.gexf	100	1000	3	2	[9, 9, 9, 9]	9	6	6.0	inf	1183	0	0	0	0	[9.0, 6.0]	Small	100	10	2	59	gexf
4753	cut	cap	first	Small.100.10.2.59.gexf	100	1000	5	3	[9, 9, 9, 9]	9	4	4.0	inf	1204	0	0	0	0	[9.0, 4.0]	Small	100	10	2	59	gexf
4756	cut	cap	first	Small.100.10.5.59.gexf	100	1000	2	1	[9, 9, 9, 9]	9	7	7.0	inf	1173	0	0	0	0	[9.0, 7.0]	Small	100	10	5	59	gexf
4757	cut	cap	first	Small.100.10.5.59.gexf	100	1000	3	2	[9, 9, 9, 9]	9	6	6.0	inf	1184	0	0	0	0	[9.0, 6.0]	Small	100	10	5	59	gexf
4758	cut	cap	first	Small.100.10.5.59.gexf	100	1000	5	3	[9, 9, 9, 9]	9	4	4.0	inf	1186	0	0	0	0	[9.0, 4.0]	Small	100	10	5	59	gexf
4761	cut	cap	first	Small.100.24.2.59.gexf	100	2400	2	1	[22, 22, 22, 22]	22	20	20.0	inf	530	0	0	0	0	[22.0, 20.0]	Small	100	24	2	59	gexf
4762	cut	cap	first	Small.100.24.2.59.gexf	100	2400	3	2	[22, 22, 22, 22]	22	19	19.0	inf	524	0	0	0	0	[22.0, 19.0]	Small	100	24	2	59	gexf
4763	cut	cap	first	Small.100.24.2.59.gexf	100	2400	5	3	[22, 22, 22, 22]	22	17	17.0	inf	530	0	0	0	0	[22.0, 17.0]	Small	100	24	2	59	gexf
4764	cut	cap	first	Small.100.24.2.59.gexf	100	2400	10	4	[22, 22, 22, 22]	22	12	12.0	inf	529	0	0	0	0	[22.0, 12.0]	Small	100	24	2	59	gexf
4766	cut	cap	first	Small.100.24.5.59.gexf	100	2400	2	1	[21, 21, 21, 21]	21	19	19.0	inf	521	0	0	0	0	[21.0, 19.0]	Small	100	24	5	59	gexf
4767	cut	cap	first	Small.100.24.5.59.gexf	100	2400	3	2	[21, 21, 21, 21]	21	18	18.0	inf	517	0	0	0	0	[21.0, 18.0]	Small	100	24	5	59	gexf
4768	cut	cap	first	Small.100.24.5.59.gexf	100	2400	5	3	[21, 21, 21, 21]	21	16	16.0	inf	518	0	0	0	0	[21.0, 16.0]	Small	100	24	5	59	gexf
4769	cut	cap	first	Small.100.24.5.59.gexf	100	2400	10	4	[21, 21, 21, 21]	21	11	11.0	inf	522	0	0	0	0	[21.0, 11.0]	Small	100	24	5	59	gexf
4771	cut	cap	first	Small.100.6.2.60.gexf	100	600	2	1	[5, 5, 5, 5]	5	3	3.0	inf	1794	0	0	0	0	[5.0, 3.0]	Small	100	6	2	60	gexf
4772	cut	cap	first	Small.100.6.2.60.gexf	100	600	3	2	[5, 5, 5, 5]	5	2	2.0	inf	1813	0	0	0	0	[5.0, 2.0]	Small	100	6	2	60	gexf
4776	cut	cap	first	Small.100.6.5.60.gexf	100	600	2	1	[4, 4, 4, 4]	4	2	2.0	inf	1814	0	0	0	0	[4.0, 2.0]	Small	100	6	5	60	gexf
4777	cut	cap	first	Small.100.6.5.60.gexf	100	600	3	2	[4, 4, 4, 4]	4	1	1.0	inf	1830	0	0	0	0	[4.0, 1.0]	Small	100	6	5	60	gexf
4781	cut	cap	first	Small.100.10.2.60.gexf	100	1000	2	1	[8, 8, 8, 8]	8	6	6.0	inf	1202	0	0	0	0	[8.0, 6.0]	Small	100	10	2	60	gexf
4782	cut	cap	first	Small.100.10.2.60.gexf	100	1000	3	2	[8, 8, 8, 8]	8	5	5.0	inf	1208	0	0	0	0	[8.0, 5.0]	Small	100	10	2	60	gexf
4783	cut	cap	first	Small.100.10.2.60.gexf	100	1000	5	3	[8, 8, 8, 8]	8	3	3.0	inf	1213	0	0	0	0	[8.0, 3.0]	Small	100	10	2	60	gexf
4786	cut	cap	first	Small.100.10.5.60.gexf	100	1000	2	1	[8, 8, 8, 8]	8	6	6.0	inf	1191	0	0	0	0	[8.0, 6.0]	Small	100	10	5	60	gexf
4787	cut	cap	first	Small.100.10.5.60.gexf	100	1000	3	2	[8, 8, 8, 8]	8	5	5.0	inf	1191	0	0	0	0	[8.0, 5.0]	Small	100	10	5	60	gexf
4788	cut	cap	first	Small.100.10.5.60.gexf	100	1000	5	3	[8, 8, 8, 8]	8	3	3.0	inf	1208	0	0	0	0	[8.0, 3.0]	Small	100	10	5	60	gexf
4791	cut	cap	first	Small.100.24.2.60.gexf	100	2400	2	1	[21, 21, 21, 21]	21	19	19.0	inf	519	0	0	0	0	[21.0, 19.0]	Small	100	24	2	60	gexf
4792	cut	cap	first	Small.100.24.2.60.gexf	100	2400	3	2	[21, 21, 21, 21]	21	18	18.0	inf	520	0	0	0	0	[21.0, 18.0]	Small	100	24	2	60	gexf
4793	cut	cap	first	Small.100.24.2.60.gexf	100	2400	5	3	[21, 21, 21, 21]	21	16	16.0	inf	521	0	0	0	0	[21.0, 16.0]	Small	100	24	2	60	gexf
4794	cut	cap	first	Small.100.24.2.60.gexf	100	2400	10	4	[21, 21, 21, 21]	21	11	11.0	inf	521	0	0	0	0	[21.0, 11.0]	Small	100	24	2	60	gexf
4796	cut	cap	first	Small.100.24.5.60.gexf	100	2400	2	1	[22, 22, 22, 22]	22	20	20.0	inf	510	0	0	0	0	[22.0, 20.0]	Small	100	24	5	60	gexf
4797	cut	cap	first	Small.100.24.5.60.gexf	100	2400	3	2	[22, 22, 22, 22]	22	19	19.0	inf	514	0	0	0	0	[22.0, 19.0]	Small	100	24	5	60	gexf
4798	cut	cap	first	Small.100.24.5.60.gexf	100	2400	5	3	[22, 22, 22, 22]	22	17	17.0	inf	517	0	0	0	0	[22.0, 17.0]	Small	100	24	5	60	gexf
4799	cut	cap	first	Small.100.24.5.60.gexf	100	2400	10	4	[22, 22, 22, 22]	22	12	12.0	inf	514	0	0	0	0	[22.0, 12.0]	Small	100	24	5	60	gexf
4801	cut	cap	first	Small.100.6.2.61.gexf	100	600	2	1	[5, 5, 5, 5]	5	3	3.0	inf	1817	0	0	0	0	[5.0, 3.0]	Small	100	6	2	61	gexf
4802	cut	cap	first	Small.100.6.2.61.gexf	100	600	3	2	[5, 5, 5, 5]	5	2	2.0	inf	1823	0	0	0	0	[5.0, 2.0]	Small	100	6	2	61	gexf
4806	cut	cap	first	Small.100.6.5.61.gexf	100	600	2	1	[4, 4, 4, 4]	4	2	2.0	inf	1766	0	0	0	0	[4.0, 2.0]	Small	100	6	5	61	gexf
4807	cut	cap	first	Small.100.6.5.61.gexf	100	600	3	2	[4, 4, 4, 4]	4	1	1.0	inf	1799	0	0	0	0	[4.0, 1.0]	Small	100	6	5	61	gexf
4811	cut	cap	first	Small.100.10.2.61.gexf	100	1000	2	1	[9, 9, 9, 9]	9	7	7.0	inf	1198	0	0	0	0	[9.0, 7.0]	Small	100	10	2	61	gexf
4812	cut	cap	first	Small.100.10.2.61.gexf	100	1000	3	2	[9, 9, 9, 9]	9	6	6.0	inf	1203	0	0	0	0	[9.0, 6.0]	Small	100	10	2	61	gexf
4813	cut	cap	first	Small.100.10.2.61.gexf	100	1000	5	3	[9, 9, 9, 9]	9	4	4.0	inf	1208	0	0	0	0	[9.0, 4.0]	Small	100	10	2	61	gexf
4816	cut	cap	first	Small.100.10.5.61.gexf	100	1000	2	1	[7, 7, 7, 7]	7	5	5.0	inf	1182	0	0	0	0	[7.0, 5.0]	Small	100	10	5	61	gexf
4817	cut	cap	first	Small.100.10.5.61.gexf	100	1000	3	2	[7, 7, 7, 7]	7	4	4.0	inf	1194	0	0	0	0	[7.0, 4.0]	Small	100	10	5	61	gexf
4818	cut	cap	first	Small.100.10.5.61.gexf	100	1000	5	3	[7, 7, 7, 7]	7	2	2.0	inf	1185	0	0	0	0	[7.0, 2.0]	Small	100	10	5	61	gexf
4821	cut	cap	first	Small.100.24.2.61.gexf	100	2400	2	1	[22, 22, 22, 22]	22	20	20.0	inf	513	0	0	0	0	[22.0, 20.0]	Small	100	24	2	61	gexf
4822	cut	cap	first	Small.100.24.2.61.gexf	100	2400	3	2	[22, 22, 22, 22]	22	19	19.0	inf	512	0	0	0	0	[22.0, 19.0]	Small	100	24	2	61	gexf
4823	cut	cap	first	Small.100.24.2.61.gexf	100	2400	5	3	[22, 22, 22, 22]	22	17	17.0	inf	515	0	0	0	0	[22.0, 17.0]	Small	100	24	2	61	gexf
4824	cut	cap	first	Small.100.24.2.61.gexf	100	2400	10	4	[22, 22, 22, 22]	22	12	12.0	inf	521	0	0	0	0	[22.0, 12.0]	Small	100	24	2	61	gexf
4826	cut	cap	first	Small.100.24.5.61.gexf	100	2400	2	1	[19, 19, 19, 19]	19	17	17.0	inf	509	0	0	0	0	[19.0, 17.0]	Small	100	24	5	61	gexf
4827	cut	cap	first	Small.100.24.5.61.gexf	100	2400	3	2	[19, 19, 19, 19]	19	16	16.0	inf	512	0	0	0	0	[19.0, 16.0]	Small	100	24	5	61	gexf
4828	cut	cap	first	Small.100.24.5.61.gexf	100	2400	5	3	[19, 19, 19, 19]	19	14	14.0	inf	517	0	0	0	0	[19.0, 14.0]	Small	100	24	5	61	gexf
4829	cut	cap	first	Small.100.24.5.61.gexf	100	2400	10	4	[19, 19, 19, 19]	19	9	9.0	inf	513	0	0	0	0	[19.0, 9.0]	Small	100	24	5	61	gexf
4831	cut	cap	first	Small.100.6.2.62.gexf	100	600	2	1	[6, 6, 6, 6]	6	4	4.0	inf	1846	0	0	0	0	[6.0, 4.0]	Small	100	6	2	62	gexf
4832	cut	cap	first	Small.100.6.2.62.gexf	100	600	3	2	[6, 6, 6, 6]	6	3	3.0	inf	1852	0	0	0	0	[6.0, 3.0]	Small	100	6	2	62	gexf
4833	cut	cap	first	Small.100.6.2.62.gexf	100	600	5	3	[6, 6, 6, 6]	6	1	1.0	inf	1857	0	0	0	0	[6.0, 1.0]	Small	100	6	2	62	gexf
4836	cut	cap	first	Small.100.6.5.62.gexf	100	600	2	1	[5, 5, 5, 5]	5	3	3.0	inf	1839	0	0	0	0	[5.0, 3.0]	Small	100	6	5	62	gexf
4837	cut	cap	first	Small.100.6.5.62.gexf	100	600	3	2	[5, 5, 5, 5]	5	2	2.0	inf	1842	0	0	0	0	[5.0, 2.0]	Small	100	6	5	62	gexf
4841	cut	cap	first	Small.100.10.2.62.gexf	100	1000	2	1	[9, 9, 9, 9]	9	7	7.0	inf	1187	0	0	0	0	[9.0, 7.0]	Small	100	10	2	62	gexf
4842	cut	cap	first	Small.100.10.2.62.gexf	100	1000	3	2	[9, 9, 9, 9]	9	6	6.0	inf	1180	0	0	0	0	[9.0, 6.0]	Small	100	10	2	62	gexf
4843	cut	cap	first	Small.100.10.2.62.gexf	100	1000	5	3	[9, 9, 9, 9]	9	4	4.0	inf	1196	0	0	0	0	[9.0, 4.0]	Small	100	10	2	62	gexf
4846	cut	cap	first	Small.100.10.5.62.gexf	100	1000	2	1	[10, 10, 10, 10]	10	8	8.0	inf	1195	0	0	0	0	[10.0, 8.0]	Small	100	10	5	62	gexf
4847	cut	cap	first	Small.100.10.5.62.gexf	100	1000	3	2	[10, 10, 10, 10]	10	7	7.0	inf	1196	0	0	0	0	[10.0, 7.0]	Small	100	10	5	62	gexf
4848	cut	cap	first	Small.100.10.5.62.gexf	100	1000	5	3	[10, 10, 10, 10]	10	5	5.0	inf	1202	0	0	0	0	[10.0, 5.0]	Small	100	10	5	62	gexf
4851	cut	cap	first	Small.100.24.2.62.gexf	100	2400	2	1	[23, 23, 23, 23]	23	21	21.0	inf	515	0	0	0	0	[23.0, 21.0]	Small	100	24	2	62	gexf
4852	cut	cap	first	Small.100.24.2.62.gexf	100	2400	3	2	[23, 23, 23, 23]	23	20	20.0	inf	519	0	0	0	0	[23.0, 20.0]	Small	100	24	2	62	gexf
4853	cut	cap	first	Small.100.24.2.62.gexf	100	2400	5	3	[23, 23, 23, 23]	23	18	18.0	inf	518	0	0	0	0	[23.0, 18.0]	Small	100	24	2	62	gexf
4854	cut	cap	first	Small.100.24.2.62.gexf	100	2400	10	4	[23, 23, 23, 23]	23	13	13.0	inf	527	0	0	0	0	[23.0, 13.0]	Small	100	24	2	62	gexf
4856	cut	cap	first	Small.100.24.5.62.gexf	100	2400	2	1	[24, 24, 24, 24]	24	22	22.0	inf	505	0	0	0	0	[24.0, 22.0]	Small	100	24	5	62	gexf
4857	cut	cap	first	Small.100.24.5.62.gexf	100	2400	3	2	[24, 24, 24, 24]	24	21	21.0	inf	508	0	0	0	0	[24.0, 21.0]	Small	100	24	5	62	gexf
4858	cut	cap	first	Small.100.24.5.62.gexf	100	2400	5	3	[24, 24, 24, 24]	24	19	19.0	inf	515	0	0	0	0	[24.0, 19.0]	Small	100	24	5	62	gexf
4859	cut	cap	first	Small.100.24.5.62.gexf	100	2400	10	4	[24, 24, 24, 24]	24	14	14.0	inf	516	0	0	0	0	[24.0, 14.0]	Small	100	24	5	62	gexf
4861	cut	cap	first	Small.100.6.2.63.gexf	100	600	2	1	[5, 5, 5, 5]	5	3	3.0	inf	1854	0	0	0	0	[5.0, 3.0]	Small	100	6	2	63	gexf
4862	cut	cap	first	Small.100.6.2.63.gexf	100	600	3	2	[5, 5, 5, 5]	5	2	2.0	inf	1847	0	0	0	0	[5.0, 2.0]	Small	100	6	2	63	gexf
4866	cut	cap	first	Small.100.6.5.63.gexf	100	600	2	1	[4, 4, 4, 4]	4	2	2.0	inf	1871	0	0	0	0	[4.0, 2.0]	Small	100	6	5	63	gexf
4867	cut	cap	first	Small.100.6.5.63.gexf	100	600	3	2	[4, 4, 4, 4]	4	1	1.0	inf	1896	0	0	0	0	[4.0, 1.0]	Small	100	6	5	63	gexf
4871	cut	cap	first	Small.100.10.2.63.gexf	100	1000	2	1	[11, 11, 11, 11]	11	9	9.0	inf	1207	0	0	0	0	[11.0, 9.0]	Small	100	10	2	63	gexf
4872	cut	cap	first	Small.100.10.2.63.gexf	100	1000	3	2	[11, 11, 11, 11]	11	8	8.0	inf	1204	0	0	0	0	[11.0, 8.0]	Small	100	10	2	63	gexf
4873	cut	cap	first	Small.100.10.2.63.gexf	100	1000	5	3	[11, 11, 11, 11]	11	6	6.0	inf	1211	0	0	0	0	[11.0, 6.0]	Small	100	10	2	63	gexf
4874	cut	cap	first	Small.100.10.2.63.gexf	100	1000	10	4	[11, 11, 11, 11]	11	1	1.0	inf	1221	0	0	0	0	[11.0, 1.0]	Small	100	10	2	63	gexf
4876	cut	cap	first	Small.100.10.5.63.gexf	100	1000	2	1	[6, 6, 6, 6]	6	4	4.0	inf	1200	0	0	0	0	[6.0, 4.0]	Small	100	10	5	63	gexf
4877	cut	cap	first	Small.100.10.5.63.gexf	100	1000	3	2	[6, 6, 6, 6]	6	3	3.0	inf	1201	0	0	0	0	[6.0, 3.0]	Small	100	10	5	63	gexf
4878	cut	cap	first	Small.100.10.5.63.gexf	100	1000	5	3	[6, 6, 6, 6]	6	1	1.0	inf	1214	0	0	0	0	[6.0, 1.0]	Small	100	10	5	63	gexf
4881	cut	cap	first	Small.100.24.2.63.gexf	100	2400	2	1	[23, 23, 23, 23]	23	21	21.0	inf	525	0	0	0	0	[23.0, 21.0]	Small	100	24	2	63	gexf
4882	cut	cap	first	Small.100.24.2.63.gexf	100	2400	3	2	[23, 23, 23, 23]	23	20	20.0	inf	519	0	0	0	0	[23.0, 20.0]	Small	100	24	2	63	gexf
4883	cut	cap	first	Small.100.24.2.63.gexf	100	2400	5	3	[23, 23, 23, 23]	23	18	18.0	inf	521	0	0	0	0	[23.0, 18.0]	Small	100	24	2	63	gexf
4884	cut	cap	first	Small.100.24.2.63.gexf	100	2400	10	4	[23, 23, 23, 23]	23	13	13.0	inf	520	0	0	0	0	[23.0, 13.0]	Small	100	24	2	63	gexf
4886	cut	cap	first	Small.100.24.5.63.gexf	100	2400	2	1	[22, 22, 22, 22]	22	20	20.0	inf	516	0	0	0	0	[22.0, 20.0]	Small	100	24	5	63	gexf
4887	cut	cap	first	Small.100.24.5.63.gexf	100	2400	3	2	[22, 22, 22, 22]	22	19	19.0	inf	511	0	0	0	0	[22.0, 19.0]	Small	100	24	5	63	gexf
4888	cut	cap	first	Small.100.24.5.63.gexf	100	2400	5	3	[22, 22, 22, 22]	22	17	17.0	inf	515	0	0	0	0	[22.0, 17.0]	Small	100	24	5	63	gexf
4889	cut	cap	first	Small.100.24.5.63.gexf	100	2400	10	4	[22, 22, 22, 22]	22	12	12.0	inf	516	0	0	0	0	[22.0, 12.0]	Small	100	24	5	63	gexf
4891	cut	cap	first	Small.100.6.2.64.gexf	100	600	2	1	[5, 5, 5, 5]	5	3	3.0	inf	1877	0	0	0	0	[5.0, 3.0]	Small	100	6	2	64	gexf
4892	cut	cap	first	Small.100.6.2.64.gexf	100	600	3	2	[5, 5, 5, 5]	5	2	2.0	inf	1882	0	0	0	0	[5.0, 2.0]	Small	100	6	2	64	gexf
4896	cut	cap	first	Small.100.6.5.64.gexf	100	600	2	1	[5, 5, 5, 5]	5	3	3.0	inf	1816	0	0	0	0	[5.0, 3.0]	Small	100	6	5	64	gexf
4897	cut	cap	first	Small.100.6.5.64.gexf	100	600	3	2	[5, 5, 5, 5]	5	2	2.0	inf	1814	0	0	0	0	[5.0, 2.0]	Small	100	6	5	64	gexf
4901	cut	cap	first	Small.100.10.2.64.gexf	100	1000	2	1	[10, 10, 10, 10]	10	8	8.0	inf	1183	0	0	0	0	[10.0, 8.0]	Small	100	10	2	64	gexf
4902	cut	cap	first	Small.100.10.2.64.gexf	100	1000	3	2	[10, 10, 10, 10]	10	7	7.0	inf	1161	0	0	0	0	[10.0, 7.0]	Small	100	10	2	64	gexf
4903	cut	cap	first	Small.100.10.2.64.gexf	100	1000	5	3	[10, 10, 10, 10]	10	5	5.0	inf	1159	0	0	0	0	[10.0, 5.0]	Small	100	10	2	64	gexf
4906	cut	cap	first	Small.100.10.5.64.gexf	100	1000	2	1	[9, 9, 9, 9]	9	7	7.0	inf	1152	0	0	0	0	[9.0, 7.0]	Small	100	10	5	64	gexf
4907	cut	cap	first	Small.100.10.5.64.gexf	100	1000	3	2	[9, 9, 9, 9]	9	6	6.0	inf	1167	0	0	0	0	[9.0, 6.0]	Small	100	10	5	64	gexf
4908	cut	cap	first	Small.100.10.5.64.gexf	100	1000	5	3	[9, 9, 9, 9]	9	4	4.0	inf	1168	0	0	0	0	[9.0, 4.0]	Small	100	10	5	64	gexf
