construction.heuristic	flip.fct	step.fct	network.name	n	m	k	k.index	edge.connectivity	initial.max.flow	best.max.flow	first.interdiction.max.flow	best.search.max.flow	delta.cost.calculations	flips	non.improving.flips	tabu.searches.in.k	tabu.searches.in.G	list.of.max.flows	k.0	k.1	neighbour	p	ex	k.5
194	cut	cap	first	Small.50.10.2.7.gexf	50	500	10	4	[11, 11, 11, 11]	11	1	1.0	inf	2435	0	0	0	0	[11.0, 1.0]	Small	50	10	2	7	gexf
196	cut	cap	first	Small.50.10.5.7.gexf	50	500	2	1	[9, 9, 9, 9]	9	7	7.0	inf	2274	0	0	0	0	[9.0, 7.0]	Small	50	10	5	7	gexf
197	cut	cap	first	Small.50.10.5.7.gexf	50	500	3	2	[9, 9, 9, 9]	9	6	6.0	inf	2288	0	0	0	0	[9.0, 6.0]	Small	50	10	5	7	gexf
198	cut	cap	first	Small.50.10.5.7.gexf	50	500	5	3	[9, 9, 9, 9]	9	4	4.0	inf	2329	0	0	0	0	[9.0, 4.0]	Small	50	10	5	7	gexf
201	cut	cap	first	Small.50.24.2.7.gexf	50	1200	2	1	[23, 23, 23, 23]	23	21	21.0	inf	1028	0	0	0	0	[23.0, 21.0]	Small	50	24	2	7	gexf
202	cut	cap	first	Small.50.24.2.7.gexf	50	1200	3	2	[23, 23, 23, 23]	23	20	20.0	inf	1028	0	0	0	0	[23.0, 20.0]	Small	50	24	2	7	gexf
203	cut	cap	first	Small.50.24.2.7.gexf	50	1200	5	3	[23, 23, 23, 23]	23	18	18.0	inf	1020	0	0	0	0	[23.0, 18.0]	Small	50	24	2	7	gexf
204	cut	cap	first	Small.50.24.2.7.gexf	50	1200	10	4	[23, 23, 23, 23]	23	13	13.0	inf	1019	0	0	0	0	[23.0, 13.0]	Small	50	24	2	7	gexf
206	cut	cap	first	Small.50.24.5.7.gexf	50	1200	2	1	[25, 25, 25, 25]	25	23	23.0	inf	1032	0	0	0	0	[25.0, 23.0]	Small	50	24	5	7	gexf
207	cut	cap	first	Small.50.24.5.7.gexf	50	1200	3	2	[25, 25, 25, 25]	25	22	22.0	inf	1039	0	0	0	0	[25.0, 22.0]	Small	50	24	5	7	gexf
208	cut	cap	first	Small.50.24.5.7.gexf	50	1200	5	3	[25, 25, 25, 25]	25	20	20.0	inf	1033	0	0	0	0	[25.0, 20.0]	Small	50	24	5	7	gexf
209	cut	cap	first	Small.50.24.5.7.gexf	50	1200	10	4	[25, 25, 25, 25]	25	15	15.0	inf	1040	0	0	0	0	[25.0, 15.0]	Small	50	24	5	7	gexf
211	cut	cap	first	Small.50.6.2.8.gexf	50	300	2	1	[5, 5, 5, 5]	5	3	3.0	inf	3706	0	0	0	0	[5.0, 3.0]	Small	50	6	2	8	gexf
212	cut	cap	first	Small.50.6.2.8.gexf	50	300	3	2	[5, 5, 5, 5]	5	2	2.0	inf	3739	0	0	0	0	[5.0, 2.0]	Small	50	6	2	8	gexf
216	cut	cap	first	Small.50.6.5.8.gexf	50	300	2	1	[4, 4, 4, 4]	4	2	2.0	inf	3699	0	0	0	0	[4.0, 2.0]	Small	50	6	5	8	gexf
217	cut	cap	first	Small.50.6.5.8.gexf	50	300	3	2	[4, 4, 4, 4]	4	1	1.0	inf	3728	0	0	0	0	[4.0, 1.0]	Small	50	6	5	8	gexf
221	cut	cap	first	Small.50.10.2.8.gexf	50	500	2	1	[11, 11, 11, 11]	11	9	9.0	inf	2348	0	0	0	0	[11.0, 9.0]	Small	50	10	2	8	gexf
222	cut	cap	first	Small.50.10.2.8.gexf	50	500	3	2	[11, 11, 11, 11]	11	8	8.0	inf	2350	0	0	0	0	[11.0, 8.0]	Small	50	10	2	8	gexf
223	cut	cap	first	Small.50.10.2.8.gexf	50	500	5	3	[11, 11, 11, 11]	11	6	6.0	inf	2358	0	0	0	0	[11.0, 6.0]	Small	50	10	2	8	gexf
224	cut	cap	first	Small.50.10.2.8.gexf	50	500	10	4	[11, 11, 11, 11]	11	1	1.0	inf	2427	0	0	0	0	[11.0, 1.0]	Small	50	10	2	8	gexf
226	cut	cap	first	Small.50.10.5.8.gexf	50	500	2	1	[8, 8, 8, 8]	8	6	6.0	inf	2348	0	0	0	0	[8.0, 6.0]	Small	50	10	5	8	gexf
227	cut	cap	first	Small.50.10.5.8.gexf	50	500	3	2	[8, 8, 8, 8]	8	5	5.0	inf	2368	0	0	0	0	[8.0, 5.0]	Small	50	10	5	8	gexf
