path	k	max.multirute.flow	iterations	k.0	n	neighbour	p	ex	k.5	small_1	constant1	small_2	constant2	best.constant	best.alg
211	Small.1000.6.2.2.gexf	2	7	1	Small	1000	6	2	2	gexf	5	1.4	5	1.4	1.4	NA
212	Small.1000.6.2.2.gexf	3	7	1	Small	1000	6	2	2	gexf	4	1.75	4	1.75	1.75	NA
213	Small.1000.6.2.2.gexf	5	7	1	Small	1000	6	2	2	gexf	2	3.5	2	3.5	3.5	NA
216	Small.1000.6.5.2.gexf	2	3	1	Small	1000	6	5	2	gexf	1	3	1	3	3	NA
221	Small.1000.10.2.2.gexf	2	8	1	Small	1000	10	2	2	gexf	6	1.33333333333333	6	1.33333333333333	1.33333333333333	NA
222	Small.1000.10.2.2.gexf	3	8	1	Small	1000	10	2	2	gexf	5	1.6	5	1.6	1.6	NA
223	Small.1000.10.2.2.gexf	5	8	1	Small	1000	10	2	2	gexf	3	2.66666666666667	3	2.66666666666667	2.66666666666667	NA
226	Small.1000.10.5.2.gexf	2	13	1	Small	1000	10	5	2	gexf	11	1.18181818181818	11	1.18181818181818	1.18181818181818	NA
227	Small.1000.10.5.2.gexf	3	13	1	Small	1000	10	5	2	gexf	10	1.3	10	1.3	1.3	NA
228	Small.1000.10.5.2.gexf	5	13	1	Small	1000	10	5	2	gexf	8	1.625	8	1.625	1.625	NA
229	Small.1000.10.5.2.gexf	10	13	1	Small	1000	10	5	2	gexf	3	4.33333333333333	3	4.33333333333333	4.33333333333333	NA
231	Small.1000.24.2.2.gexf	2	22	1	Small	1000	24	2	2	gexf	20	1.1	20	1.1	1.1	NA
232	Small.1000.24.2.2.gexf	3	22	1	Small	1000	24	2	2	gexf	19	1.15789473684211	19	1.15789473684211	1.15789473684211	NA
233	Small.1000.24.2.2.gexf	5	22	1	Small	1000	24	2	2	gexf	17	1.29411764705882	17	1.29411764705882	1.29411764705882	NA
234	Small.1000.24.2.2.gexf	10	22	1	Small	1000	24	2	2	gexf	12	1.83333333333333	12	1.83333333333333	1.83333333333333	NA
236	Small.1000.24.5.2.gexf	2	23	1	Small	1000	24	5	2	gexf	21	1.0952380952381	21	1.0952380952381	1.0952380952381	NA
237	Small.1000.24.5.2.gexf	3	23	1	Small	1000	24	5	2	gexf	20	1.15	20	1.15	1.15	NA
238	Small.1000.24.5.2.gexf	5	23	1	Small	1000	24	5	2	gexf	18	1.27777777777778	18	1.27777777777778	1.27777777777778	NA
239	Small.1000.24.5.2.gexf	10	23	1	Small	1000	24	5	2	gexf	13	1.76923076923077	13	1.76923076923077	1.76923076923077	NA
241	Small.50.6.2.3.gexf	2	7	1	Small	50	6	2	3	gexf	5	1.4	5	1.4	1.4	NA
242	Small.50.6.2.3.gexf	3	7	1	Small	50	6	2	3	gexf	4	1.75	4	1.75	1.75	NA
243	Small.50.6.2.3.gexf	5	7	1	Small	50	6	2	3	gexf	2	3.5	2	3.5	3.5	NA
246	Small.50.6.5.3.gexf	2	5	1	Small	50	6	5	3	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
247	Small.50.6.5.3.gexf	3	5	1	Small	50	6	5	3	gexf	2	2.5	2	2.5	2.5	NA
251	Small.50.10.2.3.gexf	2	10	1	Small	50	10	2	3	gexf	8	1.25	7	1.42857142857143	1.42857142857143	2
252	Small.50.10.2.3.gexf	3	10	1	Small	50	10	2	3	gexf	7	1.42857142857143	7	1.42857142857143	1.42857142857143	NA
253	Small.50.10.2.3.gexf	5	10	1	Small	50	10	2	3	gexf	5	2	5	2	2	NA
256	Small.50.10.5.3.gexf	2	9	1	Small	50	10	5	3	gexf	7	1.28571428571429	7	1.28571428571429	1.28571428571429	NA
257	Small.50.10.5.3.gexf	3	9	1	Small	50	10	5	3	gexf	6	1.5	6	1.5	1.5	NA
258	Small.50.10.5.3.gexf	5	9	1	Small	50	10	5	3	gexf	4	2.25	4	2.25	2.25	NA
261	Small.50.24.2.3.gexf	2	21	1	Small	50	24	2	3	gexf	19	1.10526315789474	19	1.10526315789474	1.10526315789474	NA
262	Small.50.24.2.3.gexf	3	21	1	Small	50	24	2	3	gexf	18	1.16666666666667	18	1.16666666666667	1.16666666666667	NA
263	Small.50.24.2.3.gexf	5	21	1	Small	50	24	2	3	gexf	16	1.3125	16	1.3125	1.3125	NA
264	Small.50.24.2.3.gexf	10	21	1	Small	50	24	2	3	gexf	11	1.90909090909091	11	1.90909090909091	1.90909090909091	NA
266	Small.50.24.5.3.gexf	2	22	1	Small	50	24	5	3	gexf	20	1.1	20	1.1	1.1	NA
267	Small.50.24.5.3.gexf	3	22	1	Small	50	24	5	3	gexf	19	1.15789473684211	19	1.15789473684211	1.15789473684211	NA
268	Small.50.24.5.3.gexf	5	22	1	Small	50	24	5	3	gexf	17	1.29411764705882	17	1.29411764705882	1.29411764705882	NA
269	Small.50.24.5.3.gexf	10	22	1	Small	50	24	5	3	gexf	12	1.83333333333333	12	1.83333333333333	1.83333333333333	NA
271	Small.100.6.2.3.gexf	2	5	1	Small	100	6	2	3	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
272	Small.100.6.2.3.gexf	3	5	1	Small	100	6	2	3	gexf	2	2.5	2	2.5	2.5	NA
276	Small.100.6.5.3.gexf	2	5	1	Small	100	6	5	3	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
277	Small.100.6.5.3.gexf	3	5	1	Small	100	6	5	3	gexf	2	2.5	2	2.5	2.5	NA
281	Small.100.10.2.3.gexf	2	9	1	Small	100	10	2	3	gexf	7	1.28571428571429	7	1.28571428571429	1.28571428571429	NA
282	Small.100.10.2.3.gexf	3	9	1	Small	100	10	2	3	gexf	6	1.5	6	1.5	1.5	NA
283	Small.100.10.2.3.gexf	5	9	1	Small	100	10	2	3	gexf	4	2.25	4	2.25	2.25	NA
286	Small.100.10.5.3.gexf	2	11	1	Small	100	10	5	3	gexf	9	1.22222222222222	9	1.22222222222222	1.22222222222222	NA
287	Small.100.10.5.3.gexf	3	11	1	Small	100	10	5	3	gexf	8	1.375	8	1.375	1.375	NA
288	Small.100.10.5.3.gexf	5	11	1	Small	100	10	5	3	gexf	6	1.83333333333333	6	1.83333333333333	1.83333333333333	NA
289	Small.100.10.5.3.gexf	10	11	1	Small	100	10	5	3	gexf	1	11	1	11	11	NA
291	Small.100.24.2.3.gexf	2	21	1	Small	100	24	2	3	gexf	19	1.10526315789474	19	1.10526315789474	1.10526315789474	NA
292	Small.100.24.2.3.gexf	3	21	1	Small	100	24	2	3	gexf	18	1.16666666666667	18	1.16666666666667	1.16666666666667	NA
293	Small.100.24.2.3.gexf	5	21	1	Small	100	24	2	3	gexf	16	1.3125	16	1.3125	1.3125	NA
294	Small.100.24.2.3.gexf	10	21	1	Small	100	24	2	3	gexf	11	1.90909090909091	11	1.90909090909091	1.90909090909091	NA
296	Small.100.24.5.3.gexf	2	21	1	Small	100	24	5	3	gexf	19	1.10526315789474	19	1.10526315789474	1.10526315789474	NA
297	Small.100.24.5.3.gexf	3	21	1	Small	100	24	5	3	gexf	18	1.16666666666667	18	1.16666666666667	1.16666666666667	NA
298	Small.100.24.5.3.gexf	5	21	1	Small	100	24	5	3	gexf	16	1.3125	16	1.3125	1.3125	NA
299	Small.100.24.5.3.gexf	10	21	1	Small	100	24	5	3	gexf	11	1.90909090909091	11	1.90909090909091	1.90909090909091	NA
301	Small.500.6.2.3.gexf	2	6	1	Small	500	6	2	3	gexf	4	1.5	4	1.5	1.5	NA
302	Small.500.6.2.3.gexf	3	6	1	Small	500	6	2	3	gexf	3	2	3	2	2	NA
303	Small.500.6.2.3.gexf	5	6	1	Small	500	6	2	3	gexf	1	6	1	6	6	NA
306	Small.500.6.5.3.gexf	2	7	1	Small	500	6	5	3	gexf	5	1.4	5	1.4	1.4	NA
307	Small.500.6.5.3.gexf	3	7	1	Small	500	6	5	3	gexf	4	1.75	4	1.75	1.75	NA
308	Small.500.6.5.3.gexf	5	7	1	Small	500	6	5	3	gexf	2	3.5	2	3.5	3.5	NA
311	Small.500.10.2.3.gexf	2	8	1	Small	500	10	2	3	gexf	6	1.33333333333333	6	1.33333333333333	1.33333333333333	NA
312	Small.500.10.2.3.gexf	3	8	1	Small	500	10	2	3	gexf	5	1.6	5	1.6	1.6	NA
313	Small.500.10.2.3.gexf	5	8	1	Small	500	10	2	3	gexf	3	2.66666666666667	3	2.66666666666667	2.66666666666667	NA
316	Small.500.10.5.3.gexf	2	11	1	Small	500	10	5	3	gexf	9	1.22222222222222	9	1.22222222222222	1.22222222222222	NA
317	Small.500.10.5.3.gexf	3	11	1	Small	500	10	5	3	gexf	8	1.375	8	1.375	1.375	NA
318	Small.500.10.5.3.gexf	5	11	1	Small	500	10	5	3	gexf	6	1.83333333333333	6	1.83333333333333	1.83333333333333	NA
319	Small.500.10.5.3.gexf	10	11	1	Small	500	10	5	3	gexf	1	11	1	11	11	NA
321	Small.500.24.2.3.gexf	2	22	1	Small	500	24	2	3	gexf	20	1.1	20	1.1	1.1	NA
322	Small.500.24.2.3.gexf	3	22	1	Small	500	24	2	3	gexf	19	1.15789473684211	19	1.15789473684211	1.15789473684211	NA
323	Small.500.24.2.3.gexf	5	22	1	Small	500	24	2	3	gexf	17	1.29411764705882	17	1.29411764705882	1.29411764705882	NA
324	Small.500.24.2.3.gexf	10	22	1	Small	500	24	2	3	gexf	12	1.83333333333333	12	1.83333333333333	1.83333333333333	NA
326	Small.500.24.5.3.gexf	2	22	1	Small	500	24	5	3	gexf	20	1.1	20	1.1	1.1	NA
327	Small.500.24.5.3.gexf	3	22	1	Small	500	24	5	3	gexf	19	1.15789473684211	19	1.15789473684211	1.15789473684211	NA
328	Small.500.24.5.3.gexf	5	22	1	Small	500	24	5	3	gexf	17	1.29411764705882	17	1.29411764705882	1.29411764705882	NA
329	Small.500.24.5.3.gexf	10	22	1	Small	500	24	5	3	gexf	12	1.83333333333333	12	1.83333333333333	1.83333333333333	NA
331	Small.1000.6.2.3.gexf	2	6	1	Small	1000	6	2	3	gexf	4	1.5	4	1.5	1.5	NA
332	Small.1000.6.2.3.gexf	3	6	1	Small	1000	6	2	3	gexf	3	2	3	2	2	NA
333	Small.1000.6.2.3.gexf	5	6	1	Small	1000	6	2	3	gexf	1	6	1	6	6	NA
336	Small.1000.6.5.3.gexf	2	5	1	Small	1000	6	5	3	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
337	Small.1000.6.5.3.gexf	3	5	1	Small	1000	6	5	3	gexf	2	2.5	2	2.5	2.5	NA
341	Small.1000.10.2.3.gexf	2	8	1	Small	1000	10	2	3	gexf	6	1.33333333333333	6	1.33333333333333	1.33333333333333	NA
342	Small.1000.10.2.3.gexf	3	8	1	Small	1000	10	2	3	gexf	5	1.6	5	1.6	1.6	NA
343	Small.1000.10.2.3.gexf	5	8	1	Small	1000	10	2	3	gexf	3	2.66666666666667	3	2.66666666666667	2.66666666666667	NA
