path	k	max.multirute.flow	iterations	k.0	n	neighbour	p	ex	k.5	small_1	constant1	small_2	constant2	best.constant	best.alg
4887	Small.500.24.5.41.gexf	3	23	1	Small	500	24	5	41	gexf	20	1.15	20	1.15	1.15	NA
4888	Small.500.24.5.41.gexf	5	23	1	Small	500	24	5	41	gexf	18	1.27777777777778	18	1.27777777777778	1.27777777777778	NA
4889	Small.500.24.5.41.gexf	10	23	1	Small	500	24	5	41	gexf	13	1.76923076923077	13	1.76923076923077	1.76923076923077	NA
4891	Small.1000.6.2.41.gexf	2	6	1	Small	1000	6	2	41	gexf	4	1.5	4	1.5	1.5	NA
4892	Small.1000.6.2.41.gexf	3	6	1	Small	1000	6	2	41	gexf	3	2	3	2	2	NA
4893	Small.1000.6.2.41.gexf	5	6	1	Small	1000	6	2	41	gexf	1	6	1	6	6	NA
4896	Small.1000.6.5.41.gexf	2	4	1	Small	1000	6	5	41	gexf	2	2	2	2	2	NA
4897	Small.1000.6.5.41.gexf	3	4	1	Small	1000	6	5	41	gexf	1	4	1	4	4	NA
4901	Small.1000.10.2.41.gexf	2	8	1	Small	1000	10	2	41	gexf	6	1.33333333333333	6	1.33333333333333	1.33333333333333	NA
4902	Small.1000.10.2.41.gexf	3	8	1	Small	1000	10	2	41	gexf	5	1.6	5	1.6	1.6	NA
4903	Small.1000.10.2.41.gexf	5	8	1	Small	1000	10	2	41	gexf	3	2.66666666666667	3	2.66666666666667	2.66666666666667	NA
4906	Small.1000.10.5.41.gexf	2	11	1	Small	1000	10	5	41	gexf	9	1.22222222222222	9	1.22222222222222	1.22222222222222	NA
4907	Small.1000.10.5.41.gexf	3	11	1	Small	1000	10	5	41	gexf	8	1.375	8	1.375	1.375	NA
4908	Small.1000.10.5.41.gexf	5	11	1	Small	1000	10	5	41	gexf	6	1.83333333333333	6	1.83333333333333	1.83333333333333	NA
4909	Small.1000.10.5.41.gexf	10	11	1	Small	1000	10	5	41	gexf	1	11	1	11	11	NA
4911	Small.1000.24.2.41.gexf	2	23	1	Small	1000	24	2	41	gexf	21	1.0952380952381	21	1.0952380952381	1.0952380952381	NA
4912	Small.1000.24.2.41.gexf	3	23	1	Small	1000	24	2	41	gexf	20	1.15	20	1.15	1.15	NA
4913	Small.1000.24.2.41.gexf	5	23	1	Small	1000	24	2	41	gexf	18	1.27777777777778	18	1.27777777777778	1.27777777777778	NA
4914	Small.1000.24.2.41.gexf	10	23	1	Small	1000	24	2	41	gexf	13	1.76923076923077	13	1.76923076923077	1.76923076923077	NA
4916	Small.1000.24.5.41.gexf	2	27	1	Small	1000	24	5	41	gexf	25	1.08	25	1.08	1.08	NA
4917	Small.1000.24.5.41.gexf	3	27	1	Small	1000	24	5	41	gexf	24	1.125	24	1.125	1.125	NA
4918	Small.1000.24.5.41.gexf	5	27	1	Small	1000	24	5	41	gexf	22	1.22727272727273	22	1.22727272727273	1.22727272727273	NA
4919	Small.1000.24.5.41.gexf	10	27	1	Small	1000	24	5	41	gexf	17	1.58823529411765	17	1.58823529411765	1.58823529411765	NA
4921	Small.50.6.2.42.gexf	2	6	1	Small	50	6	2	42	gexf	4	1.5	4	1.5	1.5	NA
4922	Small.50.6.2.42.gexf	3	6	1	Small	50	6	2	42	gexf	3	2	3	2	2	NA
4923	Small.50.6.2.42.gexf	5	6	1	Small	50	6	2	42	gexf	1	6	1	6	6	NA
4926	Small.50.6.5.42.gexf	2	6	1	Small	50	6	5	42	gexf	4	1.5	4	1.5	1.5	NA
4927	Small.50.6.5.42.gexf	3	6	1	Small	50	6	5	42	gexf	3	2	3	2	2	NA
4928	Small.50.6.5.42.gexf	5	6	1	Small	50	6	5	42	gexf	1	6	1	6	6	NA
4931	Small.50.10.2.42.gexf	2	9	1	Small	50	10	2	42	gexf	7	1.28571428571429	7	1.28571428571429	1.28571428571429	NA
4932	Small.50.10.2.42.gexf	3	9	1	Small	50	10	2	42	gexf	6	1.5	6	1.5	1.5	NA
4933	Small.50.10.2.42.gexf	5	9	1	Small	50	10	2	42	gexf	4	2.25	4	2.25	2.25	NA
4936	Small.50.10.5.42.gexf	2	11	1	Small	50	10	5	42	gexf	9	1.22222222222222	9	1.22222222222222	1.22222222222222	NA
4937	Small.50.10.5.42.gexf	3	11	1	Small	50	10	5	42	gexf	8	1.375	8	1.375	1.375	NA
4938	Small.50.10.5.42.gexf	5	11	1	Small	50	10	5	42	gexf	6	1.83333333333333	6	1.83333333333333	1.83333333333333	NA
4939	Small.50.10.5.42.gexf	10	11	1	Small	50	10	5	42	gexf	1	11	1	11	11	NA
4941	Small.50.24.2.42.gexf	2	26	1	Small	50	24	2	42	gexf	24	1.08333333333333	24	1.08333333333333	1.08333333333333	NA
4942	Small.50.24.2.42.gexf	3	26	1	Small	50	24	2	42	gexf	23	1.1304347826087	23	1.1304347826087	1.1304347826087	NA
4943	Small.50.24.2.42.gexf	5	26	1	Small	50	24	2	42	gexf	21	1.23809523809524	21	1.23809523809524	1.23809523809524	NA
4944	Small.50.24.2.42.gexf	10	26	1	Small	50	24	2	42	gexf	16	1.625	16	1.625	1.625	NA
4946	Small.50.24.5.42.gexf	2	18	1	Small	50	24	5	42	gexf	16	1.125	16	1.125	1.125	NA
4947	Small.50.24.5.42.gexf	3	18	1	Small	50	24	5	42	gexf	15	1.2	15	1.2	1.2	NA
4948	Small.50.24.5.42.gexf	5	18	1	Small	50	24	5	42	gexf	13	1.38461538461538	13	1.38461538461538	1.38461538461538	NA
4949	Small.50.24.5.42.gexf	10	18	1	Small	50	24	5	42	gexf	8	2.25	8	2.25	2.25	NA
4951	Small.100.6.2.42.gexf	2	5	1	Small	100	6	2	42	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
4952	Small.100.6.2.42.gexf	3	5	1	Small	100	6	2	42	gexf	2	2.5	2	2.5	2.5	NA
4956	Small.100.6.5.42.gexf	2	6	1	Small	100	6	5	42	gexf	4	1.5	4	1.5	1.5	NA
4957	Small.100.6.5.42.gexf	3	6	1	Small	100	6	5	42	gexf	3	2	3	2	2	NA
4958	Small.100.6.5.42.gexf	5	6	1	Small	100	6	5	42	gexf	1	6	1	6	6	NA
4961	Small.100.10.2.42.gexf	2	8	1	Small	100	10	2	42	gexf	6	1.33333333333333	6	1.33333333333333	1.33333333333333	NA
4962	Small.100.10.2.42.gexf	3	8	1	Small	100	10	2	42	gexf	5	1.6	5	1.6	1.6	NA
4963	Small.100.10.2.42.gexf	5	8	1	Small	100	10	2	42	gexf	3	2.66666666666667	3	2.66666666666667	2.66666666666667	NA
4966	Small.100.10.5.42.gexf	2	8	1	Small	100	10	5	42	gexf	6	1.33333333333333	6	1.33333333333333	1.33333333333333	NA
4967	Small.100.10.5.42.gexf	3	8	1	Small	100	10	5	42	gexf	5	1.6	5	1.6	1.6	NA
4968	Small.100.10.5.42.gexf	5	8	1	Small	100	10	5	42	gexf	3	2.66666666666667	3	2.66666666666667	2.66666666666667	NA
4971	Small.100.24.2.42.gexf	2	21	1	Small	100	24	2	42	gexf	19	1.10526315789474	19	1.10526315789474	1.10526315789474	NA
4972	Small.100.24.2.42.gexf	3	21	1	Small	100	24	2	42	gexf	18	1.16666666666667	18	1.16666666666667	1.16666666666667	NA
4973	Small.100.24.2.42.gexf	5	21	1	Small	100	24	2	42	gexf	16	1.3125	16	1.3125	1.3125	NA
4974	Small.100.24.2.42.gexf	10	21	1	Small	100	24	2	42	gexf	11	1.90909090909091	11	1.90909090909091	1.90909090909091	NA
4976	Small.100.24.5.42.gexf	2	22	1	Small	100	24	5	42	gexf	20	1.1	20	1.1	1.1	NA
4977	Small.100.24.5.42.gexf	3	22	1	Small	100	24	5	42	gexf	19	1.15789473684211	19	1.15789473684211	1.15789473684211	NA
4978	Small.100.24.5.42.gexf	5	22	1	Small	100	24	5	42	gexf	17	1.29411764705882	17	1.29411764705882	1.29411764705882	NA
4979	Small.100.24.5.42.gexf	10	22	1	Small	100	24	5	42	gexf	12	1.83333333333333	12	1.83333333333333	1.83333333333333	NA
4981	Small.500.6.2.42.gexf	2	6	1	Small	500	6	2	42	gexf	4	1.5	4	1.5	1.5	NA
4982	Small.500.6.2.42.gexf	3	6	1	Small	500	6	2	42	gexf	3	2	3	2	2	NA
4983	Small.500.6.2.42.gexf	5	6	1	Small	500	6	2	42	gexf	1	6	1	6	6	NA
4986	Small.500.6.5.42.gexf	2	5	1	Small	500	6	5	42	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
4987	Small.500.6.5.42.gexf	3	5	1	Small	500	6	5	42	gexf	2	2.5	2	2.5	2.5	NA
4991	Small.500.10.2.42.gexf	2	10	1	Small	500	10	2	42	gexf	8	1.25	8	1.25	1.25	NA
4992	Small.500.10.2.42.gexf	3	10	1	Small	500	10	2	42	gexf	7	1.42857142857143	7	1.42857142857143	1.42857142857143	NA
4993	Small.500.10.2.42.gexf	5	10	1	Small	500	10	2	42	gexf	5	2	5	2	2	NA
4996	Small.500.10.5.42.gexf	2	11	1	Small	500	10	5	42	gexf	9	1.22222222222222	9	1.22222222222222	1.22222222222222	NA
4997	Small.500.10.5.42.gexf	3	11	1	Small	500	10	5	42	gexf	8	1.375	8	1.375	1.375	NA
4998	Small.500.10.5.42.gexf	5	11	1	Small	500	10	5	42	gexf	6	1.83333333333333	6	1.83333333333333	1.83333333333333	NA
4999	Small.500.10.5.42.gexf	10	11	1	Small	500	10	5	42	gexf	1	11	1	11	11	NA
5001	Small.500.24.2.42.gexf	2	22	1	Small	500	24	2	42	gexf	20	1.1	20	1.1	1.1	NA
5002	Small.500.24.2.42.gexf	3	22	1	Small	500	24	2	42	gexf	19	1.15789473684211	19	1.15789473684211	1.15789473684211	NA
5003	Small.500.24.2.42.gexf	5	22	1	Small	500	24	2	42	gexf	17	1.29411764705882	17	1.29411764705882	1.29411764705882	NA
5004	Small.500.24.2.42.gexf	10	22	1	Small	500	24	2	42	gexf	12	1.83333333333333	12	1.83333333333333	1.83333333333333	NA
5006	Small.500.24.5.42.gexf	2	24	1	Small	500	24	5	42	gexf	22	1.09090909090909	22	1.09090909090909	1.09090909090909	NA
5007	Small.500.24.5.42.gexf	3	24	1	Small	500	24	5	42	gexf	21	1.14285714285714	21	1.14285714285714	1.14285714285714	NA
5008	Small.500.24.5.42.gexf	5	24	1	Small	500	24	5	42	gexf	19	1.26315789473684	19	1.26315789473684	1.26315789473684	NA
5009	Small.500.24.5.42.gexf	10	24	1	Small	500	24	5	42	gexf	14	1.71428571428571	14	1.71428571428571	1.71428571428571	NA
5011	Small.1000.6.2.42.gexf	2	5	1	Small	1000	6	2	42	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
5012	Small.1000.6.2.42.gexf	3	5	1	Small	1000	6	2	42	gexf	2	2.5	2	2.5	2.5	NA
5016	Small.1000.6.5.42.gexf	2	5	1	Small	1000	6	5	42	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
5017	Small.1000.6.5.42.gexf	3	5	1	Small	1000	6	5	42	gexf	2	2.5	2	2.5	2.5	NA
5021	Small.1000.10.2.42.gexf	2	9	1	Small	1000	10	2	42	gexf	7	1.28571428571429	7	1.28571428571429	1.28571428571429	NA
5022	Small.1000.10.2.42.gexf	3	9	1	Small	1000	10	2	42	gexf	6	1.5	6	1.5	1.5	NA
5023	Small.1000.10.2.42.gexf	5	9	1	Small	1000	10	2	42	gexf	4	2.25	4	2.25	2.25	NA
5026	Small.1000.10.5.42.gexf	2	7	1	Small	1000	10	5	42	gexf	5	1.4	5	1.4	1.4	NA
5027	Small.1000.10.5.42.gexf	3	7	1	Small	1000	10	5	42	gexf	4	1.75	4	1.75	1.75	NA
5028	Small.1000.10.5.42.gexf	5	7	1	Small	1000	10	5	42	gexf	2	3.5	2	3.5	3.5	NA
5031	Small.1000.24.2.42.gexf	2	25	1	Small	1000	24	2	42	gexf	23	1.08695652173913	23	1.08695652173913	1.08695652173913	NA
5032	Small.1000.24.2.42.gexf	3	25	1	Small	1000	24	2	42	gexf	22	1.13636363636364	22	1.13636363636364	1.13636363636364	NA
5033	Small.1000.24.2.42.gexf	5	25	1	Small	1000	24	2	42	gexf	20	1.25	20	1.25	1.25	NA
5034	Small.1000.24.2.42.gexf	10	25	2	Small	1000	24	2	42	gexf	15	1.66666666666667	15	1.66666666666667	1.66666666666667	NA
5036	Small.1000.24.5.42.gexf	2	24	1	Small	1000	24	5	42	gexf	22	1.09090909090909	22	1.09090909090909	1.09090909090909	NA
5037	Small.1000.24.5.42.gexf	3	24	1	Small	1000	24	5	42	gexf	21	1.14285714285714	21	1.14285714285714	1.14285714285714	NA
5038	Small.1000.24.5.42.gexf	5	24	1	Small	1000	24	5	42	gexf	19	1.26315789473684	19	1.26315789473684	1.26315789473684	NA
5039	Small.1000.24.5.42.gexf	10	24	1	Small	1000	24	5	42	gexf	14	1.71428571428571	14	1.71428571428571	1.71428571428571	NA
5041	Small.50.6.2.43.gexf	2	4	1	Small	50	6	2	43	gexf	2	2	2	2	2	NA
5042	Small.50.6.2.43.gexf	3	4	1	Small	50	6	2	43	gexf	1	4	1	4	4	NA
5046	Small.50.6.5.43.gexf	2	4	1	Small	50	6	5	43	gexf	2	2	2	2	2	NA
5047	Small.50.6.5.43.gexf	3	4	1	Small	50	6	5	43	gexf	1	4	1	4	4	NA
5051	Small.50.10.2.43.gexf	2	10	1	Small	50	10	2	43	gexf	8	1.25	8	1.25	1.25	NA
5052	Small.50.10.2.43.gexf	3	10	1	Small	50	10	2	43	gexf	7	1.42857142857143	7	1.42857142857143	1.42857142857143	NA
5053	Small.50.10.2.43.gexf	5	10	1	Small	50	10	2	43	gexf	5	2	5	2	2	NA
5056	Small.50.10.5.43.gexf	2	10	1	Small	50	10	5	43	gexf	8	1.25	8	1.25	1.25	NA
5057	Small.50.10.5.43.gexf	3	10	1	Small	50	10	5	43	gexf	7	1.42857142857143	7	1.42857142857143	1.42857142857143	NA
5058	Small.50.10.5.43.gexf	5	10	1	Small	50	10	5	43	gexf	5	2	5	2	2	NA
5061	Small.50.24.2.43.gexf	2	26	1	Small	50	24	2	43	gexf	24	1.08333333333333	24	1.08333333333333	1.08333333333333	NA
5062	Small.50.24.2.43.gexf	3	26	1	Small	50	24	2	43	gexf	23	1.1304347826087	23	1.1304347826087	1.1304347826087	NA
5063	Small.50.24.2.43.gexf	5	26	1	Small	50	24	2	43	gexf	21	1.23809523809524	21	1.23809523809524	1.23809523809524	NA
5064	Small.50.24.2.43.gexf	10	26	1	Small	50	24	2	43	gexf	16	1.625	16	1.625	1.625	NA
5066	Small.50.24.5.43.gexf	2	25	1	Small	50	24	5	43	gexf	23	1.08695652173913	23	1.08695652173913	1.08695652173913	NA
5067	Small.50.24.5.43.gexf	3	25	1	Small	50	24	5	43	gexf	22	1.13636363636364	22	1.13636363636364	1.13636363636364	NA
5068	Small.50.24.5.43.gexf	5	25	1	Small	50	24	5	43	gexf	20	1.25	20	1.25	1.25	NA
5069	Small.50.24.5.43.gexf	10	25	2	Small	50	24	5	43	gexf	15	1.66666666666667	15	1.66666666666667	1.66666666666667	NA
5071	Small.100.6.2.43.gexf	2	5	1	Small	100	6	2	43	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
5072	Small.100.6.2.43.gexf	3	5	1	Small	100	6	2	43	gexf	2	2.5	2	2.5	2.5	NA
5076	Small.100.6.5.43.gexf	2	6	1	Small	100	6	5	43	gexf	4	1.5	4	1.5	1.5	NA
5077	Small.100.6.5.43.gexf	3	6	1	Small	100	6	5	43	gexf	3	2	3	2	2	NA
5078	Small.100.6.5.43.gexf	5	6	1	Small	100	6	5	43	gexf	1	6	1	6	6	NA
5081	Small.100.10.2.43.gexf	2	9	1	Small	100	10	2	43	gexf	7	1.28571428571429	7	1.28571428571429	1.28571428571429	NA
5082	Small.100.10.2.43.gexf	3	9	1	Small	100	10	2	43	gexf	6	1.5	6	1.5	1.5	NA
5083	Small.100.10.2.43.gexf	5	9	1	Small	100	10	2	43	gexf	4	2.25	4	2.25	2.25	NA
5086	Small.100.10.5.43.gexf	2	10	1	Small	100	10	5	43	gexf	8	1.25	8	1.25	1.25	NA
5087	Small.100.10.5.43.gexf	3	10	1	Small	100	10	5	43	gexf	7	1.42857142857143	7	1.42857142857143	1.42857142857143	NA
5088	Small.100.10.5.43.gexf	5	10	1	Small	100	10	5	43	gexf	5	2	5	2	2	NA
5091	Small.100.24.2.43.gexf	2	21	1	Small	100	24	2	43	gexf	19	1.10526315789474	19	1.10526315789474	1.10526315789474	NA
5092	Small.100.24.2.43.gexf	3	21	1	Small	100	24	2	43	gexf	18	1.16666666666667	18	1.16666666666667	1.16666666666667	NA
5093	Small.100.24.2.43.gexf	5	21	1	Small	100	24	2	43	gexf	16	1.3125	16	1.3125	1.3125	NA
5094	Small.100.24.2.43.gexf	10	21	1	Small	100	24	2	43	gexf	11	1.90909090909091	11	1.90909090909091	1.90909090909091	NA
5096	Small.100.24.5.43.gexf	2	25	1	Small	100	24	5	43	gexf	23	1.08695652173913	23	1.08695652173913	1.08695652173913	NA
5097	Small.100.24.5.43.gexf	3	25	1	Small	100	24	5	43	gexf	22	1.13636363636364	22	1.13636363636364	1.13636363636364	NA
5098	Small.100.24.5.43.gexf	5	25	1	Small	100	24	5	43	gexf	20	1.25	20	1.25	1.25	NA
5099	Small.100.24.5.43.gexf	10	25	2	Small	100	24	5	43	gexf	15	1.66666666666667	15	1.66666666666667	1.66666666666667	NA
5101	Small.500.6.2.43.gexf	2	6	1	Small	500	6	2	43	gexf	4	1.5	4	1.5	1.5	NA
5102	Small.500.6.2.43.gexf	3	6	1	Small	500	6	2	43	gexf	3	2	3	2	2	NA
5103	Small.500.6.2.43.gexf	5	6	1	Small	500	6	2	43	gexf	1	6	1	6	6	NA
5106	Small.500.6.5.43.gexf	2	5	1	Small	500	6	5	43	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
5107	Small.500.6.5.43.gexf	3	5	1	Small	500	6	5	43	gexf	2	2.5	2	2.5	2.5	NA
5111	Small.500.10.2.43.gexf	2	9	1	Small	500	10	2	43	gexf	7	1.28571428571429	7	1.28571428571429	1.28571428571429	NA
5112	Small.500.10.2.43.gexf	3	9	1	Small	500	10	2	43	gexf	6	1.5	6	1.5	1.5	NA
5113	Small.500.10.2.43.gexf	5	9	1	Small	500	10	2	43	gexf	4	2.25	4	2.25	2.25	NA
5116	Small.500.10.5.43.gexf	2	7	1	Small	500	10	5	43	gexf	5	1.4	5	1.4	1.4	NA
5117	Small.500.10.5.43.gexf	3	7	1	Small	500	10	5	43	gexf	4	1.75	4	1.75	1.75	NA
5118	Small.500.10.5.43.gexf	5	7	1	Small	500	10	5	43	gexf	2	3.5	2	3.5	3.5	NA
5121	Small.500.24.2.43.gexf	2	23	1	Small	500	24	2	43	gexf	21	1.0952380952381	21	1.0952380952381	1.0952380952381	NA
5122	Small.500.24.2.43.gexf	3	23	1	Small	500	24	2	43	gexf	20	1.15	20	1.15	1.15	NA
5123	Small.500.24.2.43.gexf	5	23	1	Small	500	24	2	43	gexf	18	1.27777777777778	18	1.27777777777778	1.27777777777778	NA
5124	Small.500.24.2.43.gexf	10	23	1	Small	500	24	2	43	gexf	13	1.76923076923077	13	1.76923076923077	1.76923076923077	NA
5126	Small.500.24.5.43.gexf	2	23	1	Small	500	24	5	43	gexf	21	1.0952380952381	21	1.0952380952381	1.0952380952381	NA
5127	Small.500.24.5.43.gexf	3	23	1	Small	500	24	5	43	gexf	20	1.15	20	1.15	1.15	NA
5128	Small.500.24.5.43.gexf	5	23	1	Small	500	24	5	43	gexf	18	1.27777777777778	18	1.27777777777778	1.27777777777778	NA
5129	Small.500.24.5.43.gexf	10	23	1	Small	500	24	5	43	gexf	13	1.76923076923077	13	1.76923076923077	1.76923076923077	NA
5131	Small.1000.6.2.43.gexf	2	5	1	Small	1000	6	2	43	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
5132	Small.1000.6.2.43.gexf	3	5	1	Small	1000	6	2	43	gexf	2	2.5	2	2.5	2.5	NA
5136	Small.1000.6.5.43.gexf	2	6	1	Small	1000	6	5	43	gexf	4	1.5	4	1.5	1.5	NA
5137	Small.1000.6.5.43.gexf	3	6	1	Small	1000	6	5	43	gexf	3	2	3	2	2	NA
5138	Small.1000.6.5.43.gexf	5	6	1	Small	1000	6	5	43	gexf	1	6	1	6	6	NA
5141	Small.1000.10.2.43.gexf	2	10	1	Small	1000	10	2	43	gexf	8	1.25	8	1.25	1.25	NA
5142	Small.1000.10.2.43.gexf	3	10	1	Small	1000	10	2	43	gexf	7	1.42857142857143	7	1.42857142857143	1.42857142857143	NA
5143	Small.1000.10.2.43.gexf	5	10	1	Small	1000	10	2	43	gexf	5	2	5	2	2	NA
5146	Small.1000.10.5.43.gexf	2	11	1	Small	1000	10	5	43	gexf	9	1.22222222222222	9	1.22222222222222	1.22222222222222	NA
5147	Small.1000.10.5.43.gexf	3	11	1	Small	1000	10	5	43	gexf	8	1.375	8	1.375	1.375	NA
5148	Small.1000.10.5.43.gexf	5	11	1	Small	1000	10	5	43	gexf	6	1.83333333333333	6	1.83333333333333	1.83333333333333	NA
5149	Small.1000.10.5.43.gexf	10	11	1	Small	1000	10	5	43	gexf	1	11	1	11	11	NA
5151	Small.1000.24.2.43.gexf	2	24	1	Small	1000	24	2	43	gexf	22	1.09090909090909	22	1.09090909090909	1.09090909090909	NA
5152	Small.1000.24.2.43.gexf	3	24	1	Small	1000	24	2	43	gexf	21	1.14285714285714	21	1.14285714285714	1.14285714285714	NA
5153	Small.1000.24.2.43.gexf	5	24	1	Small	1000	24	2	43	gexf	19	1.26315789473684	19	1.26315789473684	1.26315789473684	NA
5154	Small.1000.24.2.43.gexf	10	24	1	Small	1000	24	2	43	gexf	14	1.71428571428571	14	1.71428571428571	1.71428571428571	NA
5156	Small.1000.24.5.43.gexf	2	17	1	Small	1000	24	5	43	gexf	15	1.13333333333333	15	1.13333333333333	1.13333333333333	NA
5157	Small.1000.24.5.43.gexf	3	17	1	Small	1000	24	5	43	gexf	14	1.21428571428571	14	1.21428571428571	1.21428571428571	NA
5158	Small.1000.24.5.43.gexf	5	17	1	Small	1000	24	5	43	gexf	12	1.41666666666667	12	1.41666666666667	1.41666666666667	NA
5159	Small.1000.24.5.43.gexf	10	17	1	Small	1000	24	5	43	gexf	7	2.42857142857143	7	2.42857142857143	2.42857142857143	NA
5161	Small.50.6.2.44.gexf	2	4	1	Small	50	6	2	44	gexf	2	2	2	2	2	NA
5162	Small.50.6.2.44.gexf	3	4	1	Small	50	6	2	44	gexf	1	4	1	4	4	NA
5166	Small.50.6.5.44.gexf	2	4	1	Small	50	6	5	44	gexf	2	2	2	2	2	NA
5167	Small.50.6.5.44.gexf	3	4	1	Small	50	6	5	44	gexf	1	4	1	4	4	NA
5171	Small.50.10.2.44.gexf	2	9	1	Small	50	10	2	44	gexf	7	1.28571428571429	7	1.28571428571429	1.28571428571429	NA
5172	Small.50.10.2.44.gexf	3	9	1	Small	50	10	2	44	gexf	6	1.5	6	1.5	1.5	NA
5173	Small.50.10.2.44.gexf	5	9	1	Small	50	10	2	44	gexf	4	2.25	4	2.25	2.25	NA
5176	Small.50.10.5.44.gexf	2	7	1	Small	50	10	5	44	gexf	5	1.4	5	1.4	1.4	NA
5177	Small.50.10.5.44.gexf	3	7	1	Small	50	10	5	44	gexf	4	1.75	4	1.75	1.75	NA
5178	Small.50.10.5.44.gexf	5	7	1	Small	50	10	5	44	gexf	2	3.5	2	3.5	3.5	NA
5181	Small.50.24.2.44.gexf	2	20	1	Small	50	24	2	44	gexf	18	1.11111111111111	18	1.11111111111111	1.11111111111111	NA
5182	Small.50.24.2.44.gexf	3	20	1	Small	50	24	2	44	gexf	17	1.17647058823529	17	1.17647058823529	1.17647058823529	NA
5183	Small.50.24.2.44.gexf	5	20	1	Small	50	24	2	44	gexf	15	1.33333333333333	15	1.33333333333333	1.33333333333333	NA
5184	Small.50.24.2.44.gexf	10	20	1	Small	50	24	2	44	gexf	10	2	10	2	2	NA
5186	Small.50.24.5.44.gexf	2	21	1	Small	50	24	5	44	gexf	19	1.10526315789474	19	1.10526315789474	1.10526315789474	NA
5187	Small.50.24.5.44.gexf	3	21	1	Small	50	24	5	44	gexf	18	1.16666666666667	18	1.16666666666667	1.16666666666667	NA
5188	Small.50.24.5.44.gexf	5	21	1	Small	50	24	5	44	gexf	16	1.3125	16	1.3125	1.3125	NA
5189	Small.50.24.5.44.gexf	10	21	1	Small	50	24	5	44	gexf	11	1.90909090909091	11	1.90909090909091	1.90909090909091	NA
5191	Small.100.6.2.44.gexf	2	5	1	Small	100	6	2	44	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
5192	Small.100.6.2.44.gexf	3	5	1	Small	100	6	2	44	gexf	2	2.5	2	2.5	2.5	NA
5196	Small.100.6.5.44.gexf	2	4	1	Small	100	6	5	44	gexf	2	2	2	2	2	NA
5197	Small.100.6.5.44.gexf	3	4	1	Small	100	6	5	44	gexf	1	4	1	4	4	NA
5201	Small.100.10.2.44.gexf	2	9	1	Small	100	10	2	44	gexf	7	1.28571428571429	7	1.28571428571429	1.28571428571429	NA
5202	Small.100.10.2.44.gexf	3	9	1	Small	100	10	2	44	gexf	6	1.5	6	1.5	1.5	NA
5203	Small.100.10.2.44.gexf	5	9	1	Small	100	10	2	44	gexf	4	2.25	4	2.25	2.25	NA
5206	Small.100.10.5.44.gexf	2	8	1	Small	100	10	5	44	gexf	6	1.33333333333333	6	1.33333333333333	1.33333333333333	NA
5207	Small.100.10.5.44.gexf	3	8	1	Small	100	10	5	44	gexf	5	1.6	5	1.6	1.6	NA
5208	Small.100.10.5.44.gexf	5	8	1	Small	100	10	5	44	gexf	3	2.66666666666667	3	2.66666666666667	2.66666666666667	NA
5211	Small.100.24.2.44.gexf	2	24	1	Small	100	24	2	44	gexf	22	1.09090909090909	22	1.09090909090909	1.09090909090909	NA
5212	Small.100.24.2.44.gexf	3	24	1	Small	100	24	2	44	gexf	21	1.14285714285714	21	1.14285714285714	1.14285714285714	NA
5213	Small.100.24.2.44.gexf	5	24	1	Small	100	24	2	44	gexf	19	1.26315789473684	19	1.26315789473684	1.26315789473684	NA
5214	Small.100.24.2.44.gexf	10	24	1	Small	100	24	2	44	gexf	14	1.71428571428571	14	1.71428571428571	1.71428571428571	NA
5216	Small.100.24.5.44.gexf	2	22	1	Small	100	24	5	44	gexf	20	1.1	20	1.1	1.1	NA
5217	Small.100.24.5.44.gexf	3	22	1	Small	100	24	5	44	gexf	19	1.15789473684211	19	1.15789473684211	1.15789473684211	NA
5218	Small.100.24.5.44.gexf	5	22	1	Small	100	24	5	44	gexf	17	1.29411764705882	17	1.29411764705882	1.29411764705882	NA
5219	Small.100.24.5.44.gexf	10	22	1	Small	100	24	5	44	gexf	12	1.83333333333333	12	1.83333333333333	1.83333333333333	NA
5221	Small.500.6.2.44.gexf	2	5	1	Small	500	6	2	44	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
5222	Small.500.6.2.44.gexf	3	5	1	Small	500	6	2	44	gexf	2	2.5	2	2.5	2.5	NA
5226	Small.500.6.5.44.gexf	2	5	1	Small	500	6	5	44	gexf	3	1.66666666666667	3	1.66666666666667	1.66666666666667	NA
5227	Small.500.6.5.44.gexf	3	5	1	Small	500	6	5	44	gexf	2	2.5	2	2.5	2.5	NA
5231	Small.500.10.2.44.gexf	2	10	1	Small	500	10	2	44	gexf	8	1.25	8	1.25	1.25	NA
5232	Small.500.10.2.44.gexf	3	10	1	Small	500	10	2	44	gexf	7	1.42857142857143	7	1.42857142857143	1.42857142857143	NA
