construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows,k:0,k:1,k:2,k:3,k:4,k:5
cut,cap,first,Rand.Uni.500.10.4.gexf,500,5000,10,4,"[11, 11, 11, 11]",5.8009201176217875,0.029076231645098205,0.029076231645098205,inf,209,0,0,0,0,"[5.8009201176217875, 0.029076231645098205]",Rand,Uni,500,10,4,gexf
cut,cap,first,Rand.Uni.500.10.4.gexf,500,F,50,5,"[11, 11, 11, 11]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,500,10,4,gexf
cut,cap,first,Rand.Uni.500.25.4.gexf,500,12500,2,1,"[51, 51, 51, 51]",24.114593269655785,22.14905782638905,22.14905782638905,inf,24,0,0,0,0,"[24.114593269655785, 22.14905782638905]",Rand,Uni,500,25,4,gexf
cut,cap,first,Rand.Uni.500.25.4.gexf,500,12500,3,2,"[51, 51, 51, 51]",24.114593269655785,21.188502624488002,21.188502624488002,inf,51,0,0,0,0,"[24.114593269655785, 21.188502624488002]",Rand,Uni,500,25,4,gexf
cut,cap,first,Rand.Uni.500.25.4.gexf,500,12500,5,3,"[51, 51, 51, 51]",24.114593269655785,19.30351659649407,19.30351659649407,inf,37,0,0,0,0,"[24.114593269655785, 19.30351659649407]",Rand,Uni,500,25,4,gexf
cut,cap,first,Rand.Uni.500.25.4.gexf,500,12500,10,4,"[51, 51, 51, 51]",24.114593269655785,15.011308474628978,15.011308474628978,inf,83,0,0,0,0,"[24.114593269655785, 15.011308474628978]",Rand,Uni,500,25,4,gexf
cut,cap,first,Rand.Uni.500.25.4.gexf,500,12500,50,5,"[51, 51, 51, 51]",24.114593269655785,0.007976936219829533,0.007976936219829533,inf,84,0,0,0,0,"[24.114593269655785, 0.007976936219829533]",Rand,Uni,500,25,4,gexf
cut,cap,first,Rand.Uni.500.5.5.gexf,500,2500,2,1,"[10, 10, 10, 10]",4.694805328280077,2.8456728754543024,2.8456728754543024,inf,50,0,0,0,0,"[4.694805328280077, 2.8456728754543024]",Rand,Uni,500,5,5,gexf
cut,cap,first,Rand.Uni.500.5.5.gexf,500,2500,3,2,"[10, 10, 10, 10]",4.694805328280077,2.099189082027167,2.099189082027167,inf,67,0,0,0,0,"[4.694805328280077, 2.099189082027167]",Rand,Uni,500,5,5,gexf
cut,cap,first,Rand.Uni.500.5.5.gexf,500,2500,5,3,"[10, 10, 10, 10]",4.694805328280077,1.01613075108434,1.01613075108434,inf,232,0,0,0,0,"[4.694805328280077, 1.01613075108434]",Rand,Uni,500,5,5,gexf
cut,cap,first,Rand.Uni.500.5.5.gexf,500,F,10,4,"[10, 10, 10, 10]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,500,5,5,gexf
cut,cap,first,Rand.Uni.500.5.5.gexf,500,F,50,5,"[10, 10, 10, 10]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,500,5,5,gexf
cut,cap,first,Rand.Uni.500.10.5.gexf,500,5000,2,1,"[20, 20, 20, 20]",10.154928184832498,8.367590111278696,8.367590111278696,inf,70,0,0,0,0,"[10.154928184832498, 8.367590111278696]",Rand,Uni,500,10,5,gexf
cut,cap,first,Rand.Uni.500.10.5.gexf,500,5000,3,2,"[20, 20, 20, 20]",10.154928184832498,7.540393625413012,7.540393625413012,inf,70,0,0,0,0,"[10.154928184832498, 7.540393625413012]",Rand,Uni,500,10,5,gexf
cut,cap,first,Rand.Uni.500.10.5.gexf,500,5000,5,3,"[20, 20, 20, 20]",10.154928184832498,5.91154203314142,5.91154203314142,inf,35,0,0,0,0,"[10.154928184832498, 5.91154203314142]",Rand,Uni,500,10,5,gexf
cut,cap,first,Rand.Uni.500.10.5.gexf,500,5000,10,4,"[20, 20, 20, 20]",10.154928184832498,2.653475370122821,2.653475370122821,inf,93,0,0,0,0,"[10.154928184832498, 2.653475370122821]",Rand,Uni,500,10,5,gexf
cut,cap,first,Rand.Uni.500.10.5.gexf,500,F,50,5,"[20, 20, 20, 20]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,500,10,5,gexf
cut,cap,first,Rand.Uni.500.25.5.gexf,500,12500,2,1,"[43, 43, 43, 43]",19.591533831676475,17.627141853553788,17.627141853553788,inf,37,0,0,0,0,"[19.591533831676475, 17.627141853553788]",Rand,Uni,500,25,5,gexf
cut,cap,first,Rand.Uni.500.25.5.gexf,500,12500,3,2,"[43, 43, 43, 43]",19.591533831676475,16.663604813028314,16.663604813028314,inf,24,0,0,0,0,"[19.591533831676475, 16.663604813028314]",Rand,Uni,500,25,5,gexf
cut,cap,first,Rand.Uni.500.25.5.gexf,500,12500,5,3,"[43, 43, 43, 43]",19.591533831676475,14.758848805925188,14.758848805925188,inf,16,0,0,0,0,"[19.591533831676475, 14.758848805925188]",Rand,Uni,500,25,5,gexf
cut,cap,first,Rand.Uni.500.25.5.gexf,500,12500,10,4,"[43, 43, 43, 43]",19.591533831676475,10.562988866292024,10.562988866292024,inf,37,0,0,0,0,"[19.591533831676475, 10.562988866292024]",Rand,Uni,500,25,5,gexf
cut,cap,first,Rand.Uni.500.25.5.gexf,500,F,50,5,"[43, 43, 43, 43]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,500,25,5,gexf
cut,cap,first,Rand.Uni.500.5.6.gexf,500,2500,2,1,"[9, 9, 9, 9]",3.507004697499446,2.0871099240048068,2.0871099240048068,inf,165,0,0,0,0,"[3.507004697499446, 2.0871099240048068]",Rand,Uni,500,5,6,gexf
cut,cap,first,Rand.Uni.500.5.6.gexf,500,2500,3,2,"[9, 9, 9, 9]",3.507004697499446,1.571036245682364,1.571036245682364,inf,79,0,0,0,0,"[3.507004697499446, 1.571036245682364]",Rand,Uni,500,5,6,gexf
cut,cap,first,Rand.Uni.500.5.6.gexf,500,2500,5,3,"[9, 9, 9, 9]",3.507004697499446,0.679287453266073,0.679287453266073,inf,391,0,0,0,0,"[3.507004697499446, 0.679287453266073]",Rand,Uni,500,5,6,gexf
cut,cap,first,Rand.Uni.500.5.6.gexf,500,F,10,4,"[9, 9, 9, 9]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,500,5,6,gexf
cut,cap,first,Rand.Uni.500.5.6.gexf,500,F,50,5,"[9, 9, 9, 9]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,500,5,6,gexf
cut,cap,first,Rand.Uni.500.10.6.gexf,500,5000,2,1,"[15, 15, 15, 15]",6.930959969351074,5.1421791548144355,5.1421791548144355,inf,50,0,0,0,0,"[6.930959969351074, 5.1421791548144355]",Rand,Uni,500,10,6,gexf
cut,cap,first,Rand.Uni.500.10.6.gexf,500,5000,3,2,"[15, 15, 15, 15]",6.930959969351074,4.358825780033087,4.358825780033087,inf,71,0,0,0,0,"[6.930959969351074, 4.358825780033087]",Rand,Uni,500,10,6,gexf
cut,cap,first,Rand.Uni.500.10.6.gexf,500,5000,5,3,"[15, 15, 15, 15]",6.930959969351074,3.099423824435499,3.099423824435499,inf,71,0,0,0,0,"[6.930959969351074, 3.099423824435499]",Rand,Uni,500,10,6,gexf
cut,cap,first,Rand.Uni.500.10.6.gexf,500,5000,10,4,"[15, 15, 15, 15]",6.930959969351074,0.8968319673741353,0.8968319673741353,inf,125,0,0,0,0,"[6.930959969351074, 0.8968319673741353]",Rand,Uni,500,10,6,gexf
cut,cap,first,Rand.Uni.500.10.6.gexf,500,F,50,5,"[15, 15, 15, 15]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,500,10,6,gexf
cut,cap,first,Rand.Uni.500.25.6.gexf,500,12500,2,1,"[49, 49, 49, 49]",25.12506154290308,23.15399466636428,23.15399466636428,inf,28,0,0,0,0,"[25.12506154290308, 23.15399466636428]",Rand,Uni,500,25,6,gexf
cut,cap,first,Rand.Uni.500.25.6.gexf,500,12500,3,2,"[49, 49, 49, 49]",25.12506154290308,22.213178594496007,22.213178594496007,inf,20,0,0,0,0,"[25.12506154290308, 22.213178594496007]",Rand,Uni,500,25,6,gexf
cut,cap,first,Rand.Uni.500.25.6.gexf,500,12500,5,3,"[49, 49, 49, 49]",25.12506154290308,20.35682214923212,20.35682214923212,inf,20,0,0,0,0,"[25.12506154290308, 20.35682214923212]",Rand,Uni,500,25,6,gexf
cut,cap,first,Rand.Uni.500.25.6.gexf,500,12500,10,4,"[49, 49, 49, 49]",25.12506154290308,15.907345572566305,15.907345572566305,inf,20,0,0,0,0,"[25.12506154290308, 15.907345572566305]",Rand,Uni,500,25,6,gexf
cut,cap,first,Rand.Uni.500.25.6.gexf,500,F,50,5,"[49, 49, 49, 49]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,500,25,6,gexf
cut,cap,first,Rand.Uni.500.5.7.gexf,500,2500,2,1,"[9, 9, 9, 9]",5.302204022033304,3.605275756549323,3.605275756549323,inf,103,0,0,0,0,"[5.302204022033304, 3.605275756549323]",Rand,Uni,500,5,7,gexf
cut,cap,first,Rand.Uni.500.5.7.gexf,500,2500,3,2,"[9, 9, 9, 9]",5.302204022033304,2.891835942399098,2.891835942399098,inf,76,0,0,0,0,"[5.302204022033304, 2.891835942399098]",Rand,Uni,500,5,7,gexf
cut,cap,first,Rand.Uni.500.5.7.gexf,500,2500,5,3,"[9, 9, 9, 9]",5.302204022033304,1.4866837815585798,1.4866837815585798,inf,167,0,0,0,0,"[5.302204022033304, 1.4866837815585798]",Rand,Uni,500,5,7,gexf
cut,cap,first,Rand.Uni.500.5.7.gexf,500,F,10,4,"[9, 9, 9, 9]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,500,5,7,gexf
cut,cap,first,Rand.Uni.500.5.7.gexf,500,F,50,5,"[9, 9, 9, 9]",F,F,F,F,F,F,F,F,F,F,Rand,Uni,500,5,7,gexf
