construction heuristic,flip fct,step fct,network name,n,m,k,k-index,edge connectivity,initial max-flow,best max-flow,first interdiction max-flow,best search max-flow,delta cost calculations,flips,non-improving flips,tabu-searches in k,tabu-searches in G,list of max-flows,k:0,k:1,k:2,k:3,k:4
cut,cap,first,R-MAT.50.10.5.gexf,50,F,50,5,"[17, 17, 17, 17]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,10,5,gexf
cut,cap,first,R-MAT.50.25.5.gexf,50,596,2,1,"[24, 24, 24, 24]",72.0,52.0,52.0,inf,377,0,0,0,0,"[72.0, 52.0]",R-MAT,50,25,5,gexf
cut,cap,first,R-MAT.50.25.5.gexf,50,596,3,2,"[24, 24, 24, 24]",72.0,45.0,45.0,inf,1683,0,0,0,0,"[72.0, 45.0]",R-MAT,50,25,5,gexf
cut,cap,first,R-MAT.50.25.5.gexf,50,596,5,3,"[24, 24, 24, 24]",72.0,35.0,35.0,inf,741,0,0,0,0,"[72.0, 35.0]",R-MAT,50,25,5,gexf
cut,cap,first,R-MAT.50.25.5.gexf,50,596,10,4,"[24, 24, 24, 24]",72.0,19.0,19.0,inf,934,0,0,0,0,"[72.0, 19.0]",R-MAT,50,25,5,gexf
cut,cap,first,R-MAT.50.25.5.gexf,50,F,50,5,"[24, 24, 24, 24]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,25,5,gexf
cut,cap,first,R-MAT.50.5.6.gexf,50,189,2,1,"[7, 7, 7, 7]",12.0,6.0,6.0,inf,2980,0,0,0,0,"[12.0, 6.0]",R-MAT,50,5,6,gexf
cut,cap,first,R-MAT.50.5.6.gexf,50,189,3,2,"[7, 7, 7, 7]",12.0,4.0,4.0,inf,3203,0,0,0,0,"[12.0, 4.0]",R-MAT,50,5,6,gexf
cut,cap,first,R-MAT.50.5.6.gexf,50,189,5,3,"[7, 7, 7, 7]",12.0,2.0,2.0,inf,5356,0,0,0,0,"[12.0, 2.0]",R-MAT,50,5,6,gexf
cut,cap,first,R-MAT.50.5.6.gexf,50,F,10,4,"[7, 7, 7, 7]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,5,6,gexf
cut,cap,first,R-MAT.50.5.6.gexf,50,F,50,5,"[7, 7, 7, 7]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,5,6,gexf
cut,cap,first,R-MAT.50.10.6.gexf,50,320,2,1,"[19, 19, 19, 19]",29.0,22.0,23.0,22.0,1856,1,0,0,0,"[29.0, 23.0, 22.0]",R-MAT,50,10,6,gexf
cut,cap,first,R-MAT.50.10.6.gexf,50,320,3,2,"[19, 19, 19, 19]",29.0,19.0,21.0,19.0,2280,1,0,0,0,"[29.0, 21.0, 19.0]",R-MAT,50,10,6,gexf
cut,cap,first,R-MAT.50.10.6.gexf,50,320,5,3,"[19, 19, 19, 19]",29.0,15.0,18.0,15.0,1968,1,0,0,0,"[29.0, 18.0, 15.0]",R-MAT,50,10,6,gexf
cut,cap,first,R-MAT.50.10.6.gexf,50,320,10,4,"[19, 19, 19, 19]",29.0,13.0,13.0,inf,3334,0,0,0,0,"[29.0, 13.0]",R-MAT,50,10,6,gexf
cut,cap,first,R-MAT.50.10.6.gexf,50,F,50,5,"[19, 19, 19, 19]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,10,6,gexf
cut,cap,first,R-MAT.50.25.6.gexf,50,553,2,1,"[25, 25, 25, 25]",73.0,52.0,52.0,inf,325,0,0,0,0,"[73.0, 52.0]",R-MAT,50,25,6,gexf
cut,cap,first,R-MAT.50.25.6.gexf,50,553,3,2,"[25, 25, 25, 25]",73.0,46.0,46.0,inf,468,0,0,0,0,"[73.0, 46.0]",R-MAT,50,25,6,gexf
cut,cap,first,R-MAT.50.25.6.gexf,50,553,5,3,"[25, 25, 25, 25]",73.0,35.0,35.0,inf,562,0,0,0,0,"[73.0, 35.0]",R-MAT,50,25,6,gexf
cut,cap,first,R-MAT.50.25.6.gexf,50,553,10,4,"[25, 25, 25, 25]",73.0,17.0,17.0,inf,1309,0,0,0,0,"[73.0, 17.0]",R-MAT,50,25,6,gexf
cut,cap,first,R-MAT.50.25.6.gexf,50,F,50,5,"[25, 25, 25, 25]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,25,6,gexf
cut,cap,first,R-MAT.50.5.7.gexf,50,184,2,1,"[8, 8, 8, 8]",11.0,7.0,9.0,7.0,2179,2,0,0,0,"[11.0, 9.0, 8.0, 7.0]",R-MAT,50,5,7,gexf
cut,cap,first,R-MAT.50.5.7.gexf,50,184,3,2,"[8, 8, 8, 8]",11.0,6.0,8.0,6.0,4785,2,0,0,0,"[11.0, 8.0, 7.0, 6.0]",R-MAT,50,5,7,gexf
cut,cap,first,R-MAT.50.5.7.gexf,50,184,5,3,"[8, 8, 8, 8]",11.0,4.0,6.0,4.0,4816,2,0,0,0,"[11.0, 6.0, 5.0, 4.0]",R-MAT,50,5,7,gexf
cut,cap,first,R-MAT.50.5.7.gexf,50,F,10,4,"[8, 8, 8, 8]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,5,7,gexf
cut,cap,first,R-MAT.50.5.7.gexf,50,F,50,5,"[8, 8, 8, 8]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,5,7,gexf
cut,cap,first,R-MAT.50.10.7.gexf,50,306,2,1,"[15, 15, 15, 15]",30.0,21.0,21.0,inf,1377,0,0,0,0,"[30.0, 21.0]",R-MAT,50,10,7,gexf
cut,cap,first,R-MAT.50.10.7.gexf,50,306,3,2,"[15, 15, 15, 15]",30.0,17.0,19.0,17.0,1234,1,0,0,0,"[30.0, 19.0, 17.0]",R-MAT,50,10,7,gexf
cut,cap,first,R-MAT.50.10.7.gexf,50,306,5,3,"[15, 15, 15, 15]",30.0,13.0,15.0,13.0,1955,2,0,0,0,"[30.0, 15.0, 14.0, 13.0]",R-MAT,50,10,7,gexf
cut,cap,first,R-MAT.50.10.7.gexf,50,306,10,4,"[15, 15, 15, 15]",30.0,10.0,10.0,inf,3278,0,0,0,0,"[30.0, 10.0]",R-MAT,50,10,7,gexf
cut,cap,first,R-MAT.50.10.7.gexf,50,F,50,5,"[15, 15, 15, 15]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,10,7,gexf
cut,cap,first,R-MAT.50.25.7.gexf,50,582,2,1,"[25, 25, 25, 25]",72.0,55.0,55.0,inf,512,0,0,0,0,"[72.0, 55.0]",R-MAT,50,25,7,gexf
cut,cap,first,R-MAT.50.25.7.gexf,50,582,3,2,"[25, 25, 25, 25]",72.0,49.0,49.0,inf,637,0,0,0,0,"[72.0, 49.0]",R-MAT,50,25,7,gexf
cut,cap,first,R-MAT.50.25.7.gexf,50,582,5,3,"[25, 25, 25, 25]",72.0,38.0,38.0,inf,662,0,0,0,0,"[72.0, 38.0]",R-MAT,50,25,7,gexf
cut,cap,first,R-MAT.50.25.7.gexf,50,582,10,4,"[25, 25, 25, 25]",72.0,21.0,21.0,inf,1638,0,0,0,0,"[72.0, 21.0]",R-MAT,50,25,7,gexf
cut,cap,first,R-MAT.50.25.7.gexf,50,F,50,5,"[25, 25, 25, 25]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,25,7,gexf
cut,cap,first,R-MAT.50.5.8.gexf,50,188,2,1,"[7, 7, 7, 7]",9.0,5.0,5.0,inf,3928,0,0,0,0,"[9.0, 5.0]",R-MAT,50,5,8,gexf
cut,cap,first,R-MAT.50.5.8.gexf,50,188,3,2,"[7, 7, 7, 7]",9.0,4.0,4.0,inf,5289,0,0,0,0,"[9.0, 4.0]",R-MAT,50,5,8,gexf
cut,cap,first,R-MAT.50.5.8.gexf,50,188,5,3,"[7, 7, 7, 7]",9.0,2.0,2.0,inf,5452,0,0,0,0,"[9.0, 2.0]",R-MAT,50,5,8,gexf
cut,cap,first,R-MAT.50.5.8.gexf,50,F,10,4,"[7, 7, 7, 7]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,5,8,gexf
cut,cap,first,R-MAT.50.5.8.gexf,50,F,50,5,"[7, 7, 7, 7]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,5,8,gexf
cut,cap,first,R-MAT.50.10.8.gexf,50,301,2,1,"[13, 13, 13, 13]",29.0,19.0,22.0,19.0,1458,2,0,0,0,"[29.0, 22.0, 20.0, 19.0]",R-MAT,50,10,8,gexf
cut,cap,first,R-MAT.50.10.8.gexf,50,301,3,2,"[13, 13, 13, 13]",29.0,20.0,20.0,inf,1809,0,0,0,0,"[29.0, 20.0]",R-MAT,50,10,8,gexf
cut,cap,first,R-MAT.50.10.8.gexf,50,301,5,3,"[13, 13, 13, 13]",29.0,11.0,17.0,11.0,3847,3,0,0,0,"[29.0, 17.0, 16.0, 13.0, 11.0]",R-MAT,50,10,8,gexf
cut,cap,first,R-MAT.50.10.8.gexf,50,301,10,4,"[13, 13, 13, 13]",29.0,12.0,12.0,inf,3153,0,0,0,0,"[29.0, 12.0]",R-MAT,50,10,8,gexf
cut,cap,first,R-MAT.50.10.8.gexf,50,F,50,5,"[13, 13, 13, 13]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,10,8,gexf
cut,cap,first,R-MAT.50.25.8.gexf,50,589,2,1,"[25, 25, 25, 25]",68.0,51.0,51.0,inf,1708,0,0,0,0,"[68.0, 51.0]",R-MAT,50,25,8,gexf
cut,cap,first,R-MAT.50.25.8.gexf,50,589,3,2,"[25, 25, 25, 25]",68.0,45.0,45.0,inf,641,0,0,0,0,"[68.0, 45.0]",R-MAT,50,25,8,gexf
cut,cap,first,R-MAT.50.25.8.gexf,50,589,5,3,"[25, 25, 25, 25]",68.0,37.0,37.0,inf,668,0,0,0,0,"[68.0, 37.0]",R-MAT,50,25,8,gexf
cut,cap,first,R-MAT.50.25.8.gexf,50,589,10,4,"[25, 25, 25, 25]",68.0,22.0,22.0,inf,1325,0,0,0,0,"[68.0, 22.0]",R-MAT,50,25,8,gexf
cut,cap,first,R-MAT.50.25.8.gexf,50,F,50,5,"[25, 25, 25, 25]",F,F,F,F,F,F,F,F,F,F,R-MAT,50,25,8,gexf
cut,cap,first,R-MAT.50.5.9.gexf,50,184,2,1,"[8, 8, 8, 8]",10.0,6.0,6.0,inf,4847,0,0,0,0,"[10.0, 6.0]",R-MAT,50,5,9,gexf
cut,cap,first,R-MAT.50.5.9.gexf,50,184,3,2,"[8, 8, 8, 8]",10.0,5.0,5.0,inf,5082,0,0,0,0,"[10.0, 5.0]",R-MAT,50,5,9,gexf
